İsim,Adres,Telefon
Hisar Restoran,Adres yok,(0262) 311 10 91
ÇİĞKÖFTECİ SAİT USTA,"Mehmet Ali Paşa Mahallesi Bağdat Caddesi No:179 Doğu Kışla Karşısı, 41100 İzmit/Kocaeli",Numara yok
ALTINOLUK PİDE,"Yahyakaptan, Akasyalar Cd. NO:24, 41000, 41050 İzmit/Kocaeli",Numara yok
Bursa Kebapçısı,"Karabaş, Cengiz Topel Cd. No:16, 41040 İzmit/Kocaeli",Numara yok
Karadeniz Pidecisi,"No:, Ovacık, Adapazarı İzmit Yolu No:32, 41140 Başiskele/Kocaeli",Numara yok
Yasin İbiş Döner,Adres yok,Numara yok
Ehlikeyf,Adres yok,Numara yok
Yeşildağlar Et,"Yenişehir, Democracy Boulevard No:86, 41050 İzmit/Kocaeli",(0262) 311 43 46
SushiCo,Adres yok,444 7 874
Zenka Baklava,Adres yok,(0262) 311 00 27
Levent Börek Kocaeli,Adres yok,(0262) 502 43 99
Zeugma Künefe İzmit,Adres yok,(0262) 311 77 66
Tarhun Ocakbaşı,Adres yok,Numara yok
Happymoon’s Cafe,Adres yok,(0262) 311 75 32
Mehmet Et Ve Ciğer,Adres yok,0537 795 56 66
Serpmeköy Trabzon Köy Kahvaltısı,Adres yok,(0262) 311 23 61
Maçka İşkembe,Adres yok,(0262) 313 00 11
Kare Restaurant,Adres yok,(0262) 335 50 80
Tarif Cağ Kebap,"Karabaş, Cengiz Topel Cd. No:16, 41040 İzmit/Kocaeli",0530 773 61 06
Yağız Et & Kebap Pide Lahmacun İşkembe,Adres yok,(0262) 311 46 46
Kocaeli Köfte Lahmacun ve Pide Salonu,Adres yok,(0262) 321 04 40
Erim Çiğköfte & Börek Salonu,Adres yok,0535 432 01 94
Anteplioğlu Hertat,Adres yok,Numara yok
Ciğerci Bahattin Kocaeli,Adres yok,(0262) 325 41 33
Kavuret Kebap Ciğer Salonu,Adres yok,(0262) 311 17 13
tekbir lahmacun ve pide,Adres yok,(0262) 321 41 63
BEYHAN KEBAP LAHMACUN PIDE KÖFTE,Adres yok,0549 533 27 27
Nur Pastanesi,Adres yok,Numara yok
Fatih Usta,Adres yok,Numara yok
Çiğköfteci Sait,"Yenişehir, Gazi Mustafa Kemal Blv., 41100 İzmit/Kocaeli",(0262) 324 62 15
Paşa Et Izgara,Adres yok,(0262) 322 65 33
"Özoğlu Pastanesi, mehmet ali paşa",Adres yok,(0262) 322 64 46
Karadeniz Pide Salonu,"No:, Ovacık, Adapazarı İzmit Yolu No:32, 41140 Başiskele/Kocaeli",Numara yok
Kısmet Lahmacun Salonu,Adres yok,Numara yok
HERTAT TATLI PASTA KURUYEMİŞ,"Yenişehir, Gazi Mustafa Kemal Blv. No:155 D:141, 41050 İzmit/Kocaeli",Numara yok
ÇİĞKÖFTECİ SAİT USTA,"Mehmet Ali Paşa Mahallesi Bağdat Caddesi No:179 Doğu Kışla Karşısı, 41100 İzmit/Kocaeli",0552 652 71 41
Yenigün Lokantası,Adres yok,(0262) 325 54 53
Yilmaz Kebap,"Karabaş, Cengiz Topel Cd. No:16, 41040 İzmit/Kocaeli",Numara yok
Tarihi İzmit Börekçisi,"Kadıköy, Bağdat Cd. No:110, 41050 İzmit/Kocaeli",Numara yok
Albeni Lokantası,Adres yok,Numara yok
Cadde Katık Döner,"Sanayi, Ömer Türkçakal Blv. No:7, 41040 İzmit/Kocaeli",Numara yok
Bursa Kent İskender,"Karabaş, Cengiz Topel Cd. No:16, 41040 İzmit/Kocaeli",Numara yok
Nisa Pide&Lahmacun,Adres yok,0542 102 00 41
Çorba Keyfi,Adres yok,Numara yok
İnci Balık,Kural Sokak,+905416199798
Hataylı Nihat Usta,Adres yok,0262 319 33 19
Yakamoz Tantuni,"Symbol Kocaeli Alışveriş Merkezi D-100 Karayolu Üzeri Ovacık Mahallesi No:34, Yemek Katı, 41100 Başiskele/Kocaeli",Numara yok
Tatlıses Çiğköfte,"Kemalpaşa, Cumhuriyet Cd. No:78, 41001 İzmit/Kocaeli",Numara yok
Komagene,"Mehmet Ali Paşa Mahallesi Gazi Mustafa Kemal Bulvarı No:16, Mehmet Ali Paşa, Camii yanı tramvay yolu üzeri, 41050 İzmit/Kocaeli",Numara yok
Nus-Et Katık,Adres yok,Numara yok
Çeto Kebap,"Alikahya Fatih, Seymen Cd. No:51C, 41310 İzmit/Kocaeli",Numara yok
Yöre Kebap,Adres yok,Numara yok
Özay ASPAVA,"Yahyakaptan, Demokrasi Cd. No:26, 41000 İzmit/Kocaeli",Numara yok
Ocakbaşı Meymenet,Adres yok,Numara yok
Göçmen Börekçisi,Adres yok,Numara yok
Gazibey Baklava & Börek,Adres yok,Numara yok
Köfteci Yusuf,"Symbol Kocaeli Alışveriş Merkezi D-100 Karayolu Üzeri Ovacık Mahallesi No:34, Yemek Katı, 41100 Başiskele/Kocaeli",Numara yok
Köfteci Yusuf,"Symbol Kocaeli Alışveriş Merkezi D-100 Karayolu Üzeri Ovacık Mahallesi No:34, Yemek Katı, 41100 Başiskele/Kocaeli",Numara yok
Lezzet Durağı,"Symbol Kocaeli Alışveriş Merkezi D-100 Karayolu Üzeri Ovacık Mahallesi No:34, Yemek Katı, 41100 Başiskele/Kocaeli",Numara yok
Konyalı Lezzet Ustası,Adres yok,Numara yok
Şahane,"Yenişehir, Gazi Mustafa Kemal Blv. NO:157, 41100 İzmit/Kocaeli",Numara yok
Çoban Kokoreç Köfte,"Symbol Kocaeli Alışveriş Merkezi D-100 Karayolu Üzeri Ovacık Mahallesi No:34, Yemek Katı, 41100 Başiskele/Kocaeli",Numara yok
Banabi Kebap,Adres yok,Numara yok
MEG Yemek,Adres yok,Numara yok
Akmeşe Izgara,"Akmeşe Cumhuriyet, Menderes Cd. No:71, 41000 İzmit/Kocaeli",Numara yok
Halil Usta'nın Yeri,"Mahallesi, Yuvacık Yakacık, Önder Sk. No:43, 41090 Başiskele/Kocaeli",Numara yok
Pak-Et Mersin Tantuni,"Cedit, İnönü Cd. no300, 41000 İzmit/Kocaeli",Numara yok
Neşem Izgara Salonu,Adres yok,Numara yok
Mis Kahvaltı,Adres yok,Numara yok
Özpaşa Sofrası,Adres yok,Numara yok
Sarıyer Börek,"Yenişehir, Gazi Mustafa Kemal Blv. No:157/b, 41050 İzmit/Kocaeli",Numara yok
Er&Bil Unlu Mamülleri,Adres yok,Numara yok
Kışla Ciğer Kebap Salonu,Adres yok,Numara yok
Konyalı Etli Ekmek & Fırın Kebap,"Karabaş, Cengiz Topel Cd. No:16, 41040 İzmit/Kocaeli",0262 331 28 01
Köfteci Yücel,Adres yok,Numara yok
Şeker Börek,Adres yok,Numara yok
Saray Börekçisi,Adres yok,Numara yok
Köfteci Cömert,"Symbol Kocaeli Alışveriş Merkezi D-100 Karayolu Üzeri Ovacık Mahallesi No:34, Yemek Katı, 41100 Başiskele/Kocaeli",Numara yok
Tarihi Fethi Baba Lokantası,Adres yok,Numara yok
Beytül Kebap,Adres yok,Numara yok
Tunalı Sulu Yemek,"Ömerağa, Alemdar Cd. No:20, 41300 İzmit/Kocaeli",Numara yok
Seçkin İşkembe,"Symbol Kocaeli Alışveriş Merkezi D-100 Karayolu Üzeri Ovacık Mahallesi No:34, Yemek Katı, 41100 Başiskele/Kocaeli",Numara yok
Mahmut Usta,"28 Haziran, Turan Güneş Cd. No:279, 41060 İzmit/Kocaeli",Numara yok
Masala Kebap,Adres yok,Numara yok
Bilinmiyor,"Symbol Kocaeli Alışveriş Merkezi D-100 Karayolu Üzeri Ovacık Mahallesi No:34, Yemek Katı, 41100 Başiskele/Kocaeli",Numara yok
Lezzet Börek ve Pide Salonu,Adres yok,Numara yok
Meşhur Kavurmacı,Adres yok,Numara yok
