İsim,Adres,Telefon,E-posta
Küçük Ev Restaurant , --- , --- , --- 
 --- , --- , --- , --- 
Halil İbrahim Sofrası,,,
Küçük Ev Restaurant,,,
,,,
Kartepe Manzara Restaurant,Kartepe Green Park yolu 7. Km  Kartepe - KOCAELI / TURKEY,+90-539-678 41 61,info@kartepemanzara.com
Maşukiye Kuzu Çevirme,,0539 878 21 95,
Kartepe Sukay Park,,0262 375 20 20,
Balıkçı Müco,Bağdat Caddesi,(0262) 373 41 72,
Bageni Restoran,,,
Saklı Bahçe,,,
Mekan 41 Büfe ve Ev Yemekleri,,0545 217 41 53,
Arifoğlu Gaziantep Baklavacısı,,,
Özer Lahmacun & Pide Salonu,,,
Özpolatlar,,,
Aktem Yemek Salonu,,,
Bizim Lokanta,,,
Safahat Lokantası,,,
İkizler Pide & Lahmacun,,0 535 736 08 64,
Palmiye Ev Yemekleri,,,
Yayla Alabalık Maşukiye,,0 262 354 26 58,bilgi@yaylaalabalikmasukiye.com
Maşukiye Irmak Alabalık,,0534 744 50 98,
Osmanlı Restoran,,0262 354 36 35,
İbrahim Usta Lokantası,,,
Yurdagül Kızarmış Piliç & Közde Kanat,Sapanca Yolu Caddesi,,
Likarba,,,
Foşa Garden Metin Garden,,,
Serender Park Restaurant & Kır Düğün Bahçesi,,0262 352 35 30,
Antik Köfte Restaurant,,,
Sümela Pide,,,
Çorba Aşina,,,
Cevizdibi Yıldız Restaurant,,0 262 354 20 24,
Taşhan Cafe Restaurant,,0262 333 22 22,
