İsim,Adres,Telefon,E-posta
Çoban Kokoreç Köfte,Adres yok,Numara yok,
Bilinmiyor,Adres yok,Numara yok,
Hisar Restoran,,(0262) 311 10 91,
ALTINOLUK PİDE,,,
Bursa Kebapçısı,,,
Karadeniz Pidecisi,,,
Yasin İbiş Döner,,,
Ehlikeyf,,,
Yeşildağlar Et,,(0262) 311 43 46,
SushiCo,,444 7 874,
Zenka Baklava,,(0262) 311 00 27,
Levent Börek Kocaeli,,(0262) 502 43 99,
Zeugma Künefe İzmit,,(0262) 311 77 66,
Tarhun Ocakbaşı,,,
Happymoon’s Cafe,,(0262) 311 75 32,
Mehmet Et Ve Ciğer,,0537 795 56 66,
Serpmeköy Trabzon Köy Kahvaltısı,,(0262) 311 23 61,
Maçka İşkembe,,(0262) 313 00 11,
Kare Restaurant,,(0262) 335 50 80,
Tarif Cağ Kebap,,0530 773 61 06,
Yağız Et & Kebap Pide Lahmacun İşkembe,,(0262) 311 46 46,
Kocaeli Köfte Lahmacun ve Pide Salonu,,(0262) 321 04 40,
Erim Çiğköfte & Börek Salonu,,0535 432 01 94,
Anteplioğlu Hertat,,,
Ciğerci Bahattin Kocaeli,,(0262) 325 41 33,
Kavuret Kebap Ciğer Salonu,,(0262) 311 17 13,
tekbir lahmacun ve pide,,(0262) 321 41 63,
BEYHAN KEBAP LAHMACUN PIDE KÖFTE,,0549 533 27 27,
Nur Pastanesi,,,
Fatih Usta,,,
Çiğköfteci Sait,,(0262) 324 62 15,
Paşa Et Izgara,,(0262) 322 65 33,
"Özoğlu Pastanesi, mehmet ali paşa",,(0262) 322 64 46,
Kısmet Lahmacun Salonu,,,
HERTAT TATLI PASTA KURUYEMİŞ,,,
ÇİĞKÖFTECİ SAİT USTA,,0552 652 71 41,
Yenigün Lokantası,,(0262) 325 54 53,
Yilmaz Kebap,,,
Tarihi İzmit Börekçisi,,,
Albeni Lokantası,,,
Cadde Katık Döner,,,
Bursa Kent İskender,,,
Nisa Pide&Lahmacun,,0542 102 00 41,
Çorba Keyfi,,,
İnci Balık,Kural Sokak,+905416199798,
Hataylı Nihat Usta,,0262 319 33 19,
Yakamoz Tantuni,,,
Tatlıses Çiğköfte,,,
Komagene,,,
Nus-Et Katık,,,
Çeto Kebap,,,
Yöre Kebap,,,
Özay ASPAVA,,,
Ocakbaşı Meymenet,,,
Göçmen Börekçisi,,,
Gazibey Baklava & Börek,,,
Lezzet Durağı,,,
Konyalı Lezzet Ustası,,,
Şahane,,,
Banabi Kebap,,,
MEG Yemek,,,
Akmeşe Izgara,,,
Halil Usta'nın Yeri,,,
Pak-Et Mersin Tantuni,,,
Neşem Izgara Salonu,,,
Mis Kahvaltı,,,
Özpaşa Sofrası,,,
Er&Bil Unlu Mamülleri,,,
Kışla Ciğer Kebap Salonu,,,
Konyalı Etli Ekmek & Fırın Kebap,,0262 331 28 01,
Köfteci Yücel,,,
Şeker Börek,,,
Saray Börekçisi,,,
Köfteci Cömert,,,
Tarihi Fethi Baba Lokantası,,,
Beytül Kebap,,,
Tunalı Sulu Yemek,,,
Seçkin İşkembe,,,
Mahmut Usta,,,
Masala Kebap,,,
Lezzet Börek ve Pide Salonu,,,
Meşhur Kavurmacı,,,
Asya Restaurant,,,
Pizzaland Cafe & Restaurant,,,
Başoğlu Kebap,,0262 319 04 40,
Arırang Restaurant,,0262 319 49 49,
Karadeniz Pide Salonu,,0262 331 58 69,
Sokak Pilavcısı,,,
Sarıyer Börek,,0262 331 20 16,
Daichi Sushi,,,
Boşnak Börekçi,,,
Has Köfte,,,
Esin Kebap & Lahmacun,,0262 322 39 17,
Serde Börek,,,
Dayı'nın Yeri,,,
Tatlıses Lahmacun,,,
Özler Et,,,
Aslar Kebap,,,
Sofram Pide Bank,,,
İşgal Kebap,,,
Kaptan Kebap,,,
Ciğerci,,0262 311 22 44,
Fava,,,
Pizzaköy,,,
Antep Kale Kebap & Pide,,,
Cilve Yeni Nesil Meyhane,,,
Karaca Lokantası,,0501 007 60 41,
Köfteci Yusuf,,,
Çorbam,,,
Efe Lokantası,,0262 331 20 66,
Diego Pizza,,,
Mavi İskender & Kebap,,,
Bekirdere Köftecisi,,,
Karadeniz Pide,,,
Lakehouse / Gölevi,,,
@Pilav,,,
Damak Restoran,,,
Lokanta Can Can,,,
Duha Restaurant,,,
Kavurmacı Çağrı,,,
Bowl Pizza & Makarna,,,
Kebapçı Ali,,,
Snoopy Pizza,,,
Çınar Lokantası,,,
Esnaf Lokantası,,0542 819 41 61,
Adile Sultan Ev Yemekleri,,,
Maide,,,
Kokoreç Office,,,
MiniKöşk,,,
Refiye Restoran,,,
Köseoğlu Pide,,,
İzmit Yelken Kulübü,,,
Başol Et Kasap,,,
Doğapark,,,
,,,
