İsim,Adres,Telefon,E-posta
Hamdi,,,
Pera Antakya,,,
Pizzeria,,,
İTO ESHV Tesisleri,,,
Iskele Restaurant,,,
Dönerci Celal Usta,,,
Köz Kanat,,,
Poğaçacı,,,
Lita Mantı,,,
Konyalı Restaurant,,,
Marmara 3 Döner&Kumru,Başvekil Caddesi,,
Imroz,,,
Fishvar,,,
Le Caïque,,,
Cibali,,,
Sultan Mehmet Restaurant & Cafe,,,
The Port Shield Pub & Restaurant,,,
,İstiklal Caddesi,+902122490329,
Gelik,,,
Sultanahmet köftecisi,,,
Kız Kulesi,"Salancak, Üsküdar",0216 342 47 47,
zeythin,,,
Kolombo Kebap,Moda Caddesi,0216 338 1508,
Taskin Kofte,,,
Çiya Kebap 2,,+902164185115,info@ciya.com.tr
Kalpazankaya Restaurant,Kalpazankaya Yolu sok.,02163811111,info@kalpazankaya.com.tr
Azcı,,,
Ege Rum Meyhanesi,,,
Fıccın,Kallavi Sokağı,,
Çok Çok Thai Restaurant,Meşrutiyet Caddesi,+90 212 292 64 96,
Ottaman Burger,,,
Helvetia,,,
Koska,,,
Falafel Veggie,,,
Loving Hut,,,
Akkol,,,
Gelik ET Ataköy Istanbul,,,
Cheers Soul Kitchen,çayıroglu Sk.,,
Boukoleon Fish Restaurant,,,
Sultan’s Inn,,,
Lacivert,,,
Sunset,,,
Daruzziyafe,,,
Merkez Köfte Salonu,,,
Karakol Restaurant,,,
Sarnic Restaurant,,,
Sofia,,,
Midpoint,,,
Giritli,Yenigüvey Sokağı,+90 212 458 2270,
Mangal Keyfi,,,
Allsports Cafe,Bıyıklı Mehmet Paşa Sok.,,
Fırtına Restoran,,,
Murat Karadeniz Pide,,,
WestMix,,,
Karaköy Lokantası,,,
Cankurtaran Öğretmenevi,Ahırkapı Caddesi,+90 212 5176893;+90 212 5172411,
Mihri,,,
Ming Garden,,,
Gaya,,,
Taksim Karaoke,,,
Udonya Japanese Restaurant,,,
Divella,,05334329863,
Cistern Restaurant,,,
Karina Fish House,,,
Korean Chinese,Cankurtaran Meydanı,+902125161128,hansarang.istanbul@gmail.com
Nostra Casa,,,
Seoul II Restaurant,,,
Komün,,,
Kaşıkçı Pilav,,,
Pehlivan,,,
Paşa Çadırı,,,
Big Chef's,,,
Midpoint,,,
Tepeli Restaturant,,,
Lokanta,,,
KARDEŞLER LOKANTASI,,,
Çukurcuma Köftecisi,,,
Yenimahalle Astsubay Orduevi,,,
