name,address,phone,website,emails
Resto Han Sirkeci,"
Hoca Paşa, Darüssade Sk. No:6, 34110 Fatih/İstanbul",,,
BUHARA FİSH MEAT HOUSE ROOF,"
Alemdar, Nuru Osmaniye Cd. NO : 5, 34440 Fatih/İstanbul",,,
By Ferro Fish & Kebab House,"
Emin Sinan, Kadırga Limanı Cd. No:85, 34130 Fatih/İstanbul",,,
Zerzevan Fish & Kebab Restaurant,"
Cankurtaran, Akbıyık Cd. 13A, 34122 Fatih/İstanbul",,,
Resto Ethnica,"
Old City Hotel giriş, Hocapaşa Mahalesi, Nöbethane Caddesi No:18 Ethnica, 34110 Fatih/İstanbul",,,
Green Garden Restaurant Cafe,"
Hoca Paşa, Nöbethane Çk. No:3, 34110 Fatih/İstanbul",,,
Old hipodrom terrace restaurant,"
Küçük Ayasofya, Kaleci Sk. No:3, 34000 Fatih/İstanbul",,,
Tin Restaurant,"
Alemdar, Yerebatan Cd. No: 29, 34110 Fatih/İstanbul",,,
Eva Bosphorus Restaurant,"
DEMİRAY OTEL'İN ÜST KATINDA BULUNMAKTADIR, Hobyar, Hocahanı Sok. No:10, 34112 Fatih/İstanbul",,,
FÜLANE RESTAURANT,"
Hoca Paşa, Dervişler Sokağı No:7 D:2, 34110 Fatih/İstanbul",,,
Pino Gare Roof Restaurant,"
Orient Express Hotel, Hoca Paşa, Hüdavendigar Cd. No : 24, 34120 sirkeci/İstanbul",,,
The Ottomans Kitchen Cafe Restaurant,"
Sultan Ahmet, Akbıyık Cd. No:70, 34122 Fatih/İstanbul",,,
Lale sultan Restaurant,"
Küçük Ayasofya, Kadırga Limanı Cd. no:108, 34122 Fatih/İstanbul",,,
Mivan Restaurant Cafe,"
Emin Sinan, Piyer Loti Cd. No:34, 34130 Fatih/İstanbul",,,
Gülhane Şark Sofrası,"
Alemdar, Alayköşkü Cd. No:22, 34110 Fatih/İstanbul",,,
istanbul anatolian Cuisine,"
Küçük Ayasofya, Cami Sk. No:7, 34122 Fatih/İstanbul",,,
Galeyan Restaurant,"
Alemdar, Ticarethane Sk. No:13/B, 34110 Fatih/İstanbul",,,
Garden 1897 Restaurant,"
Inside of Garden House Hotel, Küçük Ayasofya, Şht. Mehmet Paşa Sk. No5, 34122 Fatih/İstanbul",,,
Last Ottoman Cafe & Restaurant,"
Hoca Paşa, Darüssade Sk. No 10, 34110 Fatih/İstanbul",,,
Garden Mezze,"
hoca paşa mah nöbethane cad, Serdar Sk. No:13, 34110 Fatih/İstanbul",,,
Loti Roof Lounge,"
Binbirdirek, Divan Yolu Cd. No:27, 34112 Fatih/İstanbul",,,
Le Safran Restaurant,"
Alemdar, Alemdar Cd. No:11, 34122 Fatih/İstanbul",,,
Seven Hills Restaurant,"
Cankurtaran, Tevkifhane Sk. No:8 Kat:3, 34122 Fatih/İstanbul",,,
Eagles İstanbul Restaurant,"
Binbirdirek, klor farer caddesi no10/7, 34122 Fatih/İstanbul",,,
Pleasure Terrace Roof Restaurant in Istanbul,"
Hocapaşa Mah, Hüdavendigar Cd. No:4 Kat:5, 34112 Fatih/İstanbul",,,
Turgut Kebab Restaurant -Sultanahmet-,"
Sultan Ahmet, Akbıyık Cd. No:64, 34122 Fatih/İstanbul",,,
Resto Galata Terrace,"
Yavuz Sinan Mah.Ragıp Gümüşpala Cad, Resto Galata Terrace, Unkapanı Cd. No:69 kat 4, 34134 Fatih/İstanbul",,,
F&B Culture,"
Bereketzade, Camekan Sk. No:6, 34420 Beyoğlu/İstanbul",,,
Lotiz Lounge & Hookah,"
Balabanağa, Vidinli Tevfikpaşa Cd, 34134 Fatih/İstanbul",,,
Las Tapas fish and kebap Restaurant,"
Alemdar, Çatalçeşme Sk. No:5, 34110 Fatih/İstanbul",,,
İstanbul Kebab Cafe Restaurant,"
Alemdar, Biçki Yurdu Sk. No:5, 34122 Fatih/İstanbul",,,
Deraliye Ottoman Cuisine Restaurant,"
Alemdar Mahallesi Ticaret Hane Sokak Giriş Kat No 10, 34122",,,
ŞATO’s Restaurant,"
Cankurtaran, Akbıyık Cd, Cankurtaran, akbıyık Sultanahmet No:33, 34122 Fatih/İstanbul",,,
Turkish Kebab Fish Steak House,"
Cankurtaran, Akbıyık Cd. No:62, 34122 Fatih/İstanbul",,,
The Must Turkish Restaurant,"
Alemdar, Alemdar Cd. No:9, 34150 Fatih/İstanbul",,,
Adella Seafood Restaurant,"
Hobyar, Hamidiye Cd. No:16, 34112 Fatih/İstanbul",,,
BYZANTİON Bistro Restaurant,"
Ordu Cad, Kemal Paşa, Yeşil Tulumba Sk. No:9/1, 34134 Fatih/İstanbul",,,
Vamos Estambul Restaurant & Cafe,"
Alemdar, Ticarethane Sk. 39/42, 34120 Fatih/İstanbul",,,
