Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
Artois Cadde - Cocktail Bar & Chef Restaurant,"Bağdat Caddesi, Haldun Taner Sk. No:7/B, 34728 Kadıköy/İstanbul",0850 460 0278,info@artois.com.tr,https://artois.com.tr/,https://www.google.com/maps/place/Artois+Cadde+-+Cocktail+Bar+%26+Chef+Restaurant/data=!4m7!3m6!1s0x14cac7ec211bb66b:0xbd1c793263d98247!8m2!3d40.9672799!4d29.0652276!16s%2Fg%2F11s4cb6my_!19sChIJa7YbIezHyhQRR4LZYzJ5HL0?authuser=0&hl=tr&rclk=1
AURA FAL CAFE SPRİTÜEL HİZMETLERİ,"Osmanağa, Serasker Cd. No:39/1, 34714 Kadıköy/İstanbul",0544 252 03 02,info@aurafalcafe.com,http://www.aurafalcafe.com/,https://www.google.com/maps/place/AURA+FAL+CAFE+SPR%C4%B0T%C3%9CEL+H%C4%B0ZMETLER%C4%B0/data=!4m7!3m6!1s0x14cab866325800b1:0x5128c7d093d9277c!8m2!3d40.9895977!4d29.0267892!16s%2Fg%2F11c1pnc2h9!19sChIJsQBYMma4yhQRfCfZk9DHKFE?authuser=0&hl=tr&rclk=1
Nebyan Doğal Kalamış,"Fenerbahçe, Rüştiye Sk. no:11/A, 34726 Kadıköy/İstanbul",(0216) 550 53 55,"u003eebru@nebyandogal.com, info@nebyandogal.com",http://nebyandogal.com/,https://www.google.com/maps/place/Nebyan+Do%C4%9Fal+Kalam%C4%B1%C5%9F/data=!4m7!3m6!1s0x14cab9066b23aa73:0x742239b4b9a1c762!8m2!3d40.9828118!4d29.039586!16s%2Fg%2F11sh7h4wsj!19sChIJc6ojawa5yhQRYsehubQ5InQ?authuser=0&hl=tr&rclk=1
Choco Port Kadıköy,"Osmanağa, Gen. Asım Gündüz Cd. No:25/2, 34714 Kadıköy/İstanbul",0530 081 13 23,info@chocoport.com.tr,http://chocoport.com.tr/,https://www.google.com/maps/place/Choco+Port+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab92d20c70593:0xe437bbd990cd07be!8m2!3d40.9884201!4d29.0287956!16s%2Fg%2F11p14kgnc7!19sChIJkwXHIC25yhQRvgfNkNm7N-Q?authuser=0&hl=tr&rclk=1
KADİKÖY CİĞERCİSİ,"Feneryolu, Fahrettin Kerim Gökay Cd No:56, 34724 Kadıköy/İstanbul",(0216) 804 21 00,info@kadikoycigercisi.com.tr,https://kadikoycigercisi.com.tr/,https://www.google.com/maps/place/KAD%C4%B0K%C3%96Y+C%C4%B0%C4%9EERC%C4%B0S%C4%B0/data=!4m7!3m6!1s0x14cad0455ec6e1af:0xd8fd52a6d6913208!8m2!3d40.9873852!4d29.0446184!16s%2Fg%2F11g6qdkq2m!19sChIJr-HGXkXQyhQRCDKR1qZS_dg?authuser=0&hl=tr&rclk=1
mutfakkoz,"Kozyatağı, Kaya Sultan Sokağı No:27-B, 34742 Kadıköy/İstanbul",0551 636 44 55,luciano@latinotype.com,http://www.mutfakkoz.com/,https://www.google.com/maps/place/mutfakkoz/data=!4m7!3m6!1s0x14cac72cb3be4469:0x671f0a3f47cc75f1!8m2!3d40.9659309!4d29.0911023!16s%2Fg%2F11m1gns5pk!19sChIJaUS-syzHyhQR8XXMRz8KH2c?authuser=0&hl=tr&rclk=1
İDEA Kadıköy,"Caferağa, Küçükmoda Burnu Sk Kadıköy Bld. Sosyal Tesisleri No:4, 34710 Kadıköy/İstanbul",(0216) 330 79 73,idea@kadikoy.bel.tr,http://www.ideakadikoy.org/,https://www.google.com/maps/place/%C4%B0DEA+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab88a0fc00001:0xc867e72c146d60e1!8m2!3d40.9800806!4d29.0279083!16s%2Fg%2F11g8tjvmnp!19sChIJAQDAD4q4yhQR4WBtFCznZ8g?authuser=0&hl=tr&rclk=1
İstanbull Cafe,"Caferağa, Miralay Nazım Sk. no:15, 34714 Kadıköy/İstanbul",0506 271 07 17,info@istanbullcafe.com,http://istanbullcafe.com/,https://www.google.com/maps/place/%C4%B0stanbull+Cafe/data=!4m7!3m6!1s0x14cab86f37c5bc65:0xf18f7014a173410d!8m2!3d40.9879085!4d29.0280797!16s%2Fg%2F11b7xmvhwc!19sChIJZbzFN2-4yhQRDUFzoRRwj_E?authuser=0&hl=tr&rclk=1
Kirpi Erenköy,"Bağdat Caddesi No.325 A 1-2, 34728 Kadıköy/İstanbul",(0216) 385 34 43,"info@kirpirestaurant.com.tr, ik@kirpirestaurant.com.tr",http://www.kirpicafe.com/,https://www.google.com/maps/place/Kirpi+Erenk%C3%B6y/data=!4m7!3m6!1s0x14cac774e72ddf6b:0x200c1d26371cfcac!8m2!3d40.9653764!4d29.0718876!16s%2Fg%2F1tr46wf1!19sChIJa98t53THyhQRrPwcNyYdDCA?authuser=0&hl=tr&rclk=1
Cadde Karadeniz Ev Yemekleri,"Osmanağa, Mürver Çiçeği Sk. No:14/B, 34714 Kadıköy/İstanbul",(0216) 330 80 53,"info@caddekaradeniz.com.tr, handeemren@gmail.com",http://www.caddekaradeniz.com.tr/,https://www.google.com/maps/place/Cadde+Karadeniz+Ev+Yemekleri/data=!4m7!3m6!1s0x14cab86f3637ce25:0xd644754ef8a942b!8m2!3d40.9910027!4d29.0290296!16s%2Fg%2F11b7q50gj8!19sChIJJc43Nm-4yhQRK5SK71RHZA0?authuser=0&hl=tr&rclk=1
