Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
Şen Pide,"Ömerağa, Belsa Sk. No:27, 41300 İzmit/Kocaeli",,info@tikla.com.tr,https://www.tikla.com.tr/sen-pide-evi-izmit.html,https://www.google.com/maps/place/%C5%9Een+Pide/data=!4m7!3m6!1s0x14cb457fe4806d51:0x4abe33fd2f7574d2!8m2!3d40.7653679!4d29.9287669!16s%2Fg%2F11ggrnd11b!19sChIJUW2A5H9FyxQR0nR1L_0zvko?authuser=0&hl=tr&rclk=1
Monad Coffee,"Karabaş, Şahabettin Bilgisu Cd. No:10/C, 41040 İzmit/Kocaeli",(0262) 324 90 40,info@monadcoffee.com,http://www.monadcoffee.com/,https://www.google.com/maps/place/Monad+Coffee/data=!4m7!3m6!1s0x14cb457e657cf30b:0x130febbe497967ba!8m2!3d40.76297!4d29.93271!16s%2Fg%2F11cs9mjhn1!19sChIJC_N8ZX5FyxQRumd5Sb7rDxM?authuser=0&hl=tr&rclk=1
Crespo Burger Argentina Başiskele,"Fatih, Galip Erenoğlu Cd. No:12E, 41190 Başiskele/Kocaeli",(0262) 504 41 41,info@crespoburger.com,https://www.crespobbq.com/,https://www.google.com/maps/place/Crespo+Burger+Argentina+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb456dca16e17f:0xff5c1398aeebe549!8m2!3d40.7100783!4d29.9654158!16s%2Fg%2F11t9r03gtq!19sChIJf-EWym1FyxQRSeXrrpgTXP8?authuser=0&hl=tr&rclk=1
Çınaraltı Künefe & Kahvaltı Başiskele,"Körfez, Liman Cd. No:116, 41245 Başiskele/Kocaeli",(0262) 414 61 41,info@cinaraltikunefe.com,http://www.cinaraltikunefe.com/,https://www.google.com/maps/place/%C3%87%C4%B1naralt%C4%B1+K%C3%BCnefe+%26+Kahvalt%C4%B1+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb45d432b5becd:0x335fba193c4ea300!8m2!3d40.7162941!4d29.9217853!16s%2Fg%2F11tws2mz49!19sChIJzb61MtRFyxQRAKNOPBm6XzM?authuser=0&hl=tr&rclk=1
Lotus Meat,"Yenişehir, Dönmez Sk., 41040 İzmit/Kocaeli",0506 871 49 28,info@lafloraotel.com,https://lafloraotel.com/restaurant/lotus-1,https://www.google.com/maps/place/Lotus+Meat/data=!4m7!3m6!1s0x14cb4f1eb6bbb193:0x9badc0bd4cce3c92!8m2!3d40.7658064!4d29.9660805!16s%2Fg%2F11hdjhm653!19sChIJk7G7th5PyxQRkjzOTL3ArZs?authuser=0&hl=tr&rclk=1
Gölbaşı Restaurant,"Hisareyn Mh. Fatih Cd. No:185, Gölcük / Kocaeli, 41663",(0262) 434 48 00,iletisim@golbasirestaurant.net,http://www.golbasirestaurant.net/,https://www.google.com/maps/place/G%C3%B6lba%C5%9F%C4%B1+Restaurant/data=!4m7!3m6!1s0x14cb40cbf7721973:0x5c535b03c9927b83!8m2!3d40.6831817!4d29.8660945!16s%2Fg%2F1hc1l_m9w!19sChIJcxly98tAyxQRg3uSyQNbU1w?authuser=0&hl=tr&rclk=1
Cafe Kumpir,"yeşilpark içi, Yeşilkent, Aktif Sk. No:27, 41000 Başiskele/Kocaeli",(0262) 342 33 95,destek@trendyol.com,http://www.trendyol.com/,https://www.google.com/maps/place/Cafe+Kumpir/data=!4m7!3m6!1s0x14cb457ee290ffef:0x7386ebea39ac6bab!8m2!3d40.6854404!4d29.925488!16s%2Fg%2F11cr_t_j0x!19sChIJ7_-Q4n5FyxQRq2usOerrhnM?authuser=0&hl=tr&rclk=1
Pizza Piece İzmit,"İÇ KAPI, Ömerağa, Şahabettin Bilgisu Cd. NO: 62 NO: A, 41300 İzmit/Kocaeli",(0262) 323 25 25,info@pizza-piece.com,http://www.pizza-piece.com/,https://www.google.com/maps/place/Pizza+Piece+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4ff6385b58b3:0x58d65f5d71c6f44e!8m2!3d40.7623576!4d29.9286666!16s%2Fg%2F11p5mcw_6_!19sChIJs1hbOPZPyxQRTvTGcV1f1lg?authuser=0&hl=tr&rclk=1
Tavuk Dünyası Sembol Avm Kocaeli,"Symbol Kocaeli Alışveriş Merkezi, Ovacık, D100 No:34, 41100 Başiskele/Kocaeli",444 8 850,select2@4.1.0-rc.0,https://www.tavukdunyasi.com/,https://www.google.com/maps/place/Tavuk+D%C3%BCnyas%C4%B1+Sembol+Avm+Kocaeli/data=!4m7!3m6!1s0x14cb500366ecf527:0x189e25f07159b18b!8m2!3d40.759317!4d29.979217!16s%2Fg%2F11bxg2vdqb!19sChIJJ_XsZgNQyxQRi7FZcfAlnhg?authuser=0&hl=tr&rclk=1
PIZZA PIZZA,Yeşilyurt mahallesi Hoca Ahmet Yesevi caddes No : 310 / A، 41190 İzmit/Kocaeli,(0262) 324 42 00,ornek@terrapizza.com,https://www.terrapizza.com.tr/,https://www.google.com/maps/place/PIZZA+PIZZA/data=!4m7!3m6!1s0x14cb456147e1a8cb:0x53597bd71d0c8a4f!8m2!3d40.7190634!4d29.9481499!16s%2Fg%2F11g6yvkch0!19sChIJy6jhR2FFyxQRT4oMHdd7WVM?authuser=0&hl=tr&rclk=1
