Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
Radika Restaurant,"Koşuyolu, Kalfa Çeşmesi Sk. No:30, 34718 Kadıköy/İstanbul",0531 310 63 15,,https://q-r.ltd/a8920,https://www.google.com/maps/place/Radika+Restaurant/data=!4m7!3m6!1s0x14cab811a529dec3:0x5ffea744e22e2a2f!8m2!3d41.0104011!4d29.0408698!16s%2Fg%2F1tgtznpw!19sChIJw94ppRG4yhQRLyou4kSn_l8?authuser=0&hl=tr&rclk=1
Cafe Neva Breakfast,"Rasimpaşa, Nüzhet Efendi Sk. no:56/c, 34716 Kadıköy/İstanbul",,,N/A,https://www.google.com/maps/place/Cafe+Neva+Breakfast/data=!4m7!3m6!1s0x14cab8696c917ca7:0x19aece0f5c671851!8m2!3d40.9938494!4d29.0266811!16s%2Fg%2F11bx5psw81!19sChIJp3yRbGm4yhQRURhnXA_Orhk?authuser=0&hl=tr&rclk=1
Salt Fried Chicken Kadıköy,"Caferağa, Nail Bey Sk. No:11, 34710 Kadıköy/İstanbul",0850 800 6503,,http://www.saltfriedchicken.com/,https://www.google.com/maps/place/Salt+Fried+Chicken+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab9e3428da00f:0xead77a9d41bfdea9!8m2!3d40.9883437!4d29.0278754!16s%2Fg%2F11qq1ntdry!19sChIJD6CNQuO5yhQRqd6_QZ161-o?authuser=0&hl=tr&rclk=1
Artois Cadde - Cocktail Bar & Chef Restaurant,"Bağdat Caddesi, Haldun Taner Sk. No:7/B, 34728 Kadıköy/İstanbul",0850 460 0278,info@artois.com.tr,https://artois.com.tr/,https://www.google.com/maps/place/Artois+Cadde+-+Cocktail+Bar+%26+Chef+Restaurant/data=!4m7!3m6!1s0x14cac7ec211bb66b:0xbd1c793263d98247!8m2!3d40.9672799!4d29.0652276!16s%2Fg%2F11s4cb6my_!19sChIJa7YbIezHyhQRR4LZYzJ5HL0?authuser=0&hl=tr&rclk=1
Bubada Club Sandwich & More,"Caferağa, Dr. Esat Işık Cd. No:42/A, 34170 Kadıköy/İstanbul",(0216) 266 20 12,,http://www.instagram.com/bubadamoda,https://www.google.com/maps/place/Bubada+Club+Sandwich+%26+More/data=!4m7!3m6!1s0x14cab8613fa396a9:0xb509bf3e4bd5189f!8m2!3d40.9847138!4d29.026832!16s%2Fg%2F11b6hqlwp_!19sChIJqZajP2G4yhQRnxjVSz6_CbU?authuser=0&hl=tr&rclk=1
Konyalılar Etli Ekmek Fırın Kebap,"Senesenevler Mah, Şemsettin Günaltay Cd. No:33/A, 34742 Kadıköy/İstanbul",(0216) 445 42 42,,https://www.etliekmek.com.tr/,https://www.google.com/maps/place/Konyal%C4%B1lar+Etli+Ekmek+F%C4%B1r%C4%B1n+Kebap/data=!4m7!3m6!1s0x14cac7a969f170f5:0x26c33aee418feb34!8m2!3d40.9612551!4d29.0925931!16s%2Fg%2F1tf84f5k!19sChIJ9XDxaanHyhQRNOuPQe46wyY?authuser=0&hl=tr&rclk=1
Beyaz Köşk Kadıköy,"Osmanağa, Kuşdili Cd. No:91 D:1, 34714 Kadıköy/İstanbul",0532 594 29 43,,N/A,https://www.google.com/maps/place/Beyaz+K%C3%B6%C5%9Fk+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab9a1330f4aed:0x805b2e5d9d29bfd8!8m2!3d40.9880377!4d29.0338043!16s%2Fg%2F11gyw2rppy!19sChIJ7UoPM6G5yhQR2L8pnV0uW4A?authuser=0&hl=tr&rclk=1
Kadıköy Semtin Köftecisi,"Rasimpaşa, Misakı Milli Sk. No:9/B, 34716 Kadıköy/İstanbul",(0216) 347 33 47,,http://www.kadikoysemtinkoftecisi.com/,https://www.google.com/maps/place/Kad%C4%B1k%C3%B6y+Semtin+K%C3%B6ftecisi/data=!4m7!3m6!1s0x14cab9bccbe8ab85:0x48f604b74f962d7c!8m2!3d40.993214!4d29.0255376!16s%2Fg%2F11sr646v0d!19sChIJhavoy7y5yhQRfC2WT7cE9kg?authuser=0&hl=tr&rclk=1
Yeni Meyhane,"Osmanağa Mahallesi, Osmancık Sk. No:7 D: 1, 34714 Kadıköy",(0216) 345 79 38,,N/A,https://www.google.com/maps/place/Yeni+Meyhane/data=!4m7!3m6!1s0x14cab8661ac22377:0xa380698eceb46528!8m2!3d40.9898381!4d29.0277534!16s%2Fg%2F11f3s3pnzb!19sChIJdyPCGma4yhQRKGW0zo5pgKM?authuser=0&hl=tr&rclk=1
KADIKÖY LOKANTASI,"Osmanağa Mah Halitağa Caddesi, Şemsitap Sk. No:22, 34000 Kadıköy/İstanbul",,,N/A,https://www.google.com/maps/place/KADIK%C3%96Y+LOKANTASI/data=!4m7!3m6!1s0x14cab86f35ea3659:0x183b7f9e3cee7dca!8m2!3d40.9909691!4d29.0287559!16s%2Fg%2F11b808pd3w!19sChIJWTbqNW-4yhQRyn3uPJ5_Oxg?authuser=0&hl=tr&rclk=1
