Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Kartepe Manzara Restaurant,"Maşukiye Kartepe Cad. No:, D:149, 41250 Kartepe/Kocaeli",,info@kartepemanzara.com,https://www.kartepemanzara.com/,https://www.google.com/maps/place/Kartepe+Manzara+Restaurant/data=!4m7!3m6!1s0x14cb45389e515557:0xec81fada0a04937d!8m2!3d40.6792451!4d30.1387942!16s%2Fg%2F1ptw68x_k!19sChIJV1VRnjhFyxQRfZMECtr6gew?authuser=0&hl=tr&rclk=1
Kartepe Ferah Cafe Restaurant,"Fatih Sultan Mehmet, Ceren Sk. No: 3/1, 41250 Kartepe/Kocaeli",0536 034 41 14,No Website,N/A,https://www.google.com/maps/place/Kartepe+Ferah+Cafe+Restaurant/data=!4m7!3m6!1s0x14cb5b6be44b3fc5:0x6c0aa5e50215073e!8m2!3d40.7330929!4d30.0195642!16s%2Fg%2F11x2z94w35!19sChIJxT9L5GtbyxQRPgcVAuWlCmw?authuser=0&hl=tr&rclk=1
Vadi Restaurant,"Çınarlı Mahallesi, Vadisi, Maşukiye, Alabalık Sk. No:22, 41295 Kartepe/Kocaeli",(0262) 354 22 02,info@vadirestaurant.com,http://www.vadirestaurant.com/,https://www.google.com/maps/place/Vadi+Restaurant/data=!4m7!3m6!1s0x14cb50369618c7e9:0x9a5f3b688c5f113!8m2!3d40.6914024!4d30.1258525!16s%2Fg%2F1tht3p7z!19sChIJ6ccYljZQyxQRE_HFiLbzpQk?authuser=0&hl=tr&rclk=1
Foşam Restaurant,"48, Ataevler, Sapanca Yolu, 41180 Kartepe/Kocaeli",(0262) 371 42 61,No Website,N/A,https://www.google.com/maps/place/Fo%C5%9Fam+Restaurant/data=!4m7!3m6!1s0x14cb575dbf72804f:0xf52914e905a3cc1!8m2!3d40.7422018!4d30.0507095!16s%2Fg%2F1x5bbmdr!19sChIJT4Byv11XyxQRwTxakE6RUg8?authuser=0&hl=tr&rclk=1
KARTEPE LOKANTASI,"Köseköy istasyon mahallesi, Leyla Atakan Cad. No:33/A, 41250 Kartepe/Kocaeli",,No Website,N/A,https://www.google.com/maps/place/KARTEPE+LOKANTASI/data=!4m7!3m6!1s0x14cb5177cd216a75:0xbdc734e710217ee8!8m2!3d40.750269!4d30.0226262!16s%2Fg%2F11g2z8y5pc!19sChIJdWohzXdRyxQR6H4hEOc0x70?authuser=0&hl=tr&rclk=1
Likarba,"Ataevler, Sapanca Yolu Cd., 41100 Kartepe/Kocaeli",(0262) 371 57 61,No Website,N/A,https://www.google.com/maps/place/Likarba/data=!4m7!3m6!1s0x14cb5130d818e187:0x56b551cd292e9b76!8m2!3d40.7405706!4d30.0512297!16s%2Fg%2F11bxdtlyrw!19sChIJh-EY2DBRyxQRdpsuKc1RtVY?authuser=0&hl=tr&rclk=1
Aşina Cafe Restaurant,"NO: Uzunçiftlik, Atakent Mahallesi, Sapanca Yolu Cd. No:40, 41080 Kartepe/Kocaeli",(0262) 371 15 55,No Email Found,https://asinacaferestaurant.com/,https://www.google.com/maps/place/A%C5%9Fina+Cafe+Restaurant/data=!4m7!3m6!1s0x14cb50bba3ae8969:0x8752fd0b37c3ff81!8m2!3d40.7430364!4d30.0505897!16s%2Fg%2F113g4y9lv!19sChIJaYmuo7tQyxQRgf_DNwv9Uoc?authuser=0&hl=tr&rclk=1
Gurme Steak House,"Sarımeşe, Sapanca Yolu Cd., 41100 Kartepe/Kocaeli",0532 628 07 41,info@gurmesteakhouse.com,http://www.gurmesteakhouse.com/,https://www.google.com/maps/place/Gurme+Steak+House/data=!4m7!3m6!1s0x14cb51d5b677edf9:0x26545be7c98a3ee4!8m2!3d40.728898!4d30.0691049!16s%2Fg%2F11j3v8c3ny!19sChIJ-e13ttVRyxQR5D6KyedbVCY?authuser=0&hl=tr&rclk=1
Irmak Bungalov/Kahvaltı,"Maşukiye, Hürmet Sk., 41295 Kartepe/Kocaeli",0534 744 50 98,No Email Found,https://www.instagram.com/masukiyeirmakalabalik/,https://www.google.com/maps/place/Irmak+Bungalov%2FKahvalt%C4%B1/data=!4m10!3m9!1s0x14cb578869eba3fb:0x911f217e55af4455!5m2!4m1!1i2!8m2!3d40.703985!4d30.1452737!16s%2Fg%2F11gh9g3sn5!19sChIJ-6PraYhXyxQRVUSvVX4hH5E?authuser=0&hl=tr&rclk=1
41 IZGARA YUSUF USTA,"İstasyon, Ankara Cd. No:89, 41250 Kartepe/Kocaeli",(0262) 373 40 50,No Website,N/A,https://www.google.com/maps/place/41+IZGARA+YUSUF+USTA/data=!4m7!3m6!1s0x14cb508c16b9e5ff:0x343216ce03e377d4!8m2!3d40.7524473!4d30.0272072!16s%2Fg%2F11bz_sw266!19sChIJ_-W5FoxQyxQR1HfjA84WMjQ?authuser=0&hl=tr&rclk=1
