Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Livadi Cafe & Restaurant,"Cephanelik Mesire Alanı Tesisleri içinde, 28 Haziran, 41060 İzmit/Kocaeli",,"info@LivadiCafe.com, info@LivadiCafeWeb.com",https://www.google.com/url?q=http://www.livadicafe.com/&opi=79508299&sa=U&ved=0ahUKEwjF2bbnxpWMAxUIRPEDHWy-JDAQ61gIGigQ&usg=AOvVaw3WOfyAvN6SUr_dv4Pk_UnY,https://www.google.com/maps/place/Livadi+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x14cb4fbf2702a423:0xd486bbd46d602f0c!8m2!3d40.7826178!4d29.9480714!16s%2Fg%2F11cjkq136t!19sChIJI6QCJ79PyxQRDC9gbdS7htQ?authuser=0&hl=tr&rclk=1
Keyfi İkram Yenicuma,"Ömerağa, Pertev Paşa Cd. No:1, 41300 İzmit/Kocaeli",(0262) 323 77 88,No Email Found,https://www.google.com/url?q=http://keyfiikram.com.tr/&opi=79508299&sa=U&ved=0ahUKEwjq-rLqxpWMAxWhRvEDHRHPFQoQ61gIGSgQ&usg=AOvVaw3MAyd9v84WQQN20k9zZgBh,https://www.google.com/maps/place/Keyfi+%C4%B0kram+Yenicuma/data=!4m7!3m6!1s0x14cb457f024452a9:0xdb2e5f1c63432055!8m2!3d40.7625465!4d29.9305458!16s%2Fg%2F11bxb9gmc_!19sChIJqVJEAn9FyxQRVSBDYxxfLts?authuser=0&hl=tr&rclk=1
Antikkapi Restaurant,"Karabaş, 1. Cd. No:5, 41040 İzmit/Kocaeli",Telefon Yok,No Website,N/A,https://www.google.com/maps/place/Antikkapi+Restaurant/data=!4m7!3m6!1s0x14cb457c6c8b7563:0x4d0c866f609f49b2!8m2!3d40.7586877!4d29.9337674!16s%2Fg%2F11fmz2hsmd!19sChIJY3WLbHxFyxQRskmfYG-GDE0?authuser=0&hl=tr&rclk=1
Mini Köşk Köfte,"Çayırköy, Yeni Kandıra Yolu, 41000 İzmit/Kocaeli",(0262) 367 41 92,No Email Found,https://www.google.com/url?q=http://www.minikosk.com/&opi=79508299&sa=U&ved=0ahUKEwjoqJ_vxpWMAxVIRPEDHYjGPOYQ61gIFSgQ&usg=AOvVaw0V2nU6k94TlwqRQEGkFfVR,https://www.google.com/maps/place/Mini+K%C3%B6%C5%9Fk+K%C3%B6fte/data=!4m7!3m6!1s0x14cb51c6950ade11:0xd9bec258e5fa254!8m2!3d40.7971493!4d29.9927932!16s%2Fg%2F1v0bvzks!19sChIJEd4KlcZRyxQRVKJfjiXsmw0?authuser=0&hl=tr&rclk=1
KUZİNE RESTAURANT,"Kabaoğlu, Prof. Baki Komşuoğlu Blv. No:191/A, 41100 İzmit/Kocaeli",(0262) 329 09 09,No Email Found,https://www.google.com/url?q=https://www.facebook.com/Kuzine-Cafe-Restorant-910143409074207/&opi=79508299&sa=U&ved=0ahUKEwjw8sXxxpWMAxUuAdsEHTLmEVkQ61gIFSgQ&usg=AOvVaw0xtu4CSMlNUThg5IA0GA4F,https://www.google.com/maps/place/KUZ%C4%B0NE+RESTAURANT/data=!4m7!3m6!1s0x14cb4fab04c8e4e9:0xb2df0751e327211!8m2!3d40.800107!4d29.9308942!16s%2Fg%2F11c2q2h6t8!19sChIJ6eTIBKtPyxQREXIyHnXwLQs?authuser=0&hl=tr&rclk=1
Balıkçı Asiye,"Ömerağa Mah. Şehabettin Bilgisu Cad, Latif Bey Sk. No:18, 41000 İzmit/Kocaeli",(0262) 324 40 60,No Website,N/A,https://www.google.com/maps/place/Bal%C4%B1k%C3%A7%C4%B1+Asiye/data=!4m7!3m6!1s0x14cb451a4f1e4bf9:0x5e21280a9875a7f5!8m2!3d40.7624461!4d29.9268057!16s%2Fg%2F11kkvv41nd!19sChIJ-UseTxpFyxQR9ad1mAooIV4?authuser=0&hl=tr&rclk=1
Maşşa Ocakbaşı,"M.Ali Pasa Mah. Erkan Sok. No:3 (Teona Otel Altı), 41050 İzmit/Kocaeli",(0262) 322 40 40,No Email Found,https://www.google.com/url?q=http://facebook.com/massaocakbasi&opi=79508299&sa=U&ved=0ahUKEwibooj2xpWMAxXMSvEDHYbvDxoQ61gIFigO&usg=AOvVaw19c2OKmO2vIMmMxAEQghs1,https://www.google.com/maps/place/Ma%C5%9F%C5%9Fa+Ocakba%C5%9F%C4%B1/data=!4m7!3m6!1s0x14cb4ff3e727bfbf:0x5b9e406c2327e5e5!8m2!3d40.7636425!4d29.9562956!16s%2Fg%2F11c5rq2532!19sChIJv78n5_NPyxQR5eUnI2xAnls?authuser=0&hl=tr&rclk=1
Şelale Manzara Cafe Restaurant,"Erenler, Kevser Sk. no:5, 41060 İzmit/Kocaeli",0501 253 33 53,No Website,N/A,https://www.google.com/maps/place/%C5%9Eelale+Manzara+Cafe+Restaurant/data=!4m7!3m6!1s0x14cb4fe082cdfcb9:0x48f41805819642b1!8m2!3d40.7777109!4d29.9425067!16s%2Fg%2F11rss641_q!19sChIJufzNguBPyxQRsUKWgQUY9Eg?authuser=0&hl=tr&rclk=1
Kokoreç Office,"Tepecik, Cumhuriyet Cd. No:63/B, 41200 İzmit/Kocaeli",(0262) 333 04 44,No Website,N/A,https://www.google.com/maps/place/Kokore%C3%A7+Office/data=!4m7!3m6!1s0x14cb458177141b2b:0xb317e42cf9afa6f0!8m2!3d40.7630678!4d29.9247404!16s%2Fg%2F11fhz588tm!19sChIJKxsUd4FFyxQR8Kav-SzkF7M?authuser=0&hl=tr&rclk=1
Romano Cafe Restaurant,"Cumhuriyet, Sahil Sk. No:15, 41100 İzmit/Kocaeli",(0262) 226 88 75,info@romanorestorancafe.com,https://www.google.com/url?q=http://www.romanorestorancafe.com/&opi=79508299&sa=U&ved=0ahUKEwiq3_T9xpWMAxUoR_EDHfGzCRAQ61gIFSgQ&usg=AOvVaw0IcdmFY4JaE8tIP6njiQNY,https://www.google.com/maps/place/Romano+Cafe+Restaurant/data=!4m7!3m6!1s0x14cb446a2336b7d5:0xbbb18e8e21b18115!8m2!3d40.760134!4d29.879708!16s%2Fg%2F1ptwr5_ft!19sChIJ1bc2I2pEyxQRFYGxIY6Osbs?authuser=0&hl=tr&rclk=1
Çınar Lokantası,"Ömerağa, Şahabettin Bilgisu Cd. No:38, 41040 İzmit/Kocaeli",(0262) 321 96 94,No Website,N/A,https://www.google.com/maps/place/%C3%87%C4%B1nar+Lokantas%C4%B1/data=!4m7!3m6!1s0x14cb457f6f015c4b:0xf0ef2390272c5e3e!8m2!3d40.7621851!4d29.9295386!16s%2Fg%2F1tcx40_c!19sChIJS1wBb39FyxQRPl4sJ5Aj7_A?authuser=0&hl=tr&rclk=1
