Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Koçal Çiftliği Kafe&Restoran Yuvacık,"Mahallesi, Yuvacık Yakacık, Önder Sk. No:43, 41090 Başiskele/Kocaeli",0539 841 33 22,kocalciftligirestorant@gmail.com,http://www.kocalciftligi.com/,https://www.google.com/maps/place/Ko%C3%A7al+%C3%87iftli%C4%9Fi+Kafe%26Restoran+Yuvac%C4%B1k/data=!4m7!3m6!1s0x14cb5d9df3cd0965:0x630e118a86e211f5!8m2!3d40.6713709!4d29.9788658!16s%2Fg%2F11hz3cndc0!19sChIJZQnN851dyxQR9RHihooRDmM?authuser=0&hl=tr&rclk=1
Diva,"Körfez mahallesi liman caddesi, Hacı Ramazan Sk., 41030 Başiskele/Kocaeli",0850 888 8841,divaizmit@hotmail.com,https://divagarden.com/,https://www.google.com/maps/place/Diva/data=!4m7!3m6!1s0x14cb451e43b28d89:0x3aebb5a86615532!8m2!3d40.7140877!4d29.9146071!16s%2Fg%2F11g0nkb63d!19sChIJiY2yQx5FyxQRMlVhhlq7rgM?authuser=0&hl=tr&rclk=1
Refiye Sahil Başiskele,"Körfez, Liman Cd. No:118, 41245 Başiskele/Kocaeli",0539 655 71 82,bilgi@refiyerestaurant.com,http://refiyerestaurant.com/,https://www.google.com/maps/place/Refiye+Sahil+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb45360f9172a9:0x881fac4f182e939f!8m2!3d40.716348!4d29.921953!16s%2Fg%2F11svf9_6y3!19sChIJqXKRDzZFyxQRn5MuGE-sH4g?authuser=0&hl=tr&rclk=1
The Hunger İzmit Symbol Avm,"Ovacık Mahallesi D100 Karayolu Caddesi No: 48 GF Başiskele, 41190 Başiiskele/Kocaeli",0537 569 53 68,thehunger@thehunger.com.tr,https://www.thehunger.com.tr/,https://www.google.com/maps/place/The+Hunger+%C4%B0zmit+Symbol+Avm/data=!4m7!3m6!1s0x14cb51a59095ae37:0x9f1888c27f4cc476!8m2!3d40.7572302!4d29.9791631!16s%2Fg%2F11tj6gh0hw!19sChIJN66VkKVRyxQRdsRMf8KIGJ8?authuser=0&hl=tr&rclk=1
Çınaraltı Künefe & Kahvaltı Başiskele,"Körfez, Liman Cd. No:116, 41245 Başiskele/Kocaeli",(0262) 414 61 41,info@cinaraltikunefe.com,http://www.cinaraltikunefe.com/,https://www.google.com/maps/place/%C3%87%C4%B1naralt%C4%B1+K%C3%BCnefe+%26+Kahvalt%C4%B1+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb45d432b5becd:0x335fba193c4ea300!8m2!3d40.7162941!4d29.9217853!16s%2Fg%2F11tws2mz49!19sChIJzb61MtRFyxQRAKNOPBm6XzM?authuser=0&hl=tr&rclk=1
Jumbo Künefe Başiskele Sahil,"Körfez, Liman Cd. No: 70, 41245 Başiskele/Kocaeli",(0262) 343 43 42,"ilkeracay@jumbokunefe.com, arif@ilepa.com.tr, e.kekliik@gmail.com, cerenkanberoglu@ilepa.com.tr, burakbektas@jumbokunefe.com, info@jumbokunefe.com",https://jumbokunefe.com/,https://www.google.com/maps/place/Jumbo+K%C3%BCnefe+Ba%C5%9Fiskele+Sahil/data=!4m7!3m6!1s0x14cb455089b9075d:0x599248a3e3fa37dc!8m2!3d40.713712!4d29.916774!16s%2Fg%2F11v097zmc_!19sChIJXQe5iVBFyxQR3Df646NIklk?authuser=0&hl=tr&rclk=1
Gölbaşı Restaurant,"Hisareyn Mh. Fatih Cd. No:185, Gölcük / Kocaeli, 41663",(0262) 434 48 00,iletisim@golbasirestaurant.net,http://www.golbasirestaurant.net/,https://www.google.com/maps/place/G%C3%B6lba%C5%9F%C4%B1+Restaurant/data=!4m7!3m6!1s0x14cb40cbf7721973:0x5c535b03c9927b83!8m2!3d40.6831817!4d29.8660945!16s%2Fg%2F1hc1l_m9w!19sChIJcxly98tAyxQRg3uSyQNbU1w?authuser=0&hl=tr&rclk=1
Maydonoz Döner Kocaeli Başiskele,"Yaylacık, Hürler Cd. no: 270/A, 41190 Başiskele/Kocaeli",(0262) 302 00 15,info@maydonozdoner.com,https://www.maydonozdoner.com/,https://www.google.com/maps/place/Maydonoz+D%C3%B6ner+Kocaeli+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb4571ec7211bd:0x8a8b0a6b25376eb5!8m2!3d40.7212991!4d29.9681845!16s%2Fg%2F11vxjx_pj1!19sChIJvRFy7HFFyxQRtW43JWsKi4o?authuser=0&hl=tr&rclk=1
Gazi'nin Yeri Konaklama & Restoran,"Yuvacık Barajı Sonu, Yakacık Mah, Hamdi Taşdemir Cd. No:16, 41090 Başiskele/Kocaeli",(0262) 345 00 22,info@gazininyeri.com,http://www.gazininyeri.com/,https://www.google.com/maps/place/Gazi%27nin+Yeri+Konaklama+%26+Restoran/data=!4m10!3m9!1s0x14cb42f165a14ce9:0x502ea3841a5629dd!5m2!4m1!1i2!8m2!3d40.6397833!4d29.9347286!16s%2Fg%2F11btwmhytn!19sChIJ6UyhZfFCyxQR3SlWGoSjLlA?authuser=0&hl=tr&rclk=1
Midpoint - Symbol AVM,"Symbol, Kocaeli",Telefon Yok,info@tikla.com.tr,https://www.tikla.com.tr/midpoint-symbol-kocaeli-avm.html,https://www.google.com/maps/place/Midpoint+-+Symbol+AVM/data=!4m7!3m6!1s0x14cb50036a2cb18d:0x7b01956958810603!8m2!3d40.7591603!4d29.9796404!16s%2Fg%2F11c55vzp9q!19sChIJjbEsagNQyxQRAwaBWGmVAXs?authuser=0&hl=tr&rclk=1
