Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
My Chef,"Caferağa, Sakız Gülü Sk. No:24, 34710 Kadıköy/İstanbul",,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,http://www.my-chef.com.tr/,https://www.google.com/maps/place/My+Chef/data=!4m7!3m6!1s0x14cab8668e17ca43:0x6a991ac93255a06b!8m2!3d40.9872744!4d29.0275117!16s%2Fg%2F1q66z2qvd!19sChIJQ8oXjma4yhQRa6BVMskamWo?authuser=0&hl=tr&rclk=1
Yanyalı Fehmi Lokantası,"Osmanağa, Yağlıkçıismail Sok No:1, 34714 Kadıköy/İstanbul",(0216) 336 33 33,No Email Found,http://www.yanyalifehmi.com/,https://www.google.com/maps/place/Yanyal%C4%B1+Fehmi+Lokantas%C4%B1/data=!4m7!3m6!1s0x14cac70642b3ea81:0x852a787003a6d728!8m2!3d40.9907688!4d29.0255674!16s%2Fg%2F1tjjrll6!19sChIJgeqzQgbHyhQRKNemA3B4KoU?authuser=0&hl=tr&rclk=1
Çiya Sofrası,"Caferağa, Güneşli Bahçe Sok, 34710 Kadıköy/İstanbul",(0216) 418 51 15,No Email Found,http://www.ciya.com.tr/,https://www.google.com/maps/place/%C3%87iya+Sofras%C4%B1/data=!4m7!3m6!1s0x14cab867a20b3a85:0x58aaaeb4b80c5113!8m2!3d40.9893196!4d29.0244093!16s%2Fg%2F1td6_9_v!19sChIJhToLome4yhQRE1EMuLSuqlg?authuser=0&hl=tr&rclk=1
Balıkçı Lokantası,"Rasimpaşa, Tayyareci Sami Sk. No:20 D:B, 34716 Kadıköy/İstanbul",(0216) 346 40 14,No Website,N/A,https://www.google.com/maps/place/Bal%C4%B1k%C3%A7%C4%B1+Lokantas%C4%B1/data=!4m7!3m6!1s0x14cab86909c52307:0xb9891dcdfb2ffc64!8m2!3d40.9937629!4d29.0257168!16s%2Fg%2F1vy5dfvw!19sChIJByPFCWm4yhQRZPwv-80dibk?authuser=0&hl=tr&rclk=1
Aida Vino E Cucina,"no: 10, Caferağa, Ressam Şeref Akdik Sokağı No:10, 34710 Kadıköy/İstanbul",0544 851 51 51,No Email Found,http://www.aidavinoecucina.com/,https://www.google.com/maps/place/Aida+Vino+E+Cucina/data=!4m7!3m6!1s0x14cab860d7e5c119:0xf2b69d9c8054a99c!8m2!3d40.9854827!4d29.0255633!16s%2Fg%2F11bwny2jbp!19sChIJGcHl12C4yhQRnKlUgJydtvI?authuser=0&hl=tr&rclk=1
Kadıköy Sofrası,"Osmanağa, Gazi Osman Paşa Sk. No:2, 34714 Kadıköy/İstanbul",(0216) 336 73 51,No Website,N/A,https://www.google.com/maps/place/Kad%C4%B1k%C3%B6y+Sofras%C4%B1/data=!4m7!3m6!1s0x14cab86fa9a5654b:0xaabd9aa395423e2!8m2!3d40.9909741!4d29.0317978!16s%2Fg%2F1td0jqpz!19sChIJS2WlqW-4yhQR4iNUOarZqwo?authuser=0&hl=tr&rclk=1
Brasserie Noir,"Suadiye, Bağdat Cad. 455 1 D:B, 34740 Kadıköy/İstanbul",(0216) 380 00 05,No Website,N/A,https://www.google.com/maps/place/Brasserie+Noir/data=!4m7!3m6!1s0x14cac704487d1d37:0x3342db96f86dabad!8m2!3d40.9593499!4d29.0844223!16s%2Fg%2F11cjkq2h2p!19sChIJNx19SATHyhQRratt-JbbQjM?authuser=0&hl=tr&rclk=1
The Townhouse,"Suadiye, Plaj Yolu Sk. No13, 34740 Kadıköy/İstanbul",(0216) 463 14 15,info@thetownhouse.com.tr,https://www.thetownhouse.com.tr/,https://www.google.com/maps/place/The+Townhouse/data=!4m7!3m6!1s0x14cac76ed8d8059b:0x658dcf9d7524743c!8m2!3d40.9579546!4d29.0818278!16s%2Fg%2F11h5wb4crn!19sChIJmwXY2G7HyhQRPHQkdZ3PjWU?authuser=0&hl=tr&rclk=1
Ayık Çorba Kebap,"Caferağa, Dumlupınar Sk. No:14, 34710 Kadıköy/İstanbul",(0216) 337 36 62,No Email Found,http://www.ayik24.com/,https://www.google.com/maps/place/Ay%C4%B1k+%C3%87orba+Kebap/data=!4m7!3m6!1s0x14cab867a2383169:0x3f50d441cd302560!8m2!3d40.9890507!4d29.0242675!16s%2Fg%2F11c29sf9w8!19sChIJaTE4ome4yhQRYCUwzUHUUD8?authuser=0&hl=tr&rclk=1
Küff Yeldeğirmeni,"Rasimpaşa, Karakolhane Cd. No:54, 34716 Kadıköy/İstanbul",Telefon Yok,Error Accessing Site,https://www.facebook.com/kuffcafe/,https://www.google.com/maps/place/K%C3%BCff+Yelde%C4%9Firmeni/data=!4m7!3m6!1s0x14cab86c6d0e1f1f:0xa8e65a5db933b0a4!8m2!3d40.9957191!4d29.0293389!16s%2Fg%2F11cn9k2vhn!19sChIJHx8ObWy4yhQRpLAzuV1a5qg?authuser=0&hl=tr&rclk=1
Hane Kadıköy,"Osmanağa, Mimar Çk No: 7, 34714 Kadıköy/İstanbul",0552 388 03 00,Error Accessing Site,https://www.instagram.com/hanekadikoy,https://www.google.com/maps/place/Hane+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab91333b73c65:0x178784e279537d07!8m2!3d40.9896761!4d29.0283228!16s%2Fg%2F11grtblbwc!19sChIJZTy3MxO5yhQRB31TeeKEhxc?authuser=0&hl=tr&rclk=1
Cunda Balık Restaurant,"Bostancı, Koy Yolu Sk. No:6, 34744 Kadıköy/İstanbul",(0216) 380 59 89,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com",http://www.cundabalik.com.tr/,https://www.google.com/maps/place/Cunda+Bal%C4%B1k+Restaurant/data=!4m7!3m6!1s0x14cac6fd36fbdbaf:0xd24ca6e1f4d8057c!8m2!3d40.95342!4d29.093872!16s%2Fg%2F1tcz5bpr!19sChIJr9v7Nv3GyhQRfAXY9OGmTNI?authuser=0&hl=tr&rclk=1
Neni Brasserie,"Caddebostan, Haldun Taner Sk. No:7 D:1, 34728 Kadıköy/İstanbul",0533 380 38 56,Error Accessing Site,http://www.nenibrasserie.com/,https://www.google.com/maps/place/Neni+Brasserie/data=!4m7!3m6!1s0x14cac77443a41b41:0x7b59426b2ba77c3f!8m2!3d40.9671797!4d29.0654234!16s%2Fg%2F11gb3syq4l!19sChIJQRukQ3THyhQRP3ynK2tCWXs?authuser=0&hl=tr&rclk=1
Basta Street Food Bar,"Caferağa, Sakız Sk. No:1, 34710 Kadıköy/İstanbul",(0216) 414 08 65,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com",http://www.bastafood.com/,https://www.google.com/maps/place/Basta+Street+Food+Bar/data=!4m7!3m6!1s0x14cab8663f76a41d:0xa306aea5a27ed1df!8m2!3d40.9877957!4d29.0262009!16s%2Fg%2F11c40rbvhm!19sChIJHaR2P2a4yhQR39F-oqWuBqM?authuser=0&hl=tr&rclk=1
KADIKÖY LOKANTASI,"Osmanağa Mah Halitağa Caddesi, Şemsitap Sk. No:22, 34000 Kadıköy/İstanbul",Telefon Yok,No Website,N/A,https://www.google.com/maps/place/KADIK%C3%96Y+LOKANTASI/data=!4m7!3m6!1s0x14cab86f35ea3659:0x183b7f9e3cee7dca!8m2!3d40.9909691!4d29.0287559!16s%2Fg%2F11b808pd3w!19sChIJWTbqNW-4yhQRyn3uPJ5_Oxg?authuser=0&hl=tr&rclk=1
Cafe Cadde,"Caddebostan Mahallesi, Erenköy, Bağdat Cad. No:349, 34728 Kadıköy",(0216) 302 76 24,No Email Found,http://www.cafecadde.com.tr/,https://www.google.com/maps/place/Cafe+Cadde/data=!4m7!3m6!1s0x14cac633c300c977:0xa0f3cbb80e393cf1!8m2!3d40.964108!4d29.074343!16s%2Fg%2F1pp2twpmj!19sChIJd8kAwzPGyhQR8Tw5DrjL86A?authuser=0&hl=tr&rclk=1
