Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Gazelle Lounge Restaurant,"Hoca Paşa, Nöbethane Cd. 16/A, 34110 Fatih/İstanbul",,info@gazellelounge.com.tr,https://www.google.com/url?q=https://gazellelounge.com.tr/&opi=79508299&sa=U&ved=0ahUKEwjx-8KZoaeMAxUxavEDHe0wL2gQ61gIFCgQ&usg=AOvVaw1D1YS5nxmBtOMbJ_uhtkjI,https://www.google.com/maps/place/Gazelle+Lounge+Restaurant/data=!4m7!3m6!1s0x14cab9c346894b87:0x6859b269bd5a4a26!8m2!3d41.0141495!4d28.9775931!16s%2Fg%2F11q3vbkfdy!19sChIJh0uJRsO5yhQRJkpavWmyWWg?authuser=0&hl=tr&rclk=1
Resto Han Sirkeci,"Hoca Paşa, Darüssade Sk. No:6, 34110 Fatih/İstanbul",0553 702 95 12,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, restohan34@gmail.com, 6117f2172a744ef3913942830d472a2c@sentry.wixpress.com",https://www.google.com/url?q=http://www.restohan.net/&opi=79508299&sa=U&ved=0ahUKEwiqqL6coaeMAxVoRfEDHfi8Jx4Q61gIFSgQ&usg=AOvVaw0o9gBwMcAq2SvOlAUf13QI,https://www.google.com/maps/place/Resto+Han+Sirkeci/data=!4m7!3m6!1s0x14cab91ce50ce307:0xbb7192a054334421!8m2!3d41.0134654!4d28.9783847!16s%2Fg%2F11mr2w2v09!19sChIJB-MM5Ry5yhQRIUQzVKCScbs?authuser=0&hl=tr&rclk=1
Resto Galata Terrace,"Yavuz Sinan Mah.Ragıp Gümüşpala Cad, Resto Galata Terrace, Unkapanı Cd. No:69 kat 4, 34134 Fatih/İstanbul",0506 241 90 12,No Email Found,https://www.google.com/url?q=http://www.restogalataterrace.com/&opi=79508299&sa=U&ved=0ahUKEwj2s8afoaeMAxUFBdsEHTvSLccQ61gIFigS&usg=AOvVaw2lLcmSO7vqf8e3hyeKApEp,https://www.google.com/maps/place/Resto+Galata+Terrace/data=!4m7!3m6!1s0x14cab96a8a947753:0x6b14ed301c57bda6!8m2!3d41.0211732!4d28.9625548!16s%2Fg%2F11t7k3zw16!19sChIJU3eUimq5yhQRpr1XHDDtFGs?authuser=0&hl=tr&rclk=1
Ziya Baba Türk Mutfağı Slow food & Anatolian Breakfast,"Küçük Ayasofya, Kadırga Limanı Cd. No:136, 34122 Fatih/İstanbul",(0212) 458 07 36,No Website,N/A,https://www.google.com/maps/place/Ziya+Baba+T%C3%BCrk+Mutfa%C4%9F%C4%B1+Slow+food+%26+Anatolian+Breakfast/data=!4m7!3m6!1s0x14cab99997cedfed:0x608b2c9d4caa5168!8m2!3d41.0036753!4d28.9719553!16s%2Fg%2F1tp6ltq9!19sChIJ7d_Ol5m5yhQRaFGqTJ0si2A?authuser=0&hl=tr&rclk=1
Hanzade Terrace Restaurant,"Emin Sinan, Piyer Loti Cd. No:35, 34126 Fatih/İstanbul",0544 546 28 28,No Email Found,https://www.google.com/url?q=http://www.hanzadeterracerestaurant.com/&opi=79508299&sa=U&ved=0ahUKEwjOwo6koaeMAxWYQ_EDHdYME1kQ61gIFSgQ&usg=AOvVaw20l9rArLYfRRNcEOEjlKDS,https://www.google.com/maps/place/Hanzade+Terrace+Restaurant/data=!4m7!3m6!1s0x14cab98439d22c7b:0x52f675a353c76664!8m2!3d41.0065521!4d28.9702276!16s%2Fg%2F11hdchbxfz!19sChIJeyzSOYS5yhQRZGbHU6N19lI?authuser=0&hl=tr&rclk=1
Chef Ramo Restaurant,"Hoca Paşa Mahallesi, Nöbet Hane caddesi - Dervişler Sokağı crossection, no:12A, 34110 Fatih/İstanbul",0546 797 49 35,No Website,N/A,https://www.google.com/maps/place/Chef+Ramo+Restaurant/data=!4m7!3m6!1s0x14cab97c10914b57:0x9e0dccb68da178cf!8m2!3d41.01408!4d28.9779305!16s%2Fg%2F11nnr8b6nq!19sChIJV0uREHy5yhQRz3ihjbbMDZ4?authuser=0&hl=tr&rclk=1
Mivan Restaurant Cafe,"Emin Sinan, Piyer Loti Cd. No:34, 34130 Fatih/İstanbul",0543 737 32 41,No Website,N/A,https://www.google.com/maps/place/Mivan+Restaurant+Cafe/data=!4m7!3m6!1s0x14cab990a0795ce1:0xec87cf56fc90f8d2!8m2!3d41.0062206!4d28.9690295!16s%2Fg%2F11f57jyfsh!19sChIJ4Vx5oJC5yhQR0viQ_FbPh-w?authuser=0&hl=tr&rclk=1
Eagles İstanbul Restaurant,"Binbirdirek, klor farer caddesi no10/7, 34122 Fatih/İstanbul",0505 053 21 34,"kralleonidas4@gmail.com, f36cc48fb72b4d298c835f2793cf3b84@sentry-next.wixpress.com, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, eaglesistanbulrestaurant@gmail.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, 460ff4620fa44cba8df530afde949785@sentry.wixpress.com, c5095236fd2e4b8fae9ed6d73cdd81a3@sentry.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 6117f2172a744ef3913942830d472a2c@sentry.wixpress.com, 0c52cb89aa4d4154857a1584b6701db6@sentry.wixpress.com",https://www.google.com/url?q=http://www.eaglesistanbulrestaurant.com/&opi=79508299&sa=U&ved=0ahUKEwiV6Z2roaeMAxWjVfEDHQGqD3IQ61gIFCgQ&usg=AOvVaw2QOI5bPVAPKbHQYq-WoRYg,https://www.google.com/maps/place/Eagles+%C4%B0stanbul+Restaurant/data=!4m7!3m6!1s0x14cab956c9f6f289:0x8718ec4f4c4ec1fb!8m2!3d41.0076872!4d28.9733343!16s%2Fg%2F11t1h4n60t!19sChIJifL2yVa5yhQR-8FOTE_sGIc?authuser=0&hl=tr&rclk=1
Paradise seafood kebap restaurant,"Sultan Ahmet, Akbıyık Cd. No:80, 34093 Fatih/İstanbul",0538 928 32 21,info@sultanahmetparadiserestaurant.com,https://www.google.com/url?q=https://www.sultanahmetparadiserestaurant.com/&opi=79508299&sa=U&ved=0ahUKEwjaitWtoaeMAxUDSfEDHVh4ONQQ61gIFCgQ&usg=AOvVaw0ZSWKm_mJDJcg5_jfD0F4Z,https://www.google.com/maps/place/Paradise+seafood+kebap+restaurant/data=!4m7!3m6!1s0x14cab9a05c04c29b:0xb797843a90436b1b!8m2!3d41.004299!4d28.978887!16s%2Fg%2F11qh2j780x!19sChIJm8IEXKC5yhQRG2tDkDqEl7c?authuser=0&hl=tr&rclk=1
Balkan Lokantası,"Hobyar, Ankara Cd. 35/A, 34112 Fatih/İstanbul",(0212) 514 36 88,No Website,N/A,https://www.google.com/maps/place/Balkan+Lokantas%C4%B1/data=!4m7!3m6!1s0x14cab99549e8c953:0x89b802705427aef6!8m2!3d41.0136111!4d28.9747222!16s%2Fg%2F11g8w5t_bd!19sChIJU8noSZW5yhQR9q4nVHACuIk?authuser=0&hl=tr&rclk=1
