Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Selcuk pidecisi,"Atatürk, Cengiz Topel Cd. No:29, 35920 Selçuk/İzmir",,"8c4075d5481d476e945486754f783364@sentry.io, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, selcukpidecisi@gmail.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com",https://www.google.com/url?q=http://www.selcukpidecisi.com/&opi=79508299&sa=U&ved=0ahUKEwjQuNPRyoaMAxUBOHoKHQdNEX0Q61gIGSgQ&usg=AOvVaw0S660iXMclzp2msuzTDw1y,https://www.google.com/maps/place/Selcuk+pidecisi/data=!4m7!3m6!1s0x14b94df9efad253d:0x3fe66ee021c436b0!8m2!3d37.95061!4d27.3705491!16s%2Fg%2F11fnwwrvqc!19sChIJPSWt7_lNuRQRsDbEIeBu5j8?authuser=0&hl=tr&rclk=1
Mekan Efes Restaurant,"Atatürk, 1055. Sk. No:4, 35920 Selçuk/İzmir",0505 896 25 82,No Website,N/A,https://www.google.com/maps/place/Mekan+Efes+Restaurant/data=!4m7!3m6!1s0x14b94d65e33222ef:0x912982cee43288ff!8m2!3d37.95129!4d27.365792!16s%2Fg%2F11sbx3qt2z!19sChIJ7yIy42VNuRQR_4gy5M6CKZE?authuser=0&hl=tr&rclk=1
Nur restaurant,"Atatürk, Cengiz Topel Cd. 9/D, 35920 Selçuk/İzmir",0541 710 20 06,No Website,N/A,https://www.google.com/maps/place/Nur+restaurant/data=!4m7!3m6!1s0x14b94d506e576d7d:0x900d662c89ba1b!8m2!3d37.9503332!4d27.3719897!16s%2Fg%2F1tfswclf!19sChIJfW1XblBNuRQRG7qJLGYNkAA?authuser=0&hl=tr&rclk=1
Agora Restaurant,"Atatürk Atatürk Cad./agora Çarşısı, 35920 Selçuk/İzmir",(0232) 892 30 53,info@agorarest.com,https://www.google.com/url?q=http://www.agorarest.com/&opi=79508299&sa=U&ved=0ahUKEwjqmPzYyoaMAxW-BNsEHcQaCQAQ61gIEygO&usg=AOvVaw0I1Zqma63QIEm91_Z8hhyP,https://www.google.com/maps/place/Agora+Restaurant/data=!4m7!3m6!1s0x14b94d50f727f857:0xc34e80e278125463!8m2!3d37.9482176!4d27.3679726!16s%2Fg%2F1tfy4_x8!19sChIJV_gn91BNuRQRY1QSeOKATsM?authuser=0&hl=tr&rclk=1
Ejder Restaurant,"Atatürk, Cengiz Topel Cd. 9 E, 35920 Selçuk/İzmir",0542 892 32 96,No Website,N/A,https://www.google.com/maps/place/Ejder+Restaurant/data=!4m7!3m6!1s0x14b94d506cef3847:0xa132aecdf43b79cd!8m2!3d37.950346!4d27.371812!16s%2Fg%2F1v2gb1m6!19sChIJRzjvbFBNuRQRzXk79M2uMqE?authuser=0&hl=tr&rclk=1
Seçkin Ciğerci mecit gazi,"C35920, Atatürk, 1006. Sk. No:3, 35920 Selçuk/İzmir",(0232) 892 35 46,No Email Found,https://www.google.com/url?q=https://www.instagram.com/seckincigerci%3Figsh%3DMTMzZm4wZ3ZheWxuOQ%253D%253D%26utm_source%3Dqr&opi=79508299&sa=U&ved=0ahUKEwibtcPdyoaMAxXOVPEDHbDWGFwQ61gIFygS&usg=AOvVaw0Sy4kkVnuaCeHrkOUU8Kl3,https://www.google.com/maps/place/Se%C3%A7kin+Ci%C4%9Ferci+mecit+gazi/data=!4m7!3m6!1s0x14b94d51ae4e7a59:0x373a23c359a05f3b!8m2!3d37.949684!4d27.371186!16s%2Fg%2F1tg_0cx9!19sChIJWXpOrlFNuRQRO1-gWcMjOjc?authuser=0&hl=tr&rclk=1
Eski Ev Restaurant (Old House),"Atatürk, 1005. Sk. No:1/A, 35920 Selçuk/İzmir",0536 255 37 45,No Website,N/A,https://www.google.com/maps/place/Eski+Ev+Restaurant+%28Old+House%29/data=!4m7!3m6!1s0x14b94d5066c3a30b:0x8cfb8b7f314dc98!8m2!3d37.9504157!4d27.3709576!16s%2Fg%2F11hzxj91y4!19sChIJC6PDZlBNuRQRmNwU87e4zwg?authuser=0&hl=tr&rclk=1
Tat Cafe Restaurant,"Atatürk, Cengiz Topel Cd. 19 B, 35920 Selçuk/İzmir",0535 869 07 13,No Website,N/A,https://www.google.com/maps/place/Tat+Cafe+Restaurant/data=!4m7!3m6!1s0x14b94d50640d2289:0xd0fd6d75c4fe1bbc!8m2!3d37.9505556!4d27.3708333!16s%2Fg%2F1tgl6jpv!19sChIJiSINZFBNuRQRvBv-xHVt_dA?authuser=0&hl=tr&rclk=1
Ali Baba & Mehmet Kebab House,"Atatürk, 1047. Sk. no: 4, 35920 Selçuk/İzmir",(0232) 892 38 72,No Email Found,https://www.google.com/url?q=http://www.kebabhouseselcuk.com/&opi=79508299&sa=U&ved=0ahUKEwiBnLDkyoaMAxVURPEDHX_vCdYQ61gIGigQ&usg=AOvVaw1LVJw4PfnrSvayqI76EaNH,https://www.google.com/maps/place/Ali+Baba+%26+Mehmet+Kebab+House/data=!4m7!3m6!1s0x14b94d512e8935cb:0x8701a854dd8d8a22!8m2!3d37.9492335!4d27.3680786!16s%2Fg%2F1tn8hnv0!19sChIJyzWJLlFNuRQRIoqN3VSoAYc?authuser=0&hl=tr&rclk=1
Ayasoluk Restaurant,"Atatürk, 1051. Sk. No:12, 35920 Selçuk/İzmir",(0232) 892 33 34,No Website,N/A,https://www.google.com/maps/place/Ayasoluk+Restaurant/data=!4m7!3m6!1s0x14b94d50d29d87cb:0xf8c0b366bc7478ec!8m2!3d37.9502128!4d27.3675401!16s%2Fg%2F11c5s6hp7f!19sChIJy4ed0lBNuRQR7Hh0vGazwPg?authuser=0&hl=tr&rclk=1
