Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Kartepe Manzara Restaurant,"Maşukiye Kartepe Cad. No:, D:149, 41250 Kartepe/Kocaeli",,info@kartepemanzara.com,https://www.kartepemanzara.com/,https://www.google.com/maps/place/Kartepe+Manzara+Restaurant/data=!4m7!3m6!1s0x14cb45389e515557:0xec81fada0a04937d!8m2!3d40.6792451!4d30.1387942!16s%2Fg%2F1ptw68x_k!19sChIJV1VRnjhFyxQRfZMECtr6gew?authuser=0&hl=tr&rclk=1
Vadi Restaurant,"Çınarlı Mahallesi, Vadisi, Maşukiye, Alabalık Sk. No:22, 41295 Kartepe/Kocaeli",(0262) 354 22 02,info@vadirestaurant.com,http://www.vadirestaurant.com/,https://www.google.com/maps/place/Vadi+Restaurant/data=!4m7!3m6!1s0x14cb50369618c7e9:0x9a5f3b688c5f113!8m2!3d40.6914024!4d30.1258525!16s%2Fg%2F1tht3p7z!19sChIJ6ccYljZQyxQRE_HFiLbzpQk?authuser=0&hl=tr&rclk=1
Gurme Steak House,"Sarımeşe, Sapanca Yolu Cd., 41100 Kartepe/Kocaeli",0532 628 07 41,info@gurmesteakhouse.com,http://www.gurmesteakhouse.com/,https://www.google.com/maps/place/Gurme+Steak+House/data=!4m7!3m6!1s0x14cb51d5b677edf9:0x26545be7c98a3ee4!8m2!3d40.728898!4d30.0691049!16s%2Fg%2F11j3v8c3ny!19sChIJ-e13ttVRyxQR5D6KyedbVCY?authuser=0&hl=tr&rclk=1
"Saklı Vadi Restaurant - Maşukiye, Kartepe","Kartepe Kayak Merkezi yolu üzeri 5.km Maşukiye, 41295 Kartepe/Kocaeli",(0262) 354 20 30,info@kartepesaklivadi.com,https://kartepesaklivadi.com/,"https://www.google.com/maps/place/Sakl%C4%B1+Vadi+Restaurant+-+Ma%C5%9Fukiye,+Kartepe/data=!4m7!3m6!1s0x14cb58697c598bf7:0x529553bbe6e63582!8m2!3d40.6831094!4d30.1388374!16s%2Fg%2F1yfh_kdwx!19sChIJ94tZfGlYyxQRgjXm5rtTlVI?authuser=0&hl=tr&rclk=1"
Saklı Bahçe Restaurant Maşukiye,"Maşukiye Mahallesi Kartepe Caddesi, Alabalık Sk. No:28, 41295 Kartepe/Kocaeli",(0262) 354 21 90,info@saklibahcerestaurant.com,http://saklibahcerestaurant.com/,https://www.google.com/maps/place/Sakl%C4%B1+Bah%C3%A7e+Restaurant+Ma%C5%9Fukiye/data=!4m7!3m6!1s0x14cb5847e9fa25d1:0xd93ac300f531c73e!8m2!3d40.6903859!4d30.1251441!16s%2Fg%2F1hc5c_pm5!19sChIJ0SX66UdYyxQRPscx9QDDOtk?authuser=0&hl=tr&rclk=1
İstasyon Lokantası,"İstasyon, 41135 Kartepe/Kocaeli",(0262) 373 56 44,isdunyasiorg@gmail.com,https://isdunyasi.org/istasyon-lokantasi,https://www.google.com/maps/place/%C4%B0stasyon+Lokantas%C4%B1/data=!4m7!3m6!1s0x14cb50898325a56d:0x7939ea567bd654d9!8m2!3d40.7522501!4d30.0228735!16s%2Fg%2F1v2sj9z2!19sChIJbaUlg4lQyxQR2VTWe1bqOXk?authuser=0&hl=tr&rclk=1
Maydonoz Döner Kocaeli Kartepe,"İstasyon, Leyla Atakan Cad. NO13/A, 41001 Kartepe/Kocaeli",(0262) 302 00 88,info@maydonozdoner.com,https://www.maydonozdoner.com/,https://www.google.com/maps/place/Maydonoz+D%C3%B6ner+Kocaeli+Kartepe/data=!4m7!3m6!1s0x14cb51e6f69c87c5:0x6105e47535d0b17b!8m2!3d40.7520046!4d30.0230879!16s%2Fg%2F11wwrt48b8!19sChIJxYec9uZRyxQRe7HQNXXkBWE?authuser=0&hl=tr&rclk=1
ipekyolu restaurant kartepe,"Maşukiye, 41250 Kartepe/Kocaeli",0535 935 40 57,bilgi@ipekyolurestaurant.com,http://www.ipekyolurestaurant.com/,https://www.google.com/maps/place/ipekyolu+restaurant+kartepe/data=!4m7!3m6!1s0x14cb58634f12d3a5:0x82f6cc3c68f4661!8m2!3d40.6702444!4d30.1467825!16s%2Fg%2F11c701r8zl!19sChIJpdMST2NYyxQRYUaPxsNsLwg?authuser=0&hl=tr&rclk=1
Packet Burger Kartepe,"İstasyon, Mithatpaşa Cd. No:58, 41250 Kartepe/Kocaeli",0554 700 19 25,info@tikla.com.tr,https://www.tikla.com.tr/packet-burger-kartepe.html,https://www.google.com/maps/place/Packet+Burger+Kartepe/data=!4m7!3m6!1s0x14cb508bde3688e5:0xf0c7472d59105cc8!8m2!3d40.7525616!4d30.0245528!16s%2Fg%2F11g7zf968p!19sChIJ5Yg23otQyxQRyFwQWS1Hx_A?authuser=0&hl=tr&rclk=1
Dane Mantı,"Ataevler, İsmet Paşa Cd. No:102/B, 41180 Kartepe/Kocaeli",0549 559 44 40,danemanti@danemanti.com,http://www.danemanti.com/,https://www.google.com/maps/place/Dane+Mant%C4%B1/data=!4m7!3m6!1s0x14cb511411db175d:0x91da99be14af0e65!8m2!3d40.7466581!4d30.0357291!16s%2Fg%2F11vdhl9c3n!19sChIJXRfbERRRyxQRZQ6vFL6Z2pE?authuser=0&hl=tr&rclk=1
