Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Kartepe Manzara Restaurant,"Maşukiye Kartepe Cad. No:, D:149, 41250 Kartepe/Kocaeli",0539 678 41 61,info@kartepemanzara.com,https://www.google.com/url?q=https://www.kartepemanzara.com/&opi=79508299&sa=U&ved=0ahUKEwjE9Nyw05WMAxVbSvEDHRR5DPAQ61gIFSgQ&usg=AOvVaw3_DIAc0XkDSgn716ezePet,https://www.google.com/maps/place/Kartepe+Manzara+Restaurant/data=!4m7!3m6!1s0x14cb45389e515557:0xec81fada0a04937d!8m2!3d40.6792451!4d30.1387942!16s%2Fg%2F1ptw68x_k!19sChIJV1VRnjhFyxQRfZMECtr6gew?authuser=0&hl=tr&rclk=1
Vadi Restaurant,"Çınarlı Mahallesi, Vadisi, Maşukiye, Alabalık Sk. No:22, 41295 Kartepe/Kocaeli",(0262) 354 22 02,info@vadirestaurant.com,https://www.google.com/url?q=http://www.vadirestaurant.com/&opi=79508299&sa=U&ved=0ahUKEwjr4Za305WMAxVaQ_EDHb7aOxwQ61gIFygS&usg=AOvVaw2twZijydCAevC1eQxwy2lB,https://www.google.com/maps/place/Vadi+Restaurant/data=!4m7!3m6!1s0x14cb50369618c7e9:0x9a5f3b688c5f113!8m2!3d40.6914024!4d30.1258525!16s%2Fg%2F1tht3p7z!19sChIJ6ccYljZQyxQRE_HFiLbzpQk?authuser=0&hl=tr&rclk=1
Livadi Cafe & Restaurant,"Cephanelik Mesire Alanı Tesisleri içinde, 28 Haziran, 41060 İzmit/Kocaeli",(0262) 322 80 00,"info@LivadiCafe.com, info@LivadiCafeWeb.com",https://www.google.com/url?q=http://www.livadicafe.com/&opi=79508299&sa=U&ved=0ahUKEwi5uJW705WMAxUdVvEDHep9AfkQ61gIGigQ&usg=AOvVaw2QZq78VqDB1j53M2ZJC8Wm,https://www.google.com/maps/place/Livadi+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x14cb4fbf2702a423:0xd486bbd46d602f0c!8m2!3d40.7826178!4d29.9480714!16s%2Fg%2F11cjkq136t!19sChIJI6QCJ79PyxQRDC9gbdS7htQ?authuser=0&hl=tr&rclk=1
Maçka İşkembe,"Yenişehir, Demokrasi Cd. No:74, 41050 İzmit/Kocaeli",(0262) 313 00 11,info@macka.com.tr,https://www.google.com/url?q=http://www.macka.com.tr/&opi=79508299&sa=U&ved=0ahUKEwjwtILA05WMAxXXX_EDHT1WJ6IQ61gIFSgQ&usg=AOvVaw0UlG93Dsu08Anum87Lm8IU,https://www.google.com/maps/place/Ma%C3%A7ka+%C4%B0%C5%9Fkembe/data=!4m7!3m6!1s0x14cb4ff07dc91143:0x9af16d88cbc1dcf8!8m2!3d40.763416!4d29.962055!16s%2Fg%2F1q66xsn89!19sChIJQxHJffBPyxQR-NzBy4ht8Zo?authuser=0&hl=tr&rclk=1
"Refiye Restoran - Cağ Kebap , Izgara , Serpme Kahvaltı , İzmit","Yahyakaptan, Kara Yolu Cd. No:21/B, 41050 İzmit/Kocaeli",(0262) 333 11 12,bilgi@refiyerestaurant.com,https://www.google.com/url?q=https://www.refiyerestaurant.com/&opi=79508299&sa=U&ved=0ahUKEwiYsOHE05WMAxXEBNsEHerXNRgQ61gIFSgQ&usg=AOvVaw0PiJ8WvpI0G3m-N3exjy_p,"https://www.google.com/maps/place/Refiye+Restoran+-+Ca%C4%9F+Kebap+,+Izgara+,+Serpme+Kahvalt%C4%B1+,+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4f5acc34e273:0x75da875d03438e1f!8m2!3d40.7798403!4d29.9727987!16s%2Fg%2F11g1qj706h!19sChIJc-I0zFpPyxQRH45DA12H2nU?authuser=0&hl=tr&rclk=1"
Masala Kebap,"Körfez Mahallesi, Berk Sokak No:1 - Dolphin AVM Karşısı, 41040 İzmit/Kocaeli",(0262) 324 40 70,info@masalakebap.com,https://www.google.com/url?q=https://www.masalakebap.com/&opi=79508299&sa=U&ved=0ahUKEwj0mYPH05WMAxV9RPEDHeqdBF8Q61gIFCgQ&usg=AOvVaw1sg4-Dx8eaAKjEOFHvHFMf,https://www.google.com/maps/place/Masala+Kebap/data=!4m7!3m6!1s0x14cb4f87d7a3f2eb:0x5953f0cb1e4e4c0f!8m2!3d40.7647183!4d29.9401826!16s%2Fg%2F11bz_vjj_c!19sChIJ6_Kj14dPyxQRD0xOHsvwU1k?authuser=0&hl=tr&rclk=1
Bursa Kebabçısı,"Ömerağa, Hürriyet Cd. No:91, 41300 İzmit/Kocaeli",(0262) 331 31 19,ybbursakebap@gmail.com,https://www.google.com/url?q=http://bursakebapcisiizmit.com/&opi=79508299&sa=U&ved=0ahUKEwib7_Hw05WMAxVHQvEDHewGM9MQ61gIFSgQ&usg=AOvVaw0Kl05xz1PX4fj16c4Fb3BI,https://www.google.com/maps/place/Bursa+Kebab%C3%A7%C4%B1s%C4%B1/data=!4m7!3m6!1s0x14cb4581c6a8c559:0x551c7b09afc6066b!8m2!3d40.7634548!4d29.9271169!16s%2Fg%2F1tf90tl9!19sChIJWcWoxoFFyxQRawbGrwl7HFU?authuser=0&hl=tr&rclk=1
"Saklı Vadi Restaurant - Maşukiye, Kartepe","Kartepe Kayak Merkezi yolu üzeri 5.km Maşukiye, 41295 Kartepe/Kocaeli",(0262) 354 20 30,info@kartepesaklivadi.com,https://www.google.com/url?q=https://kartepesaklivadi.com/&opi=79508299&sa=U&ved=0ahUKEwjumfqC1JWMAxW0QPEDHSqJNI8Q61gIEigO&usg=AOvVaw1zoGkFDFoBI1K_iB7xwllC,"https://www.google.com/maps/place/Sakl%C4%B1+Vadi+Restaurant+-+Ma%C5%9Fukiye,+Kartepe/data=!4m7!3m6!1s0x14cb58697c598bf7:0x529553bbe6e63582!8m2!3d40.6831094!4d30.1388374!16s%2Fg%2F1yfh_kdwx!19sChIJ94tZfGlYyxQRgjXm5rtTlVI?authuser=0&hl=tr&rclk=1"
Sümela Köfte ve Fırını,"Atakent Mh, Sapanca Yolu Cd. No:44, 41180 Kartepe/Kocaeli",(0262) 371 23 78,iletisim@naiboglusumela.com,https://www.google.com/url?q=http://www.sumelakartepe.com/&opi=79508299&sa=U&ved=0ahUKEwiK-7KK1JWMAxX_BdsEHVlGO3kQ61gIGSgQ&usg=AOvVaw1stmWUFwkdR2Ioih0mAaJ7,https://www.google.com/maps/place/S%C3%BCmela+K%C3%B6fte+ve+F%C4%B1r%C4%B1n%C4%B1/data=!4m7!3m6!1s0x14cb50bba11a4eb5:0x3d10335fe4258e01!8m2!3d40.742642!4d30.050569!16s%2Fg%2F1thm0p1s!19sChIJtU4aobtQyxQRAY4l5F8zED0?authuser=0&hl=tr&rclk=1
Koçal Çiftliği Kafe&Restoran Yuvacık,"Mahallesi, Yuvacık Yakacık, Önder Sk. No:43, 41090 Başiskele/Kocaeli",0539 841 33 22,kocalciftligirestorant@gmail.com,https://www.google.com/url?q=http://www.kocalciftligi.com/&opi=79508299&sa=U&ved=0ahUKEwjzg5mQ1JWMAxWiVfEDHTTyMgYQ61gIFygS&usg=AOvVaw0NeI9RDsyYe-nN-PsU1dRy,https://www.google.com/maps/place/Ko%C3%A7al+%C3%87iftli%C4%9Fi+Kafe%26Restoran+Yuvac%C4%B1k/data=!4m7!3m6!1s0x14cb5d9df3cd0965:0x630e118a86e211f5!8m2!3d40.6713709!4d29.9788658!16s%2Fg%2F11hz3cndc0!19sChIJZQnN851dyxQR9RHihooRDmM?authuser=0&hl=tr&rclk=1
