Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Kartepe Manzara Restaurant,"Maşukiye Kartepe Cad. No:, D:149, 41250 Kartepe/Kocaeli",0539 678 41 61,info@kartepemanzara.com,https://www.kartepemanzara.com/,https://www.google.com/maps/place/Kartepe+Manzara+Restaurant/data=!4m7!3m6!1s0x14cb45389e515557:0xec81fada0a04937d!8m2!3d40.6792451!4d30.1387942!16s%2Fg%2F1ptw68x_k!19sChIJV1VRnjhFyxQRfZMECtr6gew?authuser=0&hl=tr&rclk=1
Vadi Restaurant,"Çınarlı Mahallesi, Vadisi, Maşukiye, Alabalık Sk. No:22, 41295 Kartepe/Kocaeli",(0262) 354 22 02,info@vadirestaurant.com,http://www.vadirestaurant.com/,https://www.google.com/maps/place/Vadi+Restaurant/data=!4m7!3m6!1s0x14cb50369618c7e9:0x9a5f3b688c5f113!8m2!3d40.6914024!4d30.1258525!16s%2Fg%2F1tht3p7z!19sChIJ6ccYljZQyxQRE_HFiLbzpQk?authuser=0&hl=tr&rclk=1
"Refiye Restoran - Cağ Kebap , Izgara , Serpme Kahvaltı , İzmit","Yahyakaptan, Kara Yolu Cd. No:21/B, 41050 İzmit/Kocaeli",(0262) 333 11 12,bilgi@refiyerestaurant.com,https://www.refiyerestaurant.com/,"https://www.google.com/maps/place/Refiye+Restoran+-+Ca%C4%9F+Kebap+,+Izgara+,+Serpme+Kahvalt%C4%B1+,+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4f5acc34e273:0x75da875d03438e1f!8m2!3d40.7798403!4d29.9727987!16s%2Fg%2F11g1qj706h!19sChIJc-I0zFpPyxQRH45DA12H2nU?authuser=0&hl=tr&rclk=1"
Maçka İşkembe,"Yenişehir, Demokrasi Cd. No:74, 41050 İzmit/Kocaeli",(0262) 313 00 11,info@macka.com.tr,http://www.macka.com.tr/,https://www.google.com/maps/place/Ma%C3%A7ka+%C4%B0%C5%9Fkembe/data=!4m7!3m6!1s0x14cb4ff07dc91143:0x9af16d88cbc1dcf8!8m2!3d40.763416!4d29.962055!16s%2Fg%2F1q66xsn89!19sChIJQxHJffBPyxQR-NzBy4ht8Zo?authuser=0&hl=tr&rclk=1
Çınaraltı Künefe & Kahvaltı,"Yenişehir, Demokrasi Cd. No:76, 41900 İzmit/Kocaeli",(0262) 311 54 61,info@cinaraltikunefe.com,http://www.cinaraltikunefe.com/,https://www.google.com/maps/place/%C3%87%C4%B1naralt%C4%B1+K%C3%BCnefe+%26+Kahvalt%C4%B1/data=!4m7!3m6!1s0x14cb4f24913dc991:0xbfb0195a74f19da8!8m2!3d40.763447!4d29.9617489!16s%2Fg%2F11f6514z44!19sChIJkck9kSRPyxQRqJ3xdFoZsL8?authuser=0&hl=tr&rclk=1
Livadi Cafe & Restaurant,"Cephanelik Mesire Alanı Tesisleri içinde, 28 Haziran, 41060 İzmit/Kocaeli",(0262) 322 80 00,"info@LivadiCafeWeb.com, info@LivadiCafe.com",http://www.livadicafe.com/,https://www.google.com/maps/place/Livadi+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x14cb4fbf2702a423:0xd486bbd46d602f0c!8m2!3d40.7826178!4d29.9480714!16s%2Fg%2F11cjkq136t!19sChIJI6QCJ79PyxQRDC9gbdS7htQ?authuser=0&hl=tr&rclk=1
Köseoğlu Pide,"Yenişehir Mh., Yeni Yahya Kaptan Yolu, Demokrasi Bulvarı No:29, 41050 Bekirpaşa/İzmit/Kocaeli",(0262) 332 02 25,info@koseogluekmek.com,http://www.koseogluekmek.com/,https://www.google.com/maps/place/K%C3%B6seo%C4%9Flu+Pide/data=!4m7!3m6!1s0x14cb4ff11d2886bf:0x170272e5e5dd6adc!8m2!3d40.7633333!4d29.9594444!16s%2Fg%2F1tj825qr!19sChIJv4YoHfFPyxQR3Grd5eVyAhc?authuser=0&hl=tr&rclk=1
Maide Kafe & Restoran & Düğün Salonu,"Sekapark 2.Etap, Serdar, Güneş Cd., 41100 İzmit/Kocaeli",0536 313 33 11,musterihizmetleri@antikkapi.com.tr,http://www.antikkapi.com.tr/,https://www.google.com/maps/place/Maide+Kafe+%26+Restoran+%26+D%C3%BC%C4%9F%C3%BCn+Salonu/data=!4m7!3m6!1s0x14cb454254fa935b:0xf04d8cacb6e27f40!8m2!3d40.7599655!4d29.8909353!16s%2Fg%2F11cs5y2pg5!19sChIJW5P6VEJFyxQRQH_itqyMTfA?authuser=0&hl=tr&rclk=1
Mahmut Usta Künefe ve Baklava Salonları,"Kemalpaşa, Hürriyet Cd. No:21, 41200 İzmit/Kocaeli",(0262) 321 88 03,info@mahmutustatatlilari.com,https://mahmutustatatlilari.com/,https://www.google.com/maps/place/Mahmut+Usta+K%C3%BCnefe+ve+Baklava+Salonlar%C4%B1/data=!4m7!3m6!1s0x14cb4583e33924a3:0xfd1365eca1b9b83!8m2!3d40.762723!4d29.9230038!16s%2Fg%2F113fjj8sd!19sChIJoyQ544NFyxQRg5sbyl420Q8?authuser=0&hl=tr&rclk=1
Romano Cafe Restaurant,"Cumhuriyet, Sahil Sk. No:15, 41100 İzmit/Kocaeli",(0262) 226 88 75,info@romanorestorancafe.com,http://www.romanorestorancafe.com/,https://www.google.com/maps/place/Romano+Cafe+Restaurant/data=!4m7!3m6!1s0x14cb446a2336b7d5:0xbbb18e8e21b18115!8m2!3d40.760134!4d29.879708!16s%2Fg%2F1ptwr5_ft!19sChIJ1bc2I2pEyxQRFYGxIY6Osbs?authuser=0&hl=tr&rclk=1
