Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Livadi Cafe & Restaurant,"Cephanelik Mesire Alanı Tesisleri içinde, 28 Haziran, 41060 İzmit/Kocaeli",,"info@LivadiCafe.com, info@LivadiCafeWeb.com",https://www.google.com/url?q=http://www.livadicafe.com/&opi=79508299&sa=U&ved=0ahUKEwjF2bbnxpWMAxUIRPEDHWy-JDAQ61gIGigQ&usg=AOvVaw3WOfyAvN6SUr_dv4Pk_UnY,https://www.google.com/maps/place/Livadi+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x14cb4fbf2702a423:0xd486bbd46d602f0c!8m2!3d40.7826178!4d29.9480714!16s%2Fg%2F11cjkq136t!19sChIJI6QCJ79PyxQRDC9gbdS7htQ?authuser=0&hl=tr&rclk=1
Romano Cafe Restaurant,"Cumhuriyet, Sahil Sk. No:15, 41100 İzmit/Kocaeli",(0262) 226 88 75,info@romanorestorancafe.com,https://www.google.com/url?q=http://www.romanorestorancafe.com/&opi=79508299&sa=U&ved=0ahUKEwiq3_T9xpWMAxUoR_EDHfGzCRAQ61gIFSgQ&usg=AOvVaw0IcdmFY4JaE8tIP6njiQNY,https://www.google.com/maps/place/Romano+Cafe+Restaurant/data=!4m7!3m6!1s0x14cb446a2336b7d5:0xbbb18e8e21b18115!8m2!3d40.760134!4d29.879708!16s%2Fg%2F1ptwr5_ft!19sChIJ1bc2I2pEyxQRFYGxIY6Osbs?authuser=0&hl=tr&rclk=1
"Refiye Restoran - Cağ Kebap , Izgara , Serpme Kahvaltı , İzmit","Yahyakaptan, Kara Yolu Cd. No:21/B, 41050 İzmit/Kocaeli",(0262) 333 11 12,bilgi@refiyerestaurant.com,https://www.google.com/url?q=https://www.refiyerestaurant.com/&opi=79508299&sa=U&ved=0ahUKEwiKupqTx5WMAxXfVfEDHcW5OMQQ61gIFSgQ&usg=AOvVaw3XzAf1bf9av87agOIMrv4y,"https://www.google.com/maps/place/Refiye+Restoran+-+Ca%C4%9F+Kebap+,+Izgara+,+Serpme+Kahvalt%C4%B1+,+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4f5acc34e273:0x75da875d03438e1f!8m2!3d40.7798403!4d29.9727987!16s%2Fg%2F11g1qj706h!19sChIJc-I0zFpPyxQRH45DA12H2nU?authuser=0&hl=tr&rclk=1"
Romano Cafe Restaurant,"Cumhuriyet, Sahil Sk. No:15, 41100 İzmit/Kocaeli",(0262) 226 88 75,info@romanorestorancafe.com,https://www.google.com/url?q=http://www.romanorestorancafe.com/&opi=79508299&sa=U&ved=0ahUKEwj7iO-Xx5WMAxXUQfEDHfy8FzAQ61gIFSgQ&usg=AOvVaw0C4m5T2_mEyo6XFQny5oWh,https://www.google.com/maps/place/Romano+Cafe+Restaurant/data=!4m7!3m6!1s0x14cb446a2336b7d5:0xbbb18e8e21b18115!8m2!3d40.760134!4d29.879708!16s%2Fg%2F1ptwr5_ft!19sChIJ1bc2I2pEyxQRFYGxIY6Osbs?authuser=0&hl=tr&rclk=1
"Refiye Restoran - Cağ Kebap , Izgara , Serpme Kahvaltı , İzmit","Yahyakaptan, Kara Yolu Cd. No:21/B, 41050 İzmit/Kocaeli",(0262) 333 11 12,bilgi@refiyerestaurant.com,https://www.google.com/url?q=https://www.refiyerestaurant.com/&opi=79508299&sa=U&ved=0ahUKEwjXm8iax5WMAxXTRfEDHeGUDCMQ61gIFSgQ&usg=AOvVaw2iqS0fzQvlLvzAAltzKTqK,"https://www.google.com/maps/place/Refiye+Restoran+-+Ca%C4%9F+Kebap+,+Izgara+,+Serpme+Kahvalt%C4%B1+,+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4f5acc34e273:0x75da875d03438e1f!8m2!3d40.7798403!4d29.9727987!16s%2Fg%2F11g1qj706h!19sChIJc-I0zFpPyxQRH45DA12H2nU?authuser=0&hl=tr&rclk=1"
Alkan Yemek İzmit,"Ömerağa, Alemdar Cd. No:20, 41300 İzmit/Kocaeli",0546 104 46 41,nfo@alkanyemekizmit.com,https://www.google.com/url?q=http://alkanyemekizmit.com/&opi=79508299&sa=U&ved=0ahUKEwip6LHGx5WMAxWRVfEDHZ-aAi4Q61gIGSgQ&usg=AOvVaw1enPxlxxlRmyWylNTENdav,https://www.google.com/maps/place/Alkan+Yemek+%C4%B0zmit/data=!4m7!3m6!1s0x14cb455abd03d031:0x4b3928708869382b!8m2!3d40.7631269!4d29.9287335!16s%2Fg%2F11shfnd39b!19sChIJMdADvVpFyxQRKzhpiHAoOUs?authuser=0&hl=tr&rclk=1
Cafe Kristo İzmit,"Tepecik, Fethiye Cd. No:56, 41200 İzmit/Kocaeli",(0262) 321 14 50,bilgi@cafekristo.com,https://www.google.com/url?q=http://www.cafekristo.com/&opi=79508299&sa=U&ved=0ahUKEwjF3Ibpx5WMAxWcRvEDHV_3NdQQ61gIGigQ&usg=AOvVaw22bTHr2PugpU5hPBTMiIRz,https://www.google.com/maps/place/Cafe+Kristo+%C4%B0zmit/data=!4m7!3m6!1s0x14cb458043f50605:0xd931a34c1f096687!8m2!3d40.7655505!4d29.9259896!16s%2Fg%2F11b808hb70!19sChIJBQb1Q4BFyxQRh2YJH0yjMdk?authuser=0&hl=tr&rclk=1
Masala Kebap,"Körfez Mahallesi, Berk Sokak No:1 - Dolphin AVM Karşısı, 41040 İzmit/Kocaeli",(0262) 324 40 70,info@masalakebap.com,https://www.google.com/url?q=https://www.masalakebap.com/&opi=79508299&sa=U&ved=0ahUKEwiAw6_rx5WMAxWvQ_EDHWoiN6EQ61gIFCgQ&usg=AOvVaw2SS3nqRiRQEYpDEH8PuBXy,https://www.google.com/maps/place/Masala+Kebap/data=!4m7!3m6!1s0x14cb4f87d7a3f2eb:0x5953f0cb1e4e4c0f!8m2!3d40.7647183!4d29.9401826!16s%2Fg%2F11bz_vjj_c!19sChIJ6_Kj14dPyxQRD0xOHsvwU1k?authuser=0&hl=tr&rclk=1
Bursa Kebabçısı,"Ömerağa, Hürriyet Cd. No:91, 41300 İzmit/Kocaeli",(0262) 331 31 19,ybbursakebap@gmail.com,https://www.google.com/url?q=http://bursakebapcisiizmit.com/&opi=79508299&sa=U&ved=0ahUKEwjW6OXux5WMAxV5B9sEHQRwBg4Q61gIFSgQ&usg=AOvVaw3o7E8r8yqzOBpR_x8mk3pn,https://www.google.com/maps/place/Bursa+Kebab%C3%A7%C4%B1s%C4%B1/data=!4m7!3m6!1s0x14cb4581c6a8c559:0x551c7b09afc6066b!8m2!3d40.7634548!4d29.9271169!16s%2Fg%2F1tf90tl9!19sChIJWcWoxoFFyxQRawbGrwl7HFU?authuser=0&hl=tr&rclk=1
Lotus Meat,"Yenişehir, Dönmez Sk., 41040 İzmit/Kocaeli",0506 871 49 28,info@lafloraotel.com,https://www.google.com/url?q=https://lafloraotel.com/restaurant/lotus-1&opi=79508299&sa=U&ved=0ahUKEwilyruHyJWMAxVBSvEDHcOcOCIQ61gIGigQ&usg=AOvVaw0fvDhvBM_ZFCfNbmj4VFsH,https://www.google.com/maps/place/Lotus+Meat/data=!4m7!3m6!1s0x14cb4f1eb6bbb193:0x9badc0bd4cce3c92!8m2!3d40.7658064!4d29.9660805!16s%2Fg%2F11hdjhm653!19sChIJk7G7th5PyxQRkjzOTL3ArZs?authuser=0&hl=tr&rclk=1
