Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Selcuk pidecisi,"Atatürk, Cengiz Topel Cd. No:29, 35920 Selçuk/İzmir",(0232) 892 14 34,"8c4075d5481d476e945486754f783364@sentry.io, selcukpidecisi@gmail.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",http://www.selcukpidecisi.com/,https://www.google.com/maps/place/Selcuk+pidecisi/data=!4m7!3m6!1s0x14b94df9efad253d:0x3fe66ee021c436b0!8m2!3d37.95061!4d27.3705491!16s%2Fg%2F11fnwwrvqc!19sChIJPSWt7_lNuRQRsDbEIeBu5j8?authuser=0&hl=tr&rclk=1
Agora Restaurant,"Atatürk Atatürk Cad./agora Çarşısı, 35920 Selçuk/İzmir",(0232) 892 30 53,info@agorarest.com,http://www.agorarest.com/,https://www.google.com/maps/place/Agora+Restaurant/data=!4m7!3m6!1s0x14b94d50f727f857:0xc34e80e278125463!8m2!3d37.9482176!4d27.3679726!16s%2Fg%2F1tfy4_x8!19sChIJV_gn91BNuRQRY1QSeOKATsM?authuser=0&hl=tr&rclk=1
Seçkin Ciğerci mecit gazi,"C35920, Atatürk, 1006. Sk. No:3, 35920 Selçuk/İzmir",(0232) 892 35 46,info@tikla.com.tr,https://www.instagram.com/seckincigerci?igsh=MTMzZm4wZ3ZheWxuOQ%3D%3D&utm_source=qr,https://www.google.com/maps/place/Se%C3%A7kin+Ci%C4%9Ferci+mecit+gazi/data=!4m7!3m6!1s0x14b94d51ae4e7a59:0x373a23c359a05f3b!8m2!3d37.949684!4d27.371186!16s%2Fg%2F1tg_0cx9!19sChIJWXpOrlFNuRQRO1-gWcMjOjc?authuser=0&hl=tr&rclk=1
Petek Çöp Şiş,"Kuşadası Yol Kavşağı, Atatürk, Atatürk Cd., 35920 Selçuk/İzmir",(0232) 892 40 77,visitizmir@izmirvakfi.org,http://www.petekcopsis.com.tr/,https://www.google.com/maps/place/Petek+%C3%87%C3%B6p+%C5%9Ei%C5%9F/data=!4m7!3m6!1s0x14b94d51388596c3:0xdd8cbc5a6c5513be!8m2!3d37.948314!4d27.368436!16s%2Fg%2F11cl_k0s71!19sChIJw5aFOFFNuRQRvhNVbFq8jN0?authuser=0&hl=tr&rclk=1
Kybele Gastro - Restaurant,"Profesor Anton, Antony Kallinger Cd. No:40 D:1, 35920 Selçuk/İzmir",0533 302 81 35,rezervasyon@kybelegastro.com,https://www.kybelegastro.com/,https://www.google.com/maps/place/Kybele+Gastro+-+Restaurant/data=!4m7!3m6!1s0x14b94d70ed9b9569:0xf5f620e1eff7c5b7!8m2!3d37.951375!4d27.365956!16s%2Fg%2F11kk03smt7!19sChIJaZWb7XBNuRQRt8X37-Eg9vU?authuser=0&hl=tr&rclk=1
Bizim Ev Hanımeli Restoran,"Şirince, Değirmen Boğazı Sk No: 121/A, 35920 Selçuk/İzmir",0532 481 28 06,bizimevhanimeli.1992@gmail.com,https://bizimevhanimeli.com/,https://www.google.com/maps/place/Bizim+Ev+Han%C4%B1meli+Restoran/data=!4m7!3m6!1s0x14b94d1bb7838377:0x807daca05e1d6274!8m2!3d37.9598678!4d27.4001998!16s%2Fg%2F1tk40b6t!19sChIJd4ODtxtNuRQRdGIdXqCsfYA?authuser=0&hl=tr&rclk=1
Kervansaray Pide,"Atatürk, Cengiz Topel Cd. NO:11, 35920 Selçuk/İzmir",(0232) 892 79 79,webmaps-revolution@yandex-team.ru,https://www.yemekarama.com/firma/kervansaray-pide-selcuk,https://www.google.com/maps/place/Kervansaray+Pide/data=!4m7!3m6!1s0x14b94d1c16311e89:0xacc7d125c29e30b6!8m2!3d37.9503423!4d27.3716326!16s%2Fg%2F11vqlnp25z!19sChIJiR4xFhxNuRQRtjCewiXRx6w?authuser=0&hl=tr&rclk=1
Lezzet-i Şahane,"Atatürk, 1003. Sk. 5/A, 35920 Selçuk/İzmir",0532 599 94 98,webmaps-revolution@yandex-team.ru,https://www.facebook.com/muhammetali.atik.54,https://www.google.com/maps/place/Lezzet-i+%C5%9Eahane/data=!4m7!3m6!1s0x14b94dcfc903413f:0x5ce7872b55fb93eb!8m2!3d37.949968!4d27.370298!16s%2Fg%2F11q2trr78z!19sChIJP0EDyc9NuRQR65P7VSuH51w?authuser=0&hl=tr&rclk=1
Ciğerci Vehbi,"Atatürk, Cengiz Topel Cd. No: 9/B, 35920 Selçuk/İzmir",0506 044 19 78,info@tikla.com.tr,https://cigercivehbi.com/,https://www.google.com/maps/place/Ci%C4%9Ferci+Vehbi/data=!4m7!3m6!1s0x14b94d0d980d5e9d:0x6f7ced44941d3068!8m2!3d37.950301!4d27.372047!16s%2Fg%2F11vy39nq9f!19sChIJnV4NmA1NuRQRaDAdlETtfG8?authuser=0&hl=tr&rclk=1
Ayasoluk Butik Otel,"Atatürk, 1051. Sk. NUMARA:12, 35920 Selçuk/İzmir",(0232) 892 33 34,"2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, info@ayasolukhotel.com",http://www.ayasolukhotel.com/,https://www.google.com/maps/place/Ayasoluk+Butik+Otel/data=!4m10!3m9!1s0x14b94d50d2a4cbc5:0x6b9f30e2a32631ef!5m2!4m1!1i2!8m2!3d37.9502722!4d27.3675529!16s%2Fg%2F1ptxvlt81!19sChIJxcuk0lBNuRQR7zEmo-Iwn2s?authuser=0&hl=tr&rclk=1
