Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Yeşildağlar Et,"D-130 KARAYOLU CADDESİ NO:183, 41030 Başiskele/Kocaeli",,info@nomatto.com,http://www.yesildaglar.com/,https://www.google.com/maps/place/Ye%C5%9Filda%C4%9Flar+Et/data=!4m7!3m6!1s0x14cb445e6d314589:0x2cec06428d195c5c!8m2!3d40.7133558!4d29.9225622!16s%2Fg%2F11b_3fwx0b!19sChIJiUUxbV5EyxQRXFwZjUIG7Cw?authuser=0&hl=tr&rclk=1
Bilgiçler Et Köfte - Başiskele,"Körfez mah. D-130 Karayolu cad. No: 119, 41245 Başiskele/Kocaeli",(0262) 343 36 36,iletisim@bilgiclerkofte.com,http://www.bilgiclerkofte.com/,https://www.google.com/maps/place/Bilgi%C3%A7ler+Et+K%C3%B6fte+-+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb44695f96a585:0xfdb612eaa7487c8a!8m2!3d40.7119202!4d29.910578!16s%2Fg%2F11dyzc8f0t!19sChIJhaWWX2lEyxQRinxIp-oStv0?authuser=0&hl=tr&rclk=1
Mavi Kayalar Restoran,"Mahallesi, Servetiye Cami, Aşağı Alartı Mevkii 22/1, 41090 Başiskele/Kocaeli",(0262) 345 00 53,info@mavikayalar.com,http://www.mavikayalar.com/,https://www.google.com/maps/place/Mavi+Kayalar+Restoran/data=!4m7!3m6!1s0x14cb431231f87ed5:0x53887c8111f3ab61!8m2!3d40.6337392!4d29.9506154!16s%2Fg%2F11h18dtjzh!19sChIJ1X74MRJDyxQRYavzEYF8iFM?authuser=0&hl=tr&rclk=1
Koçal Çiftliği Kafe&Restoran Yuvacık,"Mahallesi, Yuvacık Yakacık, Önder Sk. No:43, 41090 Başiskele/Kocaeli",0539 841 33 22,kocalciftligirestorant@gmail.com,http://www.kocalciftligi.com/,https://www.google.com/maps/place/Ko%C3%A7al+%C3%87iftli%C4%9Fi+Kafe%26Restoran+Yuvac%C4%B1k/data=!4m7!3m6!1s0x14cb5d9df3cd0965:0x630e118a86e211f5!8m2!3d40.6713709!4d29.9788658!16s%2Fg%2F11hz3cndc0!19sChIJZQnN851dyxQR9RHihooRDmM?authuser=0&hl=tr&rclk=1
RUF Restoran & Bar,"Sahil, Körfez, Cevher Dudayev Cd. No: 53, 41245 Başiskele/Kocaeli",(0262) 343 27 27,info@rufrestaurant.com,http://www.rufrestaurant.com/,https://www.google.com/maps/place/RUF+Restoran+%26+Bar/data=!4m7!3m6!1s0x14cb45778621cb6d:0xa09feabd7f2bfe48!8m2!3d40.7159755!4d29.9233569!16s%2Fg%2F11fs4ngyw9!19sChIJbcshhndFyxQRSP4rf73qn6A?authuser=0&hl=tr&rclk=1
KLİDA CAFE RESTUARANT,"Körfez, Liman Cd. NO 62, 41300 Başiskele/Kocaeli",(0262) 502 32 16,bilgi@basiskele.com.tr,https://www.facebook.com/Klida-Sahil-443772096053009/?ref=settings,https://www.google.com/maps/place/KL%C4%B0DA+CAFE+RESTUARANT/data=!4m7!3m6!1s0x14cb459507a34981:0xc8b419d9ee4d4dd3!8m2!3d40.7138172!4d29.9158668!16s%2Fg%2F11gmcc225b!19sChIJgUmjB5VFyxQR001N7tkZtMg?authuser=0&hl=tr&rclk=1
Diva,"Körfez mahallesi liman caddesi, Hacı Ramazan Sk., 41030 Başiskele/Kocaeli",0850 888 8841,divaizmit@hotmail.com,https://divagarden.com/,https://www.google.com/maps/place/Diva/data=!4m7!3m6!1s0x14cb451e43b28d89:0x3aebb5a86615532!8m2!3d40.7140877!4d29.9146071!16s%2Fg%2F11g0nkb63d!19sChIJiY2yQx5FyxQRMlVhhlq7rgM?authuser=0&hl=tr&rclk=1
Refiye Sahil Başiskele,"Körfez, Liman Cd. No:118, 41245 Başiskele/Kocaeli",0539 655 71 82,bilgi@refiyerestaurant.com,http://refiyerestaurant.com/,https://www.google.com/maps/place/Refiye+Sahil+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb45360f9172a9:0x881fac4f182e939f!8m2!3d40.716348!4d29.921953!16s%2Fg%2F11svf9_6y3!19sChIJqXKRDzZFyxQRn5MuGE-sH4g?authuser=0&hl=tr&rclk=1
Soğuksu Restaurant,"Şehitekrem, Piknik Sk., 41030 Başiskele/Kocaeli",(0262) 342 43 42,info@atakteknoloji.com,https://instagram.com/soguksurestaurantbahcecik?utm_medium=copy_link,https://www.google.com/maps/place/So%C4%9Fuksu+Restaurant/data=!4m7!3m6!1s0x14cb43a63f9e910b:0xffa28acc36f6abe6!8m2!3d40.6665169!4d29.9235336!16s%2Fg%2F11b7lnck6y!19sChIJC5GeP6ZDyxQR5qv2NsyKov8?authuser=0&hl=tr&rclk=1
Seyir 360 Cafe Restaurant,"ışıltı sok. Mikav, Yuvacık Yakacık, mesire alanı 16/33, 41090 Başiskele/Kocaeli",,bilgi@mikav.org,https://www.seyir360.com/qr-menu/,https://www.google.com/maps/place/Seyir+360+Cafe+Restaurant/data=!4m7!3m6!1s0x14cb5d1fb2372987:0x4d3d6eb308327c54!8m2!3d40.6879521!4d29.9502844!16s%2Fg%2F11sh4bwcw6!19sChIJhyk3sh9dyxQRVHwyCLNuPU0?authuser=0&hl=tr&rclk=1
The Hunger İzmit Symbol Avm,"Ovacık Mahallesi D100 Karayolu Caddesi No: 48 GF Başiskele, 41190 Başiiskele/Kocaeli",0537 569 53 68,thehunger@thehunger.com.tr,https://www.thehunger.com.tr/,https://www.google.com/maps/place/The+Hunger+%C4%B0zmit+Symbol+Avm/data=!4m7!3m6!1s0x14cb51a59095ae37:0x9f1888c27f4cc476!8m2!3d40.7572302!4d29.9791631!16s%2Fg%2F11tj6gh0hw!19sChIJN66VkKVRyxQRdsRMf8KIGJ8?authuser=0&hl=tr&rclk=1
Köfteci Yusuf,"Ovacık, D100 No:18, 41140 Başiskele/Kocaeli",444 6 162,button_icon_saveribbon@2x-d809e5af932a66d1725c40dfddcc2855.png,https://www.kofteciyusuf.com/,https://www.google.com/maps/place/K%C3%B6fteci+Yusuf/data=!4m7!3m6!1s0x408703b02dc8c6cd:0x9195ea3dcd417229!8m2!3d40.7598112!4d29.9742297!16s%2Fg%2F11clwj6t6q!19sChIJzcbILbADh0ARKXJBzT3qlZE?authuser=0&hl=tr&rclk=1
Çınaraltı Künefe & Kahvaltı Başiskele,"Körfez, Liman Cd. No:116, 41245 Başiskele/Kocaeli",(0262) 414 61 41,info@cinaraltikunefe.com,http://www.cinaraltikunefe.com/,https://www.google.com/maps/place/%C3%87%C4%B1naralt%C4%B1+K%C3%BCnefe+%26+Kahvalt%C4%B1+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb45d432b5becd:0x335fba193c4ea300!8m2!3d40.7162941!4d29.9217853!16s%2Fg%2F11tws2mz49!19sChIJzb61MtRFyxQRAKNOPBm6XzM?authuser=0&hl=tr&rclk=1
Serbahçe Restorant & Konaklama,"Servetiye Karşı Mah. Hacı Haliller Dere Mevkii No:59 , Yuvacık, 41090 Başiskele/Kocaeli",0533 592 20 50,button_icon_saveribbon@2x-d809e5af932a66d1725c40dfddcc2855.png,https://www.serbahce.com/,https://www.google.com/maps/place/Serbah%C3%A7e+Restorant+%26+Konaklama/data=!4m7!3m6!1s0x14cb43d0ca5ca1b5:0x3a0818783088d215!8m2!3d40.6348359!4d29.9299303!16s%2Fg%2F11fsk8rqtv!19sChIJtaFcytBDyxQRFdKIMHgYCDo?authuser=0&hl=tr&rclk=1
