Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Agora Restaurant,"Atatürk Atatürk Cad./agora Çarşısı, 35920 Selçuk/İzmir",(0232) 892 30 53,info@agorarest.com,http://www.agorarest.com/,https://www.google.com/maps/place/Agora+Restaurant/data=!4m7!3m6!1s0x14b94d50f727f857:0xc34e80e278125463!8m2!3d37.9482176!4d27.3679726!16s%2Fg%2F1tfy4_x8!19sChIJV_gn91BNuRQRY1QSeOKATsM?authuser=0&hl=tr&rclk=1
Seçkin Ciğerci mecit gazi,"C35920, Atatürk, 1006. Sk. No:3, 35920 Selçuk/İzmir",(0232) 892 35 46,info@tikla.com.tr,https://www.instagram.com/seckincigerci?igsh=MTMzZm4wZ3ZheWxuOQ%3D%3D&utm_source=qr,https://www.google.com/maps/place/Se%C3%A7kin+Ci%C4%9Ferci+mecit+gazi/data=!4m7!3m6!1s0x14b94d51ae4e7a59:0x373a23c359a05f3b!8m2!3d37.949684!4d27.371186!16s%2Fg%2F1tg_0cx9!19sChIJWXpOrlFNuRQRO1-gWcMjOjc?authuser=0&hl=tr&rclk=1
Petek Çöp Şiş,"Kuşadası Yol Kavşağı, Atatürk, Atatürk Cd., 35920 Selçuk/İzmir",(0232) 892 40 77,info@izmirvakfi.org,http://www.petekcopsis.com.tr/,https://www.google.com/maps/place/Petek+%C3%87%C3%B6p+%C5%9Ei%C5%9F/data=!4m7!3m6!1s0x14b94d51388596c3:0xdd8cbc5a6c5513be!8m2!3d37.948314!4d27.368436!16s%2Fg%2F11cl_k0s71!19sChIJw5aFOFFNuRQRvhNVbFq8jN0?authuser=0&hl=tr&rclk=1
Kybele Gastro - Restaurant,"Profesor Anton, Antony Kallinger Cd. No:40 D:1, 35920 Selçuk/İzmir",0533 302 81 35,rezervasyon@kybelegastro.com,https://www.kybelegastro.com/,https://www.google.com/maps/place/Kybele+Gastro+-+Restaurant/data=!4m7!3m6!1s0x14b94d70ed9b9569:0xf5f620e1eff7c5b7!8m2!3d37.951375!4d27.365956!16s%2Fg%2F11kk03smt7!19sChIJaZWb7XBNuRQRt8X37-Eg9vU?authuser=0&hl=tr&rclk=1
Bizim Ev Hanımeli Restoran,"Şirince, Değirmen Boğazı Sk No: 121/A, 35920 Selçuk/İzmir",0532 481 28 06,m-maps@support.yandex.ru,https://bizimevhanimeli.com/,https://www.google.com/maps/place/Bizim+Ev+Han%C4%B1meli+Restoran/data=!4m7!3m6!1s0x14b94d1bb7838377:0x807daca05e1d6274!8m2!3d37.9598678!4d27.4001998!16s%2Fg%2F1tk40b6t!19sChIJd4ODtxtNuRQRdGIdXqCsfYA?authuser=0&hl=tr&rclk=1
Yedi Uyuyanlar Yavuz'un Yeri,"Atatürk Mh Atatürk Mah. Yedi Uyuyanlar Mevki, 35920",(0232) 892 46 56,yavuz_gokkaya@hotmail.com,http://www.yediuyuyanlar.com/,https://www.google.com/maps/place/Yedi+Uyuyanlar+Yavuz%27un+Yeri/data=!4m7!3m6!1s0x14b94d50f727f857:0xae9a2b20b9141d6e!8m2!3d37.9436454!4d27.3552742!16s%2Fg%2F1tg83nlq!19sChIJV_gn91BNuRQRbh0UuSArmq4?authuser=0&hl=tr&rclk=1
Lezzet-i Şahane,"Atatürk, 1003. Sk. 5/A, 35920 Selçuk/İzmir",0532 599 94 98,m-maps@support.yandex.ru,https://www.facebook.com/muhammetali.atik.54,https://www.google.com/maps/place/Lezzet-i+%C5%9Eahane/data=!4m7!3m6!1s0x14b94dcfc903413f:0x5ce7872b55fb93eb!8m2!3d37.949968!4d27.370298!16s%2Fg%2F11q2trr78z!19sChIJP0EDyc9NuRQR65P7VSuH51w?authuser=0&hl=tr&rclk=1
Ciğerci Vehbi,"Atatürk, Cengiz Topel Cd. No: 9/B, 35920 Selçuk/İzmir",0506 044 19 78,m-maps@support.yandex.ru,https://cigercivehbi.com/,https://www.google.com/maps/place/Ci%C4%9Ferci+Vehbi/data=!4m7!3m6!1s0x14b94d0d980d5e9d:0x6f7ced44941d3068!8m2!3d37.950301!4d27.372047!16s%2Fg%2F11vy39nq9f!19sChIJnV4NmA1NuRQRaDAdlETtfG8?authuser=0&hl=tr&rclk=1
Köfteci Kasap Hüseyin,"Atatürk, Şahabettin Dede Blv No: 6, 35920 Selçuk/İzmir",0539 652 56 56,gokkaynakhuseyin@gmail.com,https://koftecikasaphuseyin.com/,https://www.google.com/maps/place/K%C3%B6fteci+Kasap+H%C3%BCseyin/data=!4m7!3m6!1s0x14b94df44933edff:0xf85462134b83c9dc!8m2!3d37.94748!4d27.370493!16s%2Fg%2F11lycpv_nq!19sChIJ_-0zSfRNuRQR3MmDSxNiVPg?authuser=0&hl=tr&rclk=1
HAN The Inn Ephesus Cafe Restaurant & Hediyelik Eşya,"Müze kompleksi, Atatürk, 1066. Sk. no:6 D:3, 35920 Selçuk/İzmir",0535 070 18 80,info@efeshan.com,https://www.efeshan.com/,https://www.google.com/maps/place/HAN+The+Inn+Ephesus+Cafe+Restaurant+%26+Hediyelik+E%C5%9Fya/data=!4m7!3m6!1s0x14b94d890559ee97:0xaacd13d720013f75!8m2!3d37.9483951!4d27.3664885!16s%2Fg%2F11vy3_s23_!19sChIJl-5ZBYlNuRQRdT8BINcTzao?authuser=0&hl=tr&rclk=1
