Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Kartepe Manzara Restaurant,"Maşukiye Kartepe Cad. No:, D:149, 41250 Kartepe/Kocaeli",,info@kartepemanzara.com,https://www.kartepemanzara.com/,https://www.google.com/maps/place/Kartepe+Manzara+Restaurant/data=!4m7!3m6!1s0x14cb45389e515557:0xec81fada0a04937d!8m2!3d40.6792451!4d30.1387942!16s%2Fg%2F1ptw68x_k!19sChIJV1VRnjhFyxQRfZMECtr6gew?authuser=0&hl=tr&rclk=1
Vadi Restaurant,"Çınarlı Mahallesi, Vadisi, Maşukiye, Alabalık Sk. No:22, 41295 Kartepe/Kocaeli",(0262) 354 22 02,info@vadirestaurant.com,http://www.vadirestaurant.com/,https://www.google.com/maps/place/Vadi+Restaurant/data=!4m7!3m6!1s0x14cb50369618c7e9:0x9a5f3b688c5f113!8m2!3d40.6914024!4d30.1258525!16s%2Fg%2F1tht3p7z!19sChIJ6ccYljZQyxQRE_HFiLbzpQk?authuser=0&hl=tr&rclk=1
Gurme Steak House,"Sarımeşe, Sapanca Yolu Cd., 41100 Kartepe/Kocaeli",0532 628 07 41,info@gurmesteakhouse.com,http://www.gurmesteakhouse.com/,https://www.google.com/maps/place/Gurme+Steak+House/data=!4m7!3m6!1s0x14cb51d5b677edf9:0x26545be7c98a3ee4!8m2!3d40.728898!4d30.0691049!16s%2Fg%2F11j3v8c3ny!19sChIJ-e13ttVRyxQR5D6KyedbVCY?authuser=0&hl=tr&rclk=1
Irmak Bungalov/Kahvaltı,"Maşukiye, Hürmet Sk., 41295 Kartepe/Kocaeli",0534 744 50 98,info@jollytur.com,https://www.instagram.com/masukiyeirmakalabalik/,https://www.google.com/maps/place/Irmak+Bungalov%2FKahvalt%C4%B1/data=!4m10!3m9!1s0x14cb578869eba3fb:0x911f217e55af4455!5m2!4m1!1i2!8m2!3d40.703985!4d30.1452737!16s%2Fg%2F11gh9g3sn5!19sChIJ-6PraYhXyxQRVUSvVX4hH5E?authuser=0&hl=tr&rclk=1
"Saklı Vadi Restaurant - Maşukiye, Kartepe","Kartepe Kayak Merkezi yolu üzeri 5.km Maşukiye, 41295 Kartepe/Kocaeli",(0262) 354 20 30,info@kartepesaklivadi.com,https://kartepesaklivadi.com/,"https://www.google.com/maps/place/Sakl%C4%B1+Vadi+Restaurant+-+Ma%C5%9Fukiye,+Kartepe/data=!4m7!3m6!1s0x14cb58697c598bf7:0x529553bbe6e63582!8m2!3d40.6831094!4d30.1388374!16s%2Fg%2F1yfh_kdwx!19sChIJ94tZfGlYyxQRgjXm5rtTlVI?authuser=0&hl=tr&rclk=1"
Bolu Sofrası,"İstasyon, Sarmaşık Sk. No:1, 41250 Kartepe/Kocaeli",(0262) 373 52 45,gulistanilhan@gmail.com,https://instagram.com/bolu_sofrasii?igshid=1d3wc4ds14gfa,https://www.google.com/maps/place/Bolu+Sofras%C4%B1/data=!4m7!3m6!1s0x14cb51c2df217eeb:0xf3d019ef4c40cb9f!8m2!3d40.750956!4d30.0227927!16s%2Fg%2F11lgpmphpl!19sChIJ634h38JRyxQRn8tATO8Z0PM?authuser=0&hl=tr&rclk=1
Saklı Bahçe Restaurant Maşukiye,"Maşukiye Mahallesi Kartepe Caddesi, Alabalık Sk. No:28, 41295 Kartepe/Kocaeli",(0262) 354 21 90,info@saklibahcerestaurant.com,http://saklibahcerestaurant.com/,https://www.google.com/maps/place/Sakl%C4%B1+Bah%C3%A7e+Restaurant+Ma%C5%9Fukiye/data=!4m7!3m6!1s0x14cb5847e9fa25d1:0xd93ac300f531c73e!8m2!3d40.6903859!4d30.1251441!16s%2Fg%2F1hc5c_pm5!19sChIJ0SX66UdYyxQRPscx9QDDOtk?authuser=0&hl=tr&rclk=1
İstasyon Lokantası,"İstasyon, 41135 Kartepe/Kocaeli",(0262) 373 56 44,isdunyasiorg@gmail.com,https://isdunyasi.org/istasyon-lokantasi,https://www.google.com/maps/place/%C4%B0stasyon+Lokantas%C4%B1/data=!4m7!3m6!1s0x14cb50898325a56d:0x7939ea567bd654d9!8m2!3d40.7522501!4d30.0228735!16s%2Fg%2F1v2sj9z2!19sChIJbaUlg4lQyxQR2VTWe1bqOXk?authuser=0&hl=tr&rclk=1
Boşnak Börekçi Kartepe Merkez,"Zeray Effect Sitesi, Fatih Sultan Mehmet, Akyol Sk. A Block No 43, 41320 Kartepe/Kocaeli",0532 471 07 44,info@zeray.com.tr,https://www.bosnakborekci.com.tr/,https://www.google.com/maps/place/Bo%C5%9Fnak+B%C3%B6rek%C3%A7i+Kartepe+Merkez/data=!4m7!3m6!1s0x14cb5145c65d93f5:0xa0b41773e79353f9!8m2!3d40.7373081!4d30.0306245!16s%2Fg%2F11vyxmml7s!19sChIJ9ZNdxkVRyxQR-VOT53MXtKA?authuser=0&hl=tr&rclk=1
Akgül Kasap & Izgara,"Köseköy, Atatürk Cd. No:18, 41250 Kartepe/Kocaeli",0536 034 41 14,akgulcatering@gmail.com,https://akgulcatering.com/,https://www.google.com/maps/place/Akg%C3%BCl+Kasap+%26+Izgara/data=!4m7!3m6!1s0x14cb5b00692adc85:0x545414a59126e518!8m2!3d40.7385046!4d29.9980627!16s%2Fg%2F11lr7fxfyv!19sChIJhdwqaQBbyxQRGOUmkaUUVFQ?authuser=0&hl=tr&rclk=1
