Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Livadi Cafe & Restaurant,"Cephanelik Mesire Alanı Tesisleri içinde, 28 Haziran, 41060 İzmit/Kocaeli",(0262) 322 80 00,"info@LivadiCafeWeb.com, info@LivadiCafe.com",http://www.livadicafe.com/,https://www.google.com/maps/place/Livadi+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x14cb4fbf2702a423:0xd486bbd46d602f0c!8m2!3d40.7826178!4d29.9480714!16s%2Fg%2F11cjkq136t!19sChIJI6QCJ79PyxQRDC9gbdS7htQ?authuser=0&hl=tr&rclk=1
Gurme Steak House,"Sarımeşe, Sapanca Yolu Cd., 41100 Kartepe/Kocaeli",0532 628 07 41,info@gurmesteakhouse.com,http://www.gurmesteakhouse.com/,https://www.google.com/maps/place/Gurme+Steak+House/data=!4m7!3m6!1s0x14cb51d5b677edf9:0x26545be7c98a3ee4!8m2!3d40.728898!4d30.0691049!16s%2Fg%2F11j3v8c3ny!19sChIJ-e13ttVRyxQR5D6KyedbVCY?authuser=0&hl=tr&rclk=1
Kebapçı Mehmet Usta,"Çenedağ, Denizciler Cd. No:17 D:2a, 41900 Derince/Kocaeli",(0262) 229 87 44,info@kebapcimehmetusta.com,https://instagram.com/kebapcimehmetusta,https://www.google.com/maps/place/Kebap%C3%A7%C4%B1+Mehmet+Usta/data=!4m7!3m6!1s0x14cb4654d83a064d:0x2a5b85839fbd870d!8m2!3d40.757589!4d29.836052!16s%2Fg%2F113h7w0zy!19sChIJTQY62FRGyxQRDYe9n4OFWyo?authuser=0&hl=tr&rclk=1
Hoşgör Pastaneleri,"Karabaş, Cumhuriyet Cd. No:190, 41040 İzmit/Kocaeli",(0262) 322 55 35,demiryolu@hosgor.com.tr,http://www.hosgorpastaneleri.com/,https://www.google.com/maps/place/Ho%C5%9Fg%C3%B6r+Pastaneleri/data=!4m7!3m6!1s0x14cb4613fa4f3571:0xb98beb7dbd4230ac!8m2!3d40.7641667!4d29.9341667!16s%2Fg%2F1v86h0r1!19sChIJcTVP-hNGyxQRrDBCvX3ri7k?authuser=0&hl=tr&rclk=1
Tuzla Balıkçısı Mars Kocaeli,"Yahyakaptan, Kara Yolu Cd. No:28/C, 41050 İzmit/Kocaeli",0530 663 95 41,"umraniye@tuzlabalikcisi.com, izmit@tuzlabalikcisi.com, info@tuzlabalikcisi.com, basaksehir@tuzlabalikcisi.com",https://tuzlabalikcisi.com/,https://www.google.com/maps/place/Tuzla+Bal%C4%B1k%C3%A7%C4%B1s%C4%B1+Mars+Kocaeli/data=!4m7!3m6!1s0x14cb4fcd87a69ed5:0x30419331e08a11ce!8m2!3d40.781279!4d29.973413!16s%2Fg%2F11x03vpnwb!19sChIJ1Z6mh81PyxQRzhGK4DGTQTA?authuser=0&hl=tr&rclk=1
Çınaraltı Künefe & Kahvaltı,"Yenişehir, Demokrasi Cd. No:76, 41900 İzmit/Kocaeli",(0262) 311 54 61,info@cinaraltikunefe.com,http://www.cinaraltikunefe.com/,https://www.google.com/maps/place/%C3%87%C4%B1naralt%C4%B1+K%C3%BCnefe+%26+Kahvalt%C4%B1/data=!4m7!3m6!1s0x14cb4f24913dc991:0xbfb0195a74f19da8!8m2!3d40.763447!4d29.9617489!16s%2Fg%2F11f6514z44!19sChIJkck9kSRPyxQRqJ3xdFoZsL8?authuser=0&hl=tr&rclk=1
Voge Restaurant,"Wes Hotel, Kozluk Mah. Ruşen Hakkı Caddesi, Dut Sk. No:2 Kat:1, 41200 İzmit/Kocaeli",0533 400 62 41,info@voge.com.tr,https://voge.com.tr/,https://www.google.com/maps/place/Voge+Restaurant/data=!4m7!3m6!1s0x14cb453c38ca9db1:0x7f180d7cecc00899!8m2!3d40.763032!4d29.9184416!16s%2Fg%2F11kc8nxcj0!19sChIJsZ3KODxFyxQRmQjA7HwNGH8?authuser=0&hl=tr&rclk=1
Mahmut Usta Künefe ve Baklava Salonları,"Kemalpaşa, Hürriyet Cd. No:21, 41200 İzmit/Kocaeli",(0262) 321 88 03,info@mahmutustatatlilari.com,https://mahmutustatatlilari.com/,https://www.google.com/maps/place/Mahmut+Usta+K%C3%BCnefe+ve+Baklava+Salonlar%C4%B1/data=!4m7!3m6!1s0x14cb4583e33924a3:0xfd1365eca1b9b83!8m2!3d40.762723!4d29.9230038!16s%2Fg%2F113fjj8sd!19sChIJoyQ544NFyxQRg5sbyl420Q8?authuser=0&hl=tr&rclk=1
Köseoğlu Pide,"Yenişehir Mh., Yeni Yahya Kaptan Yolu, Demokrasi Bulvarı No:29, 41050 Bekirpaşa/İzmit/Kocaeli",(0262) 332 02 25,info@koseogluekmek.com,http://www.koseogluekmek.com/,https://www.google.com/maps/place/K%C3%B6seo%C4%9Flu+Pide/data=!4m7!3m6!1s0x14cb4ff11d2886bf:0x170272e5e5dd6adc!8m2!3d40.7633333!4d29.9594444!16s%2Fg%2F1tj825qr!19sChIJv4YoHfFPyxQR3Grd5eVyAhc?authuser=0&hl=tr&rclk=1
"Saklı Vadi Restaurant - Maşukiye, Kartepe","Kartepe Kayak Merkezi yolu üzeri 5.km Maşukiye, 41295 Kartepe/Kocaeli",(0262) 354 20 30,info@kartepesaklivadi.com,https://kartepesaklivadi.com/,"https://www.google.com/maps/place/Sakl%C4%B1+Vadi+Restaurant+-+Ma%C5%9Fukiye,+Kartepe/data=!4m7!3m6!1s0x14cb58697c598bf7:0x529553bbe6e63582!8m2!3d40.6831094!4d30.1388374!16s%2Fg%2F1yfh_kdwx!19sChIJ94tZfGlYyxQRgjXm5rtTlVI?authuser=0&hl=tr&rclk=1"
Alkan Yemek İzmit,"Ömerağa, Alemdar Cd. No:20, 41300 İzmit/Kocaeli",0546 104 46 41,nfo@alkanyemekizmit.com,http://alkanyemekizmit.com/,https://www.google.com/maps/place/Alkan+Yemek+%C4%B0zmit/data=!4m7!3m6!1s0x14cb455abd03d031:0x4b3928708869382b!8m2!3d40.7631269!4d29.9287335!16s%2Fg%2F11shfnd39b!19sChIJMdADvVpFyxQRKzhpiHAoOUs?authuser=0&hl=tr&rclk=1
Monad Coffee,"Karabaş, Şahabettin Bilgisu Cd. No:10/C, 41040 İzmit/Kocaeli",(0262) 324 90 40,info@monadcoffee.com,http://www.monadcoffee.com/,https://www.google.com/maps/place/Monad+Coffee/data=!4m7!3m6!1s0x14cb457e657cf30b:0x130febbe497967ba!8m2!3d40.76297!4d29.93271!16s%2Fg%2F11cs9mjhn1!19sChIJC_N8ZX5FyxQRumd5Sb7rDxM?authuser=0&hl=tr&rclk=1
Obur Közde Mantı,"Rıza Aygün İşhanı, Tepecik, Kemaliye Cd. No22-A, 41200 İzmit/Kocaeli",0545 630 25 83,oburcaferestaurant@gmail.com,https://oburkozdemanti.com/franchise.html,https://www.google.com/maps/place/Obur+K%C3%B6zde+Mant%C4%B1/data=!4m7!3m6!1s0x14cb4f8ee74bafc3:0xdae55b00c3b1210d!8m2!3d40.7636551!4d29.924417!16s%2Fg%2F11fzvdnl25!19sChIJw69L545PyxQRDSGxwwBb5do?authuser=0&hl=tr&rclk=1
AFFİNE COFFEE,"Ataevler, Özgürlük Cd No:4/B, 41180 Kartepe/Kocaeli",0544 548 48 48,info@affinee.com,https://www.affinee.com/,https://www.google.com/maps/place/AFF%C4%B0NE+COFFEE/data=!4m7!3m6!1s0x14cb5095a4ce91df:0xc14b368cba39adee!8m2!3d40.7493112!4d30.041485!16s%2Fg%2F11sdfxwt04!19sChIJ35HOpJVQyxQR7q05uow2S8E?authuser=0&hl=tr&rclk=1
