Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Livadi Cafe & Restaurant,"Cephanelik Mesire Alanı Tesisleri içinde, 28 Haziran, 41060 İzmit/Kocaeli",,"info@LivadiCafe.com, info@LivadiCafeWeb.com",https://www.google.com/url?q=http://www.livadicafe.com/&opi=79508299&sa=U&ved=0ahUKEwjF2bbnxpWMAxUIRPEDHWy-JDAQ61gIGigQ&usg=AOvVaw3WOfyAvN6SUr_dv4Pk_UnY,https://www.google.com/maps/place/Livadi+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x14cb4fbf2702a423:0xd486bbd46d602f0c!8m2!3d40.7826178!4d29.9480714!16s%2Fg%2F11cjkq136t!19sChIJI6QCJ79PyxQRDC9gbdS7htQ?authuser=0&hl=tr&rclk=1
Mini Köşk Köfte,"Çayırköy, Yeni Kandıra Yolu, 41000 İzmit/Kocaeli",(0262) 367 41 92,info@minikosk.com,https://www.google.com/url?q=http://www.minikosk.com/&opi=79508299&sa=U&ved=0ahUKEwjoqJ_vxpWMAxVIRPEDHYjGPOYQ61gIFSgQ&usg=AOvVaw0V2nU6k94TlwqRQEGkFfVR,https://www.google.com/maps/place/Mini+K%C3%B6%C5%9Fk+K%C3%B6fte/data=!4m7!3m6!1s0x14cb51c6950ade11:0xd9bec258e5fa254!8m2!3d40.7971493!4d29.9927932!16s%2Fg%2F1v0bvzks!19sChIJEd4KlcZRyxQRVKJfjiXsmw0?authuser=0&hl=tr&rclk=1
Romano Cafe Restaurant,"Cumhuriyet, Sahil Sk. No:15, 41100 İzmit/Kocaeli",(0262) 226 88 75,info@romanorestorancafe.com,https://www.google.com/url?q=http://www.romanorestorancafe.com/&opi=79508299&sa=U&ved=0ahUKEwiq3_T9xpWMAxUoR_EDHfGzCRAQ61gIFSgQ&usg=AOvVaw0IcdmFY4JaE8tIP6njiQNY,https://www.google.com/maps/place/Romano+Cafe+Restaurant/data=!4m7!3m6!1s0x14cb446a2336b7d5:0xbbb18e8e21b18115!8m2!3d40.760134!4d29.879708!16s%2Fg%2F1ptwr5_ft!19sChIJ1bc2I2pEyxQRFYGxIY6Osbs?authuser=0&hl=tr&rclk=1
"Refiye Restoran - Cağ Kebap , Izgara , Serpme Kahvaltı , İzmit","Yahyakaptan, Kara Yolu Cd. No:21/B, 41050 İzmit/Kocaeli",(0262) 333 11 12,bilgi@refiyerestaurant.com,https://www.google.com/url?q=https://www.refiyerestaurant.com/&opi=79508299&sa=U&ved=0ahUKEwiKupqTx5WMAxXfVfEDHcW5OMQQ61gIFSgQ&usg=AOvVaw3XzAf1bf9av87agOIMrv4y,"https://www.google.com/maps/place/Refiye+Restoran+-+Ca%C4%9F+Kebap+,+Izgara+,+Serpme+Kahvalt%C4%B1+,+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4f5acc34e273:0x75da875d03438e1f!8m2!3d40.7798403!4d29.9727987!16s%2Fg%2F11g1qj706h!19sChIJc-I0zFpPyxQRH45DA12H2nU?authuser=0&hl=tr&rclk=1"
Garniture Cafe Restaurant Patisserie,"Fethiye Caddesi No:45 Tarihi Osmanlı Hamamı Karşısı, 41200 İzmit/Kocaeli",(0262) 322 52 00,enteryour@addresshere.com,https://www.google.com/url?q=http://www.garniture.com.tr/&opi=79508299&sa=U&ved=0ahUKEwjHiMKVx5WMAxWFRvEDHRbsJVsQ61gIFygO&usg=AOvVaw27b4vTom5y3odHWMXDTOTE,https://www.google.com/maps/place/Garniture+Cafe+Restaurant+Patisserie/data=!4m7!3m6!1s0x14cb4580439ef93f:0xc3b99b418cae87a3!8m2!3d40.7653356!4d29.9257476!16s%2Fg%2F113fkdc5t!19sChIJP_meQ4BFyxQRo4eujEGbucM?authuser=0&hl=tr&rclk=1
Romano Cafe Restaurant,"Cumhuriyet, Sahil Sk. No:15, 41100 İzmit/Kocaeli",(0262) 226 88 75,info@romanorestorancafe.com,https://www.google.com/url?q=http://www.romanorestorancafe.com/&opi=79508299&sa=U&ved=0ahUKEwj7iO-Xx5WMAxXUQfEDHfy8FzAQ61gIFSgQ&usg=AOvVaw0C4m5T2_mEyo6XFQny5oWh,https://www.google.com/maps/place/Romano+Cafe+Restaurant/data=!4m7!3m6!1s0x14cb446a2336b7d5:0xbbb18e8e21b18115!8m2!3d40.760134!4d29.879708!16s%2Fg%2F1ptwr5_ft!19sChIJ1bc2I2pEyxQRFYGxIY6Osbs?authuser=0&hl=tr&rclk=1
"Refiye Restoran - Cağ Kebap , Izgara , Serpme Kahvaltı , İzmit","Yahyakaptan, Kara Yolu Cd. No:21/B, 41050 İzmit/Kocaeli",(0262) 333 11 12,bilgi@refiyerestaurant.com,https://www.google.com/url?q=https://www.refiyerestaurant.com/&opi=79508299&sa=U&ved=0ahUKEwjXm8iax5WMAxXTRfEDHeGUDCMQ61gIFSgQ&usg=AOvVaw2iqS0fzQvlLvzAAltzKTqK,"https://www.google.com/maps/place/Refiye+Restoran+-+Ca%C4%9F+Kebap+,+Izgara+,+Serpme+Kahvalt%C4%B1+,+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4f5acc34e273:0x75da875d03438e1f!8m2!3d40.7798403!4d29.9727987!16s%2Fg%2F11g1qj706h!19sChIJc-I0zFpPyxQRH45DA12H2nU?authuser=0&hl=tr&rclk=1"
Garniture Cafe Restaurant Patisserie,"Fethiye Caddesi No:45 Tarihi Osmanlı Hamamı Karşısı, 41200 İzmit/Kocaeli",(0262) 322 52 00,enteryour@addresshere.com,https://www.google.com/url?q=http://www.garniture.com.tr/&opi=79508299&sa=U&ved=0ahUKEwj266Cfx5WMAxU2SvEDHXEcAX8Q61gIFygO&usg=AOvVaw31i7EYLQp9HJJYd_Xp5Zkl,https://www.google.com/maps/place/Garniture+Cafe+Restaurant+Patisserie/data=!4m7!3m6!1s0x14cb4580439ef93f:0xc3b99b418cae87a3!8m2!3d40.7653356!4d29.9257476!16s%2Fg%2F113fkdc5t!19sChIJP_meQ4BFyxQRo4eujEGbucM?authuser=0&hl=tr&rclk=1
Ciğerci Bahattin,"Yenişehir, Gazi Mustafa Kemal Blv. No:135 D:A, 41050 İzmit/Kocaeli",(0262) 325 41 33,info@cigercibahattin.com,https://www.google.com/url?q=https://instagram.com/cigercibahattinizmit&opi=79508299&sa=U&ved=0ahUKEwjc46S7x5WMAxV7RPEDHWNpLjUQ61gIGCgQ&usg=AOvVaw1d0Lq5idk4iDMZVS_BJO4A,https://www.google.com/maps/place/Ci%C4%9Ferci+Bahattin/data=!4m7!3m6!1s0x14cb4fe5974ce983:0xe2f0bf8011cf0e26!8m2!3d40.7680831!4d29.9634451!16s%2Fg%2F11cn9mj43_!19sChIJg-lMl-VPyxQRJg7PEYC_8OI?authuser=0&hl=tr&rclk=1
Hoşgör Pastaneleri,"Ömerağa, İnönü Cd. No:148, 41060 İzmit/Kocaeli",(0262) 322 96 30,demiryolu@hosgor.com.tr,https://www.google.com/url?q=http://www.hosgorpastaneleri.com/&opi=79508299&sa=U&ved=0ahUKEwjB2oHEx5WMAxWTQPEDHYkBF3IQ61gIFSgQ&usg=AOvVaw3N_X8eK9btUZDHJZTPhOTD,https://www.google.com/maps/place/Ho%C5%9Fg%C3%B6r+Pastaneleri/data=!4m7!3m6!1s0x14cb4580125c8f8b:0xf17095da32967601!8m2!3d40.7756916!4d29.9789843!16s%2Fg%2F1vnn3nf6!19sChIJi49cEoBFyxQRAXaWMtqVcPE?authuser=0&hl=tr&rclk=1
