Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Valens Cafe Restaurant,"Kalenderhane, 16 Mart Şehitleri Cd. No:11 D:101A, 34134 Fatih/İstanbul",0543 461 40 45,INFO@VALENSCAFE.COM,https://www.valenscafe.com/,https://www.google.com/maps/place/Valens+Cafe+Restaurant/data=!4m7!3m6!1s0x14cab98c27e30987:0x304602270afe62e8!8m2!3d41.0130639!4d28.9608031!16s%2Fg%2F11dyn7ywzc!19sChIJhwnjJ4y5yhQR6GL-CicCRjA?authuser=0&hl=tr&rclk=1
Moise Karaköy,"Bereketzade, Felek Sk. No:2, 34421 Beyoğlu/İstanbul",0549 763 11 16,info@moisekarakoy.com,http://www.moisekarakoy.com/,https://www.google.com/maps/place/Moise+Karak%C3%B6y/data=!4m7!3m6!1s0x14cab9491f8c962f:0xd71d7c5124c768f8!8m2!3d41.0241505!4d28.9744651!16s%2Fg%2F11h4yd1_d5!19sChIJL5aMH0m5yhQR-GjHJFF8Hdc?authuser=0&hl=tr&rclk=1
BUHARA FİSH MEAT HOUSE ROOF,"Alemdar, Nuru Osmaniye Cd. NO : 5, 34440 Fatih/İstanbul",(0212) 528 71 70,info@meddusahotel.com,http://www.meddusahotel.com/,https://www.google.com/maps/place/BUHARA+F%C4%B0SH+MEAT+HOUSE+ROOF/data=!4m7!3m6!1s0x14cab9ce8342cbcb:0xe20ad6d71506f31d!8m2!3d41.0102673!4d28.975256!16s%2Fg%2F11p73c9x3k!19sChIJy8tCg865yhQRHfMGFdfWCuI?authuser=0&hl=tr&rclk=1
Last Ottoman Cafe & Restaurant,"Hoca Paşa, Darüssade Sk. No 10, 34110 Fatih/İstanbul",0531 204 59 85,lastottomancaferestaurant@gmail.com,https://lastottomancafe.com/,https://www.google.com/maps/place/Last+Ottoman+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x14cab95a43d3123b:0xefd7ecba28084fdf!8m2!3d41.0138125!4d28.9783214!16s%2Fg%2F11jx79lg0w!19sChIJOxLTQ1q5yhQR308IKLrs1-8?authuser=0&hl=tr&rclk=1
Meşhur Filibe Köftecisi,"Hoca Paşa, Hoca Paşa Sk. No:3, 34112 Fatih/İstanbul",(0212) 519 39 76,info@meshurfilibekoftecisi.com,http://www.meshurfilibekoftecisi.com/,https://www.google.com/maps/place/Me%C5%9Fhur+Filibe+K%C3%B6ftecisi/data=!4m7!3m6!1s0x14cab9956f59cfe1:0xbcaa2b6eb03a022b!8m2!3d41.014113!4d28.97531!16s%2Fg%2F1vp2y85t!19sChIJ4c9Zb5W5yhQRKwI6sG4rqrw?authuser=0&hl=tr&rclk=1
Eva Bosphorus Restaurant,"DEMİRAY OTEL'İN ÜST KATINDA BULUNMAKTADIR, Hobyar, Hocahanı Sok. No:10, 34112 Fatih/İstanbul",0537 514 22 91,info@evabosphorus.com,http://evabosphorus.com/,https://www.google.com/maps/place/Eva+Bosphorus+Restaurant/data=!4m7!3m6!1s0x14cab9a1a5ea736b:0x9f31e55624d25fca!8m2!3d41.0136304!4d28.9724776!16s%2Fg%2F11v0myqcbn!19sChIJa3PqpaG5yhQRyl_SJFblMZ8?authuser=0&hl=tr&rclk=1
İnci Terrace Restaurant,"Sultanahmet Mahallesi, Mimar Mehmet Ağa Cd. No:20, 34122 Fatih/İstanbul",0532 430 58 69,info@inciterracerestaurant.com,http://inciterracerestaurant.com/,https://www.google.com/maps/place/%C4%B0nci+Terrace+Restaurant/data=!4m7!3m6!1s0x14cab9becbb67703:0x89da434fd8ad4bec!8m2!3d41.0046457!4d28.9794846!16s%2Fg%2F11gj74w_8j!19sChIJA3e2y765yhQR7Eut2E9D2ok?authuser=0&hl=tr&rclk=1
Olive Garden Cafe & Restaurant,"Küçük Ayasofya, Kadırga Limanı Cd. No:102, 34400 Fatih/İstanbul",(0212) 514 22 88,info@olivegardenrestaurant.com.tr,http://olivegardenrestaurant.com.tr/,https://www.google.com/maps/place/Olive+Garden+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x14cab935cce82b9f:0x5974bc4cf9d72d5!8m2!3d41.0046247!4d28.9711368!16s%2Fg%2F11ry1t6lv1!19sChIJnyvozDW5yhQR1XKdz8RLlwU?authuser=0&hl=tr&rclk=1
Fine Dine İstanbul,"Binbirdirek, İmran Öktem Cd. No:4, 34440 Fatih/İstanbul",(0212) 516 96 96,basak@hotelarcadiablue.com,https://menufast.net/m/246/finedineistanbul,https://www.google.com/maps/place/Fine+Dine+%C4%B0stanbul/data=!4m7!3m6!1s0x14cab997adbfdc49:0xf8f6f66d5d30d257!8m2!3d41.006856!4d28.973634!16s%2Fg%2F12vsqgz7y!19sChIJSdy_rZe5yhQRV9IwXW329vg?authuser=0&hl=tr&rclk=1
FÜLANE RESTAURANT,"Hoca Paşa, Dervişler Sokağı No:7 D:2, 34110 Fatih/İstanbul",0535 455 12 12,rezervasyon@fulanrestaurant.com,https://www.fulanerestaurant.com/,https://www.google.com/maps/place/F%C3%9CLANE+RESTAURANT/data=!4m7!3m6!1s0x14cab9c03ac4fc8b:0x59cbc7b303b25814!8m2!3d41.0137753!4d28.9774708!16s%2Fg%2F11swdsf6x2!19sChIJi_zEOsC5yhQRFFiyA7PHy1k?authuser=0&hl=tr&rclk=1
Yemek Nerede Yenir,"İcadiye, Akdarı Sokağı No:3, 34674 Üsküdar/İstanbul",0545 177 77 35,erkan.cinar@narpos.com.tr,http://www.yemekneredeyenir.com/,https://www.google.com/maps/place/Yemek+Nerede+Yenir/data=!4m7!3m6!1s0x14cac977bac95cd1:0xac6cbc8e2b34ee30!8m2!3d41.0264255!4d29.0345381!16s%2Fg%2F11f6r0v9x4!19sChIJ0VzJunfJyhQRMO40K468bKw?authuser=0&hl=tr&rclk=1
three partners cafe & restaurant,"Küçük Ayasofya, Kaleci Sk. No:7, 34000 Fatih/İstanbul",0544 198 13 21,three.partners.cafe.restaurant@gmail.com,https://threepartners.wixsite.com/sitem,https://www.google.com/maps/place/three+partners+cafe+%26+restaurant/data=!4m7!3m6!1s0x14cab9b17564bc51:0xe2a7186997ac9178!8m2!3d41.0035029!4d28.9736352!16s%2Fg%2F11g_rwcls_!19sChIJUbxkdbG5yhQReJGsl2kYp-I?authuser=0&hl=tr&rclk=1
Sultan Palace Cafe Restaurant,"Alemdar, Biçki Yurdu Sk. No:1, 34122 Fatih/İstanbul",0533 553 74 78,info@sultanpalace.tr,http://www.sultanpalace.tr/,https://www.google.com/maps/place/Sultan+Palace+Cafe+Restaurant/data=!4m7!3m6!1s0x14cab98e619ebdf3:0x522ea2a97073e816!8m2!3d41.0085053!4d28.9750403!16s%2Fg%2F11rwphwx97!19sChIJ872eYY65yhQRFuhzcKmiLlI?authuser=0&hl=tr&rclk=1
İstanbul Kahvehanesi,"Cankurtaran, Kabasakal Cd. No:5, 34122 Fatih/İstanbul",Telefon Yok,turing@turing.tr,http://www.turing.org.tr/,https://www.google.com/maps/place/%C4%B0stanbul+Kahvehanesi/data=!4m7!3m6!1s0x14cab9bdadc42581:0x6a0c7dc3c76c2038!8m2!3d41.0063788!4d28.9789064!16s%2Fg%2F11dxq2sc8t!19sChIJgSXErb25yhQROCBsx8N9DGo?authuser=0&hl=tr&rclk=1
