Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Yeşildağlar Et,"D-130 KARAYOLU CADDESİ NO:183, 41030 Başiskele/Kocaeli",,info@nomatto.com,http://www.yesildaglar.com/,https://www.google.com/maps/place/Ye%C5%9Filda%C4%9Flar+Et/data=!4m7!3m6!1s0x14cb445e6d314589:0x2cec06428d195c5c!8m2!3d40.7133558!4d29.9225622!16s%2Fg%2F11b_3fwx0b!19sChIJiUUxbV5EyxQRXFwZjUIG7Cw?authuser=0&hl=tr&rclk=1
Sinerit Restaurant,"Yuvacık Yakacık, Temel Ay Sk. No:15, 41090 Başiskele/Kocaeli",0552 541 64 25,No Website,,https://www.google.com/maps/place/Sinerit+Restaurant/data=!4m7!3m6!1s0x14cb45f895ebbbab:0x1252ba41ef4644d5!8m2!3d40.6840103!4d29.9565868!16s%2Fg%2F11c40pjprf!19sChIJq7vrlfhFyxQR1URG70G6UhI?authuser=0&hl=tr&rclk=1
Bilgiçler Et Köfte - Başiskele,"Körfez mah. D-130 Karayolu cad. No: 119, 41245 Başiskele/Kocaeli",(0262) 343 36 36,iletisim@bilgiclerkofte.com,http://www.bilgiclerkofte.com/,https://www.google.com/maps/place/Bilgi%C3%A7ler+Et+K%C3%B6fte+-+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb44695f96a585:0xfdb612eaa7487c8a!8m2!3d40.7119202!4d29.910578!16s%2Fg%2F11dyzc8f0t!19sChIJhaWWX2lEyxQRinxIp-oStv0?authuser=0&hl=tr&rclk=1
Mavi Kayalar Restoran,"Mahallesi, Servetiye Cami, Aşağı Alartı Mevkii 22/1, 41090 Başiskele/Kocaeli",(0262) 345 00 53,info@mavikayalar.com,http://www.mavikayalar.com/,https://www.google.com/maps/place/Mavi+Kayalar+Restoran/data=!4m7!3m6!1s0x14cb431231f87ed5:0x53887c8111f3ab61!8m2!3d40.6337392!4d29.9506154!16s%2Fg%2F11h18dtjzh!19sChIJ1X74MRJDyxQRYavzEYF8iFM?authuser=0&hl=tr&rclk=1
Balıkçı Selim,"Kız Kulesi Restoran, Mehmetağa, Dereboyu Sk. No: 6, 41030 Başiskele/Kocaeli",0535 219 04 25,No Website,,https://www.google.com/maps/place/Bal%C4%B1k%C3%A7%C4%B1+Selim/data=!4m7!3m6!1s0x14cb5b76c015845f:0x4c0b9824d584913c!8m2!3d40.7259365!4d29.9927687!16s%2Fg%2F11lx4w2rgf!19sChIJX4QVwHZbyxQRPJGE1SSYC0w?authuser=0&hl=tr&rclk=1
Koçal Çiftliği Kafe&Restoran Yuvacık,"Mahallesi, Yuvacık Yakacık, Önder Sk. No:43, 41090 Başiskele/Kocaeli",0539 841 33 22,kocalciftligirestorant@gmail.com,http://www.kocalciftligi.com/,https://www.google.com/maps/place/Ko%C3%A7al+%C3%87iftli%C4%9Fi+Kafe%26Restoran+Yuvac%C4%B1k/data=!4m7!3m6!1s0x14cb5d9df3cd0965:0x630e118a86e211f5!8m2!3d40.6713709!4d29.9788658!16s%2Fg%2F11hz3cndc0!19sChIJZQnN851dyxQR9RHihooRDmM?authuser=0&hl=tr&rclk=1
Satuti Restaurant Cafe,"Kılıçarslan Mh, Bahçecik, Hürriyet Cd. No:127/2, 41090 Başiskele/Kocaeli",(0262) 412 41 41,No Website,,https://www.google.com/maps/place/Satuti+Restaurant+Cafe/data=!4m7!3m6!1s0x14cb43922867aabb:0xbc9ca3f232735055!8m2!3d40.6797204!4d29.9116392!16s%2Fg%2F11g7z094q7!19sChIJu6pnKJJDyxQRVVBzMvKjnLw?authuser=0&hl=tr&rclk=1
RUF Restoran & Bar,"Sahil, Körfez, Cevher Dudayev Cd. No: 53, 41245 Başiskele/Kocaeli",(0262) 343 27 27,info@rufrestaurant.com,http://www.rufrestaurant.com/,https://www.google.com/maps/place/RUF+Restoran+%26+Bar/data=!4m7!3m6!1s0x14cb45778621cb6d:0xa09feabd7f2bfe48!8m2!3d40.7159755!4d29.9233569!16s%2Fg%2F11fs4ngyw9!19sChIJbcshhndFyxQRSP4rf73qn6A?authuser=0&hl=tr&rclk=1
KLİDA CAFE RESTUARANT,"Körfez, Liman Cd. NO 62, 41300 Başiskele/Kocaeli",(0262) 502 32 16,bilgi@basiskele.com.tr,https://www.facebook.com/Klida-Sahil-443772096053009/?ref=settings,https://www.google.com/maps/place/KL%C4%B0DA+CAFE+RESTUARANT/data=!4m7!3m6!1s0x14cb459507a34981:0xc8b419d9ee4d4dd3!8m2!3d40.7138172!4d29.9158668!16s%2Fg%2F11gmcc225b!19sChIJgUmjB5VFyxQR001N7tkZtMg?authuser=0&hl=tr&rclk=1
Diva,"Körfez mahallesi liman caddesi, Hacı Ramazan Sk., 41030 Başiskele/Kocaeli",0850 888 8841,divaizmit@hotmail.com,https://divagarden.com/,https://www.google.com/maps/place/Diva/data=!4m7!3m6!1s0x14cb451e43b28d89:0x3aebb5a86615532!8m2!3d40.7140877!4d29.9146071!16s%2Fg%2F11g0nkb63d!19sChIJiY2yQx5FyxQRMlVhhlq7rgM?authuser=0&hl=tr&rclk=1
