Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Köfteci Yusuf,"Ovacık, D100 No:18, 41140 Başiskele/Kocaeli",,flags@2x.png,https://www.google.com/url?q=https://www.kofteciyusuf.com/&opi=79508299&sa=U&ved=0ahUKEwjOhNGZkKeMAxW6R_EDHbWtDuoQ61gIGSgQ&usg=AOvVaw0ka18MJfxZjfYTpZU4gR7n,https://www.google.com/maps/place/K%C3%B6fteci+Yusuf/data=!4m7!3m6!1s0x408703b02dc8c6cd:0x9195ea3dcd417229!8m2!3d40.7598112!4d29.9742297!16s%2Fg%2F11clwj6t6q!19sChIJzcbILbADh0ARKXJBzT3qlZE?authuser=0&hl=tr&rclk=1
Kartepe Manzara Restaurant,"Maşukiye Kartepe Cad. No:, D:149, 41250 Kartepe/Kocaeli",0539 678 41 61,info@kartepemanzara.com,https://www.google.com/url?q=https://www.kartepemanzara.com/&opi=79508299&sa=U&ved=0ahUKEwiD5ZeckKeMAxVSVPEDHZvzDcYQ61gIFSgQ&usg=AOvVaw2c6BsCVz2aAwDM55sZ8jpk,https://www.google.com/maps/place/Kartepe+Manzara+Restaurant/data=!4m7!3m6!1s0x14cb45389e515557:0xec81fada0a04937d!8m2!3d40.6792451!4d30.1387942!16s%2Fg%2F1ptw68x_k!19sChIJV1VRnjhFyxQRfZMECtr6gew?authuser=0&hl=tr&rclk=1
Antikkapi Restaurant,"Karabaş, 1. Cd. No:5, 41040 İzmit/Kocaeli",Telefon Yok,No Website,,https://www.google.com/maps/place/Antikkapi+Restaurant/data=!4m7!3m6!1s0x14cb457c6c8b7563:0x4d0c866f609f49b2!8m2!3d40.7586877!4d29.9337674!16s%2Fg%2F11fmz2hsmd!19sChIJY3WLbHxFyxQRskmfYG-GDE0?authuser=0&hl=tr&rclk=1
KUZİNE RESTAURANT,"Kabaoğlu, Prof. Baki Komşuoğlu Blv. No:191/A, 41100 İzmit/Kocaeli",(0262) 329 09 09,harita@destek.yandex.com.tr,https://www.google.com/url?q=https://www.facebook.com/Kuzine-Cafe-Restorant-910143409074207/&opi=79508299&sa=U&ved=0ahUKEwjB8N-gkKeMAxWEB9sEHVRFKuUQ61gIFSgQ&usg=AOvVaw1IU_FsOBkjw_HBzo31peBo,https://www.google.com/maps/place/KUZ%C4%B0NE+RESTAURANT/data=!4m7!3m6!1s0x14cb4fab04c8e4e9:0xb2df0751e327211!8m2!3d40.800107!4d29.9308942!16s%2Fg%2F11c2q2h6t8!19sChIJ6eTIBKtPyxQREXIyHnXwLQs?authuser=0&hl=tr&rclk=1
Vadi Restaurant,"Çınarlı Mahallesi, Vadisi, Maşukiye, Alabalık Sk. No:22, 41295 Kartepe/Kocaeli",(0262) 354 22 02,info@vadirestaurant.com,https://www.google.com/url?q=http://www.vadirestaurant.com/&opi=79508299&sa=U&ved=0ahUKEwiAv_uikKeMAxX3QvEDHSzQB7MQ61gIFygS&usg=AOvVaw05jlYrAtVHFqXnYHmB0vws,https://www.google.com/maps/place/Vadi+Restaurant/data=!4m7!3m6!1s0x14cb50369618c7e9:0x9a5f3b688c5f113!8m2!3d40.6914024!4d30.1258525!16s%2Fg%2F1tht3p7z!19sChIJ6ccYljZQyxQRE_HFiLbzpQk?authuser=0&hl=tr&rclk=1
Çınar Lokantası,"Ömerağa, Şahabettin Bilgisu Cd. No:38, 41040 İzmit/Kocaeli",(0262) 321 96 94,No Website,,https://www.google.com/maps/place/%C3%87%C4%B1nar+Lokantas%C4%B1/data=!4m7!3m6!1s0x14cb457f6f015c4b:0xf0ef2390272c5e3e!8m2!3d40.7621851!4d29.9295386!16s%2Fg%2F1tcx40_c!19sChIJS1wBb39FyxQRPl4sJ5Aj7_A?authuser=0&hl=tr&rclk=1
Şahane Restaurant,"Yenişehir, Gazi Mustafa Kemal Blv. NO:157, 41100 İzmit/Kocaeli",(0262) 311 10 00,No Email Found,https://www.google.com/url?q=http://sahaneiskembe.com/&opi=79508299&sa=U&ved=0ahUKEwj17vqnkKeMAxXGX_EDHSWWCTUQ61gIGSgQ&usg=AOvVaw2NGl67esqL6006-I0a2-69,https://www.google.com/maps/place/%C5%9Eahane+Restaurant/data=!4m7!3m6!1s0x14cb4fe448fb1fe3:0x4b1ebdab40b8babf!8m2!3d40.767862!4d29.9663132!16s%2Fg%2F1tf21f3b!19sChIJ4x_7SORPyxQRv7q4QKu9Hks?authuser=0&hl=tr&rclk=1
Yeşildağlar Et,"D-130 KARAYOLU CADDESİ NO:183, 41030 Başiskele/Kocaeli",(0262) 343 43 46,info@tikla.com.tr,https://www.google.com/url?q=http://www.yesildaglar.com/&opi=79508299&sa=U&ved=0ahUKEwjdi-iqkKeMAxUQA9sEHXhlDlsQ61gIEygO&usg=AOvVaw0sdIyxoXUHOcy-FXbz4Uai,https://www.google.com/maps/place/Ye%C5%9Filda%C4%9Flar+Et/data=!4m7!3m6!1s0x14cb445e6d314589:0x2cec06428d195c5c!8m2!3d40.7133558!4d29.9225622!16s%2Fg%2F11b_3fwx0b!19sChIJiUUxbV5EyxQRXFwZjUIG7Cw?authuser=0&hl=tr&rclk=1
Şelale Manzara Cafe Restaurant,"Erenler, Kevser Sk. no:5, 41060 İzmit/Kocaeli",0501 253 33 53,No Website,,https://www.google.com/maps/place/%C5%9Eelale+Manzara+Cafe+Restaurant/data=!4m7!3m6!1s0x14cb4fe082cdfcb9:0x48f41805819642b1!8m2!3d40.7777109!4d29.9425067!16s%2Fg%2F11rss641_q!19sChIJufzNguBPyxQRsUKWgQUY9Eg?authuser=0&hl=tr&rclk=1
Kocaeli Köfte Lahmacun ve Pide Salonu,"Yenişehir, Gazi Mustafa Kemal Blv. No:135, 41050 İzmit/Kocaeli",(0262) 321 04 40,No Website,,https://www.google.com/maps/place/Kocaeli+K%C3%B6fte+Lahmacun+ve+Pide+Salonu/data=!4m7!3m6!1s0x14cb51b52a436db5:0x33994fa7d42c7185!8m2!3d40.7680425!4d29.963539!16s%2Fg%2F1vz667xr!19sChIJtW1DKrVRyxQRhXEs1KdPmTM?authuser=0&hl=tr&rclk=1
