Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Kitap Pastası,"Karabaş mah Müneccim Arif Sokak Kısmet Ap D:No:1-1A, 41000 İzmit/Kocaeli",,webmaps-revolution@yandex-team.ru,http://www.kitappastasi.com/,https://www.google.com/maps/place/Kitap+Pastas%C4%B1/data=!4m7!3m6!1s0x14cb4f8799f5a4cd:0x1d7a9e40092a9676!8m2!3d40.7644503!4d29.9370828!16s%2Fg%2F1ptyrx9fh!19sChIJzaT1mYdPyxQRdpYqCUCeeh0?authuser=0&hl=tr&rclk=1
Dedikodu,"Körfez mahallesi Berk sokak dolphin AVM, 41000 İzmit/Kocaeli",0552 509 61 78,No Website,,https://www.google.com/maps/place/Dedikodu/data=!4m7!3m6!1s0x14cb4f96066f648b:0x758ed322682b0529!8m2!3d40.7644362!4d29.9397794!16s%2Fg%2F11pz5fp_81!19sChIJi2RvBpZPyxQRKQUraCLTjnU?authuser=0&hl=tr&rclk=1
Livadi Cafe & Restaurant,"Cephanelik Mesire Alanı Tesisleri içinde, 28 Haziran, 41060 İzmit/Kocaeli",(0262) 322 80 00,"info@LivadiCafeWeb.com, info@LivadiCafe.com",http://www.livadicafe.com/,https://www.google.com/maps/place/Livadi+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x14cb4fbf2702a423:0xd486bbd46d602f0c!8m2!3d40.7826178!4d29.9480714!16s%2Fg%2F11cjkq136t!19sChIJI6QCJ79PyxQRDC9gbdS7htQ?authuser=0&hl=tr&rclk=1
Keyf-i Ala,"Deniz Evler, Sahil Cd. No:33, 41650 Gölcük/Kocaeli",0539 485 53 41,Error Accessing Site,https://www.keyfialacafe.com/,https://www.google.com/maps/place/Keyf-i+Ala/data=!4m7!3m6!1s0x14cb46d73bf538b5:0xac12d8af9e557a6e!8m2!3d40.7247844!4d29.8399453!16s%2Fg%2F11gsbfp_8g!19sChIJtTj1O9dGyxQRbnpVnq_YEqw?authuser=0&hl=tr&rclk=1
Aydın Yemek Salonu,"Vezirçiftliği, Papatya Sk. No:61, 41140 Başiskele/Kocaeli",Telefon Yok,No Website,,https://www.google.com/maps/place/Ayd%C4%B1n+Yemek+Salonu/data=!4m7!3m6!1s0x14cb45480d8d30d7:0x82caca16f0299132!8m2!3d40.73847!4d29.9631751!16s%2Fg%2F1tf90hxy!19sChIJ1zCNDUhFyxQRMpEp8BbKyoI?authuser=0&hl=tr&rclk=1
Vault Coffee & More,"Karabaş, Hafız Binbaşı Cd. No:22/A, 41040 İzmit/Kocaeli",0553 123 74 99,No Website,,https://www.google.com/maps/place/Vault+Coffee+%26+More/data=!4m7!3m6!1s0x14cb4f27b774e363:0x54e8b695f542392f!8m2!3d40.7639397!4d29.9386001!16s%2Fg%2F11vm560xyd!19sChIJY-N0tydPyxQRLzlC9ZW26FQ?authuser=0&hl=tr&rclk=1
Mackbear Coffee,"Karabaş, Şahabettin Bilgisu Cd. No:6, 41040 İzmit/Kocaeli",Telefon Yok,No Website,,https://www.google.com/maps/place/Mackbear+Coffee/data=!4m7!3m6!1s0x14cb455315b0f879:0x3cc0720bd2ad5df6!8m2!3d40.7629979!4d29.9328635!16s%2Fg%2F11g__4ftyg!19sChIJefiwFVNFyxQR9l2t0gtywDw?authuser=0&hl=tr&rclk=1
Fiskos Lounge Anıtpark,"KENT MERKEZİ ANITPARK, Kadıköy, Vezir Sk. NO:5, 41040 İzmit/Kocaeli",0542 722 12 31,No Website,,https://www.google.com/maps/place/Fiskos+Lounge+An%C4%B1tpark/data=!4m7!3m6!1s0x14cb4f272f1bc36b:0x1aa6a3831767930e!8m2!3d40.7665634!4d29.9413051!16s%2Fg%2F11rnk0jb9v!19sChIJa8MbLydPyxQRDpNnF4Ojpho?authuser=0&hl=tr&rclk=1
Gurme Steak House,"Sarımeşe, Sapanca Yolu Cd., 41100 Kartepe/Kocaeli",0532 628 07 41,info@gurmesteakhouse.com,http://www.gurmesteakhouse.com/,https://www.google.com/maps/place/Gurme+Steak+House/data=!4m7!3m6!1s0x14cb51d5b677edf9:0x26545be7c98a3ee4!8m2!3d40.728898!4d30.0691049!16s%2Fg%2F11j3v8c3ny!19sChIJ-e13ttVRyxQR5D6KyedbVCY?authuser=0&hl=tr&rclk=1
Ateş Izgara/büfe,"Yenişehir, Dönmez Sk. No:7, 41050 İzmit/Kocaeli",(0262) 311 33 88,No Website,,https://www.google.com/maps/place/Ate%C5%9F+Izgara%2Fb%C3%BCfe/data=!4m7!3m6!1s0x14cb4fe45bd58701:0x32681c2710fd3156!8m2!3d40.7668703!4d29.9663741!16s%2Fg%2F11c5t1wn5z!19sChIJAYfVW-RPyxQRVjH9ECccaDI?authuser=0&hl=tr&rclk=1
