Restoran Adı,Adres,Telefon,E-posta,Web Sitesi,Link
Maranda Döner,"Hobyar, Hamidiye Cd. No:4, 34112 Fatih/İstanbul",(0212) 522 99 11,No Website,,https://www.google.com/maps/place/Maranda+D%C3%B6ner/data=!4m7!3m6!1s0x14cab9ea965dc1df:0x6366bafb4c7e4369!8m2!3d41.015035!4d28.9754195!16s%2Fg%2F11cnq55tgk!19sChIJ38Fdluq5yhQRaUN-TPu6ZmM?authuser=0&hl=tr&rclk=1
Valens Cafe Restaurant,"Kalenderhane, 16 Mart Şehitleri Cd. No:11 D:101A, 34134 Fatih/İstanbul",0543 461 40 45,"ed436f5053144538958ad06a5005e99a@sentry.wixpress.com, INFO@VALENSCAFE.COM, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 54b4aac306184111a223c0f4aea635c3@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, baf30a2b91654c5a840931f0137bed30@sentry.wixpress.com, 0e6a29e4756740a8a63493e912ba2174@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 460ff4620fa44cba8df530afde949785@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com",https://www.valenscafe.com/,https://www.google.com/maps/place/Valens+Cafe+Restaurant/data=!4m7!3m6!1s0x14cab98c27e30987:0x304602270afe62e8!8m2!3d41.0130639!4d28.9608031!16s%2Fg%2F11dyn7ywzc!19sChIJhwnjJ4y5yhQR6GL-CicCRjA?authuser=0&hl=tr&rclk=1
Moise Karaköy,"Bereketzade, Felek Sk. No:2, 34421 Beyoğlu/İstanbul",0549 763 11 16,info@moisekarakoy.com,http://www.moisekarakoy.com/,https://www.google.com/maps/place/Moise+Karak%C3%B6y/data=!4m7!3m6!1s0x14cab9491f8c962f:0xd71d7c5124c768f8!8m2!3d41.0241505!4d28.9744651!16s%2Fg%2F11h4yd1_d5!19sChIJL5aMH0m5yhQR-GjHJFF8Hdc?authuser=0&hl=tr&rclk=1
BUHARA FİSH MEAT HOUSE ROOF,"Alemdar, Nuru Osmaniye Cd. NO : 5, 34440 Fatih/İstanbul",(0212) 528 71 70,info@meddusahotel.com,http://www.meddusahotel.com/,https://www.google.com/maps/place/BUHARA+F%C4%B0SH+MEAT+HOUSE+ROOF/data=!4m7!3m6!1s0x14cab9ce8342cbcb:0xe20ad6d71506f31d!8m2!3d41.0102673!4d28.975256!16s%2Fg%2F11p73c9x3k!19sChIJy8tCg865yhQRHfMGFdfWCuI?authuser=0&hl=tr&rclk=1
Last Ottoman Cafe & Restaurant,"Hoca Paşa, Darüssade Sk. No 10, 34110 Fatih/İstanbul",0531 204 59 85,lastottomancaferestaurant@gmail.com,https://lastottomancafe.com/,https://www.google.com/maps/place/Last+Ottoman+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x14cab95a43d3123b:0xefd7ecba28084fdf!8m2!3d41.0138125!4d28.9783214!16s%2Fg%2F11jx79lg0w!19sChIJOxLTQ1q5yhQR308IKLrs1-8?authuser=0&hl=tr&rclk=1
Dervis Cafe & Restaurant,"Sultan Ahmet, Kabasakal Cd. No:1 D:2, 34122 Fatih/İstanbul",(0212) 516 15 15,No Website,,https://www.google.com/maps/place/Dervis+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x14cab9bd96973fd9:0x48adc3dab4549722!8m2!3d41.0065024!4d28.9784916!16s%2Fg%2F11g_30cxg!19sChIJ2T-Xlr25yhQRIpdUtNrDrUg?authuser=0&hl=tr&rclk=1
Meşhur Filibe Köftecisi,"Hoca Paşa, Hoca Paşa Sk. No:3, 34112 Fatih/İstanbul",(0212) 519 39 76,info@meshurfilibekoftecisi.com,http://www.meshurfilibekoftecisi.com/,https://www.google.com/maps/place/Me%C5%9Fhur+Filibe+K%C3%B6ftecisi/data=!4m7!3m6!1s0x14cab9956f59cfe1:0xbcaa2b6eb03a022b!8m2!3d41.014113!4d28.97531!16s%2Fg%2F1vp2y85t!19sChIJ4c9Zb5W5yhQRKwI6sG4rqrw?authuser=0&hl=tr&rclk=1
Eva Bosphorus Restaurant,"DEMİRAY OTEL'İN ÜST KATINDA BULUNMAKTADIR, Hobyar, Hocahanı Sok. No:10, 34112 Fatih/İstanbul",0537 514 22 91,info@evabosphorus.com,http://evabosphorus.com/,https://www.google.com/maps/place/Eva+Bosphorus+Restaurant/data=!4m7!3m6!1s0x14cab9a1a5ea736b:0x9f31e55624d25fca!8m2!3d41.0136304!4d28.9724776!16s%2Fg%2F11v0myqcbn!19sChIJa3PqpaG5yhQRyl_SJFblMZ8?authuser=0&hl=tr&rclk=1
İnci Terrace Restaurant,"Sultanahmet Mahallesi, Mimar Mehmet Ağa Cd. No:20, 34122 Fatih/İstanbul",0532 430 58 69,info@inciterracerestaurant.com,http://inciterracerestaurant.com/,https://www.google.com/maps/place/%C4%B0nci+Terrace+Restaurant/data=!4m7!3m6!1s0x14cab9becbb67703:0x89da434fd8ad4bec!8m2!3d41.0046457!4d28.9794846!16s%2Fg%2F11gj74w_8j!19sChIJA3e2y765yhQR7Eut2E9D2ok?authuser=0&hl=tr&rclk=1
Olive Garden Cafe & Restaurant,"Küçük Ayasofya, Kadırga Limanı Cd. No:102, 34400 Fatih/İstanbul",(0212) 514 22 88,info@olivegardenrestaurant.com.tr,http://olivegardenrestaurant.com.tr/,https://www.google.com/maps/place/Olive+Garden+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x14cab935cce82b9f:0x5974bc4cf9d72d5!8m2!3d41.0046247!4d28.9711368!16s%2Fg%2F11ry1t6lv1!19sChIJnyvozDW5yhQR1XKdz8RLlwU?authuser=0&hl=tr&rclk=1
