Business Name,Address,Stars,Number of Reviews,Phone Number,Website,Email
Balıkçı Asiye,"Ömerağa Mah. Şehabettin Bilgisu Cad, Latif Bey Sk. No:18","4,8",607,N/A,N/A, 
Antikkapi Restaurant,1. Cd. No:5,"4,1",485,N/A,N/A, 
Kare Restaurant,Adnan Menderes Blv. No:8/1,"4,3",278,N/A,N/A, 
Livadi Cafe & Restaurant,Cephanelik Mesire Alanı Tesisleri içinde,"4,1",1.084,N/A,N/A, 
Maşşa Ocakbaşı,M.Ali Pasa Mah. Erkan Sok. No:3 (Teona Otel Altı),"4,3",326,N/A,N/A, 
Şelale Manzara Cafe Restaurant,Kevser Sk. no:5,"4,3",265,N/A,N/A, 
Çınar Lokantası,Şahabettin Bilgisu Cd. No:38,"4,3",393,N/A,N/A, 
KUZİNE RESTAURANT,Prof. Baki Komşuoğlu Blv. No:191/A,"4,0",821,N/A,N/A, 
Yeşildağlar Et,D-130 KARAYOLU CADDESİ NO:183,"4,4",1.943,N/A,N/A, 
Sopung Kocaeli,Şahabettin Bilgisu Cd. No:97,"4,5",515,N/A,N/A, 
Mavi Körfez Tarihi Eminönü Balıkçısı,"Kemalpaşa Mahallesi Oramiral Salim Dervişoğlu Caddesi, İzmit Marina","4,2",743,N/A,N/A, 
Özler Restoran,Atatürk Blv. No:10,"4,8",10,N/A,N/A, 
Kartepe Manzara Restaurant,"Maşukiye Kartepe Cad. No:, D:149","4,3",3.472,N/A,N/A, 
Köfteci Yusuf,D100 No:18,"4,1",19.403,N/A,N/A, 
Basol Et Kasap Steak house,Ömer Türkçakal Blv. No:99,"4,3",1.258,N/A,N/A, 
ÇADIR KANDIRA SOFRASI,Kandıra Yolu Üzeri 3. Km Çayırköy Mevkii,"4,0",1.128,N/A,N/A, 
Vadi Restaurant,"Çınarlı Mahallesi, Vadisi, Alabalık Sk. No:22","4,0",2.976,N/A,N/A, 
Tarif Cağ Kebap,Adnan Menderes Blv. No:3,"4,5",3.116,N/A,N/A, 
KÖZZ Ocakbaşı İzmit,"Sabancı Kültür Merkezi Yanı, Oramiral Salim Dervişoğlu Cd. No:6","4,1",771,N/A,N/A, 
Marifet Restaurant,Körfez Mahallesi Birlik iş hanı Denizbank yanı,"4,5",4,N/A,N/A, 
Fi 712 Restaurant,Şht. Ergün Köncü Sk. N:21,"4,4",1.168,N/A,N/A, 
Şahane Restaurant,Gazi Mustafa Kemal Blv. NO:157,"3,8",885,N/A,N/A, 
GAR DUHA Restaurant,Seymen Cd. No:24,"4,2",213,N/A,N/A, 
Lotus Meat,Dönmez Sk.,"4,2",321,N/A,N/A, 
KÖZZ Ocakbaşı İzmit,"Sabancı Kültür Merkezi Yanı, Oramiral Salim Dervişoğlu Cd. No:6","4,1",771,N/A,N/A, 
Antepkale Kebap,Demokrasi Cd. No:66,"4,4",324,N/A,N/A, 
Kebapçı Mehmet Usta,Denizciler Cd. No:17 D:2a,"4,3",4.110,N/A,N/A, 
Beyaz Yalı,Oramiral Salim Dervişoğlu Cd. No:62,"4,0",1.392,N/A,N/A, 
Romano Cafe Restaurant,Sahil Sk. No:15,"4,2",661,N/A,N/A, 
RUF Restoran & Bar,"Sahil, Cevher Dudayev Cd. No: 53","4,4",132,N/A,N/A, 
