İsim,Adres,Telefon
Sultan,Adres yok,Numara yok
Bilinmiyor,"
Atatürk, Cengiz Topel Cd. 9 E, 35920 Selçuk/İzmir",Numara yok
Dimitros,Adres yok,Numara yok
Yandım Çavuş,Adres yok,Numara yok
Dereli Restaurant,Adres yok,Numara yok
ŞİŞ'KO Dürüm,Adres yok,Numara yok
Donerci Kenan,"
Ali Fuat Cebesoy, Eski İzmir Cd. No:448, 35160 Karabağlar/İzmir",Numara yok
Old House,"
Atatürk, 1005. Sk. No:1/A, 35920 Selçuk/İzmir",+90 232 892 93 57
Petek Çöpşiş,Adres yok,Numara yok
Agora,Adres yok,Numara yok
Bilinmiyor,"
Atatürk, Cengiz Topel Cd. 9 E, 35920 Selçuk/İzmir",Numara yok
Acıktım,Adres yok,Numara yok
Bilinmiyor,"
Atatürk, Cengiz Topel Cd. 9 E, 35920 Selçuk/İzmir",Numara yok
Bilinmiyor,"
Atatürk, Cengiz Topel Cd. 9 E, 35920 Selçuk/İzmir",Numara yok
Bilinmiyor,"
Atatürk, Cengiz Topel Cd. 9 E, 35920 Selçuk/İzmir",Numara yok
Ömur çöp şiş & kahvaltı,İzmir-Aydın yolu,Numara yok
Tandirci deniz,"
Şirince, 35920 Selçuk/İzmir",Numara yok
Efes Köftecisi,"
Atatürk, Namık Kemal Cd. No:24, 35920 Selçuk/İzmir",Numara yok
Şirince Kilise Şarap Mahzeni,Adres yok,Numara yok
Aziziye Restaurant,Atatürk Cad.,+902328948118
Kasap Köfteci Ahmet,"
Atatürk Mahallesi, Vali Rahmi Bey, Menderes Cd. no15/A, 35380 Buca/İzmir",Numara yok
Havuz Restaurant,Adres yok,Numara yok
Ali Baba & Mehmet,Adres yok,Numara yok
Şirincem Cafe & Restaurant,"
Şirince Mah. Şehit Yüksel Özülkü Cad. 220 Sok. No:6 35920, Şirince, 35920 Selçuk/İzmir",Numara yok
Sedir,Adres yok,Numara yok
Ejder,Adres yok,Numara yok
Bizim Ev Hanimeli,Adres yok,Numara yok
Selcuk Pidecisi,Adres yok,Numara yok
Donerci Ugur,Adres yok,Numara yok
Selçuk Köftecesi,"
Atatürk, Şahabettin Dede Blv No:10, 35920 Selçuk/İzmir",Numara yok
Croq&Crep House,Adres yok,Numara yok
Gurme tarhan chef restaurant,"
Gölcük, Gönül Sokak No:10, 35755 Ödemiş/İzmir",Numara yok
Çiy Restaurant,"
Caferli, Zeybekler Sokak No: 6, 09430 Kuşadası/Aydın",+905496400401
Bilinmiyor,"
Atatürk, Cengiz Topel Cd. 9 E, 35920 Selçuk/İzmir",Numara yok
Lahmacun,"
İsa Bey Mahallesi, Atatürk, Cengiz Topel Cd. 11.A, 35920 Selçuk/İzmir",Numara yok
Efes Villa,Adres yok,Numara yok
Bilinmiyor,"
Atatürk, Cengiz Topel Cd. 9 E, 35920 Selçuk/İzmir",Numara yok
Bilinmiyor,"
Atatürk, Cengiz Topel Cd. 9 E, 35920 Selçuk/İzmir",Numara yok
Cerithan Restaurant,Adres yok,Numara yok
Bilinmiyor,"
Atatürk, Cengiz Topel Cd. 9 E, 35920 Selçuk/İzmir",Numara yok
Mekan,Adres yok,Numara yok
Gulten Ablanin Yeri,210 Sokak No3,Numara yok
Pervin Teyzenin Yeri,Adres yok,Numara yok
Yörükoğlu,"
isabey mahallesi, Atatürk Cd. No:81/C, 35920 Selçuk/İzmir",Numara yok
Tat,Adres yok,Numara yok
Boomerang Garden Restaurant,Adres yok,Numara yok
Skopje Otantic,Adres yok,Numara yok
Hala 'nin,"
Şirince, 203 sokak No 2, 35920 Selçuk/İzmir",Numara yok
Bülent Steakhouse,"
İsabey mh, şarapçı kuyu mevki no:15, 35920 Selçuk/İzmir",Numara yok
Artemis Restaurant,"
Şirince, Şehit Yüksel Özülkü Caddesi Eski Okul Binası No:7, 35920 Selçuk/İzmir",Numara yok
Ciddi Kepçe Lokantası,Adres yok,Numara yok
Bol Kepçe Lokantası,"
Zeytinlik, 1140. Sk. No:2/E, 35120 Konak/İzmir",Numara yok
Selçuk Belediyesi Pamucak Restaurant,Adres yok,Numara yok
